LNAME	ABB	PROP	VAL
afar	afr	afr-p	afr-v
akkadian-ob	aob	aob-p	aob-v
alaaba	alb	alb-p	alb-v
arabic	arb	arb-p	arb-v
arbore	abr	abr-p	abr-v
awngi	awn	awn-p	awn-v
bayso	bay	bay-p	bay-v
beja-arteiga	bar	bar-p	bar-v
beja-atmaan	bat	bat-p	bat-v
beja-beniamer	bbe	bbe-p	bbe-v
beja-bishari	bbi	bbi-p	bbi-v
beja-hadendowa	bha	bha-p	bha-v
bilin	bil	bil-p	bil-v
boni-jara	boj	boj-p	boj-v
boni-kilii	bok	bok-p	bok-v
burji	bur	bur-p	bur-v
burunge	brn	brn-p	brn-v
coptic-sahidic	csa	csa-p	csa-v
dahalo	dah	dah-p	dah-v
dhaasanac	dha	dha-p	dha-v
dizi	diz	diz-p	diz-v
egyptian-middle	egm	egm-p	egm-v
elmolo	elm	elm-p	elm-v
gawwada	gaw	gaw-p	gaw-v
gedeo	ged	ged-p	ged-v
geez	gez	gez-p	gez-v
hadiyya	had	had-p	had-v
hebrew	heb	heb-p	heb-v
iraqw	irq	irq-p	irq-v
kambaata	kam	kam-p	kam-v
kemant	kem	kem-p	kem-v
khamtanga	khm	khm-p	khm-v
koorete	kor	kor-p	kor-v
maale	mal	mal-p	mal-v
oromo	orm	orm-p	orm-v
rendille	ren	red-p	red-v
saho	sah	sah-p	sah-v
shinassha	shn	shn-p	shn-v
sidaama	sid	sid-p	sid-v
somali-standard	sst	sst-p	sst-v
syriac	syr	syr-p	syr-v
tsamakko	tsm	tsm-p	tsm-v
wolaytta	wol	wol-p	wol-v
yaaku	yak	yak-p	yak-v
yemsa	yem	yem-p	yem-v
