?property	?value	?lang	?langVar
"ablautClass"	"a"	"hebrew"	
"ablautClass"	"a-a"	"hebrew"	
"ablautClass"	"a-e"	"hebrew"	
"ablautClass"	"a-iClass"	"akkadian"	"OB"
"ablautClass"	"a-o"	"hebrew"	
"ablautClass"	"a-uClass"	"akkadian"	"OB"
"ablautClass"	"aClass"	"akkadian"	"OB"
"ablautClass"	"e-a"	"hebrew"	
"ablautClass"	"e-uClass"	"akkadian"	"OB"
"ablautClass"	"eClass"	"akkadian"	"OB"
"ablautClass"	"iClass"	"akkadian"	"OB"
"ablautClass"	"uClass"	"akkadian"	"OB"
"aspect"	"definite"	"yaaku"	
"aspect"	"habitual"	"boni"	"jara"
"aspect"	"habitual"	"boni"	"kilii"
"aspect"	"imperfective"	"arabic"	
"aspect"	"imperfective"	"bilin"	
"aspect"	"imperfective"	"dahalo"	
"aspect"	"imperfective"	"kemant"	
"aspect"	"imperfective"	"maale"	
"aspect"	"imperfective"	"sidaama"	
"aspect"	"imperfectiveFuture"	"maale"	
"aspect"	"imperfectivePresent"	"maale"	
"aspect"	"indefinite"	"yaaku"	
"aspect"	"interrPerm"	"maale"	
"aspect"	"perfect"	"arabic"	
"aspect"	"perfect"	"beja"	"hadendowa"
"aspect"	"perfective"	"bilin"	
"aspect"	"perfective"	"dahalo"	
"aspect"	"perfective"	"kemant"	
"aspect"	"perfective"	"maale"	
"aspect"	"present"	"beja"	"hadendowa"
"aspect"	"presentPerfect"	"sidaama"	
"aspect"	"progressive"	"boni"	"jara"
"aspect"	"progressive"	"boni"	"kilii"
"aspect"	"simplePerfect"	"sidaama"	
"case"	"ablative"	"alaaba"	
"case"	"ablative"	"koorete"	
"case"	"ablative"	"maale"	
"case"	"ablative"	"shinassha"	
"case"	"ablative"	"wolaytta"	
"case"	"ablative"	"yemsa"	
"case"	"absolutive"	"afar"	
"case"	"absolutive"	"alaaba"	
"case"	"absolutive"	"arbore"	
"case"	"absolutive"	"bilin"	
"case"	"absolutive"	"burji"	
"case"	"absolutive"	"dhaasanac"	
"case"	"absolutive"	"gedeo"	
"case"	"absolutive"	"khamtanga"	
"case"	"absolutive"	"koorete"	
"case"	"absolutive"	"maale"	
"case"	"absolutive"	"oromo"	
"case"	"absolutive"	"wolaytta"	
"case"	"absolutive"	"yemsa"	
"case"	"absolutiveEmphatic"	"alaaba"	
"case"	"accusative"	"akkadian"	"OB"
"case"	"accusative"	"beja"	"hadendowa"
"case"	"accusative"	"hadiyya"	
"case"	"accusative"	"hebrew"	
"case"	"accusative"	"kambaata"	
"case"	"accusative"	"sidaama"	
"case"	"accusative"	"syriac"	
"case"	"benefactive"	"shinassha"	
"case"	"comitative"	"khamtanga"	
"case"	"comitative"	"shinassha"	
"case"	"comitative"	"tsamakko"	
"case"	"comitative"	"wolaytta"	
"case"	"comitative"	"yemsa"	
"case"	"compound"	"khamtanga"	
"case"	"dative"	"akkadian"	"OB"
"case"	"dative"	"alaaba"	
"case"	"dative"	"hebrew"	
"case"	"dative"	"koorete"	
"case"	"dative"	"maale"	
"case"	"dative"	"shinassha"	
"case"	"dative"	"tsamakko"	
"case"	"dative"	"wolaytta"	
"case"	"dative"	"yemsa"	
"case"	"directive"	"shinassha"	
"case"	"directive"	"tsamakko"	
"case"	"directive"	"wolaytta"	
"case"	"directive"	"yemsa"	
"case"	"emphatic"	"afar"	
"case"	"emphatic"	"saho"	
"case"	"emphatic-m"	"afar"	
"case"	"exit"	"yemsa"	
"case"	"genAcc"	"akkadian"	"OB"
"case"	"genObj"	"arabic"	
"case"	"genitive"	"akkadian"	"OB"
"case"	"genitive"	"alaaba"	
"case"	"genitive"	"beja"	"hadendowa"
"case"	"genitive"	"sidaama"	
"case"	"genitive"	"syriac"	
"case"	"genitive"	"wolaytta"	
"case"	"genitive"	"yemsa"	
"case"	"independent"	"saho"	
"case"	"indirect"	"yaaku"	
"case"	"iness"	"yemsa"	
"case"	"instrumental"	"alaaba"	
"case"	"instrumental"	"koorete"	
"case"	"instrumental"	"maale"	
"case"	"locative"	"khamtanga"	
"case"	"locative"	"shinassha"	
"case"	"locative"	"tsamakko"	
"case"	"locative"	"wolaytta"	
"case"	"locative"	"yemsa"	
"case"	"long"	"rendille"	
"case"	"nom-gen"	"sidaama"	
"case"	"nom_obj"	"beja"	"arteiga"
"case"	"nominative"	"afar"	
"case"	"nominative"	"akkadian"	"OB"
"case"	"nominative"	"alaaba"	
"case"	"nominative"	"arabic"	
"case"	"nominative"	"arbore"	
"case"	"nominative"	"beja"	"arteiga"
"case"	"nominative"	"beja"	"hadendowa"
"case"	"nominative"	"burji"	
"case"	"nominative"	"gedeo"	
"case"	"nominative"	"hadiyya"	
"case"	"nominative"	"hebrew"	
"case"	"nominative"	"kambaata"	
"case"	"nominative"	"koorete"	
"case"	"nominative"	"maale"	
"case"	"nominative"	"sidaama"	
"case"	"nominative"	"somali"	"standard"
"case"	"obj-ka"	"tsamakko"	
"case"	"object"	"bayso"	
"case"	"object"	"beja"	"amarʔar"
"case"	"object"	"beja"	"arteiga"
"case"	"object"	"beja"	"atmaan"
"case"	"object"	"beja"	"beniamer"
"case"	"object"	"beja"	"bishari"
"case"	"object"	"beja"	"hadendowa"
"case"	"object"	"bilin"	
"case"	"object"	"dhaasanac"	
"case"	"object"	"hebrew"	
"case"	"object"	"khamtanga"	
"case"	"object"	"rendille"	
"case"	"object"	"saho"	
"case"	"object"	"somali"	"standard"
"case"	"object"	"tsamakko"	
"case"	"object"	"wolaytta"	
"case"	"object"	"yemsa"	
"case"	"objectGeneral"	"yaaku"	
"case"	"objectIndirect"	"bayso"	
"case"	"objectIndirect"	"rendille"	
