?proplabel	 	?lang-?langVar, ?lang-?langVar, ?lang-?langVar, ?lang-?langVar
aspect	 	beja-hadendowa
case	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
caseHead	 	beja-atmaan, beja-bishari
clause	 	beja-hadendowa
clauseType	 	beja-atmaan, beja-hadendowa
conjClass	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
conjSubType	 	beja-atmaan, beja-beniamer
conjType	 	beja-arteiga
defClass	 	beja-arteiga
deixis	 	beja-arteiga
dervStem	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
dervStemAug	 	beja-arteiga, beja-atmaan, beja-beniamer
genPoss	 	beja-hadendowa
gender	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
genderCop	 	beja-bishari
genderHead	 	beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
genderN1	 	beja-hadendowa
genderN2	 	beja-hadendowa
genderObj	 	beja-atmaan
genderP1	 	beja-bishari
genderPoss	 	beja-atmaan, beja-beniamer, beja-bishari
gloss	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
headPosition	 	beja-atmaan
lang	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
langComp	 	beja-beniamer
langVar	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
lemma	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
lexlabel	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
lexnote	 	beja-arteiga
mood	 	beja-hadendowa
morphClass	 	beja-atmaan, beja-beniamer
nomForm	 	beja-hadendowa
nonFiniteForm	 	beja-arteiga, beja-atmaan, beja-bishari, beja-hadendowa
nounMorphClass	 	beja-hadendowa
ns#type	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
numCop	 	beja-bishari
numHead	 	beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
numN1	 	beja-hadendowa
numObj	 	beja-atmaan
numP1	 	beja-bishari
numP2	 	beja-bishari
numPoss	 	beja-bishari, beja-hadendowa
number	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
numeralGloss	 	beja-hadendowa
participle	 	beja-arteiga
pdgmSubType	 	beja-arteiga, beja-beniamer
pdgmType	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
persCop	 	beja-bishari
persObj	 	beja-atmaan
persP1	 	beja-bishari
persP2	 	beja-bishari
person	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
pid	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
pluralClass	 	beja-arteiga
polarity	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
pos	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
postposition	 	beja-arteiga
postpositionClass	 	beja-arteiga
prefixGroup	 	beja-atmaan
proClass	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
rootClass	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
stemClass	 	beja-atmaan, beja-beniamer
stemFin	 	beja-beniamer
stemPattern	 	beja-atmaan
stemType	 	beja-beniamer
strength	 	beja-atmaan
tam	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
tamStemClass	 	beja-arteiga
token	 	beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa
token-affix	 	beja-arteiga
token-aux	 	beja-atmaan
token-auxFunction	 	beja-atmaan
token-baseGloss	 	beja-beniamer
token-baseShape	 	beja-beniamer
token-causGloss	 	beja-beniamer
token-causShape	 	beja-beniamer
token-coopGloss	 	beja-beniamer
token-coopShape	 	beja-beniamer
token-dervShape	 	beja-beniamer
token-example	 	beja-atmaan
token-frequency	 	beja-atmaan
token-gloss	 	beja-arteiga, beja-atmaan, beja-bishari, beja-hadendowa
token-lex	 	beja-atmaan
token-main	 	beja-atmaan
token-note	 	beja-arteiga, beja-beniamer
token-passGloss	 	beja-beniamer
token-passShape	 	beja-beniamer
token-pluralForm	 	beja-arteiga
token-recipGloss	 	beja-beniamer
token-recipShape	 	beja-beniamer
token-reflGloss	 	beja-beniamer
token-reflShape	 	beja-beniamer
token-singularForm	 	beja-arteiga
token-suffix	 	beja-atmaan
token-verbGloss	 	beja-atmaan
token1	 	beja-atmaan, beja-bishari
token2	 	beja-atmaan, beja-bishari
tokenType	 	beja-arteiga
type	 	beja-beniamer
verbMorphClass	 	beja-atmaan, beja-bishari, beja-hadendowa
