?property	?value	?lang	?langVar
"clauseType"	"main"	"beja"	"hadendowa"
"clauseType"	"subordinate"	"beja"	"hadendowa"
"conjClass"	"irregular"	"beja"	"atmaan"
"conjClass"	"prefix"	"beja"	"arteiga"
"conjClass"	"prefix"	"beja"	"atmaan"
"conjClass"	"prefix"	"beja"	"beniamer"
"conjClass"	"prefix"	"beja"	"hadendowa"
"conjClass"	"prefix2"	"beja"	"bishari"
"conjClass"	"prefix3"	"beja"	"bishari"
"conjClass"	"prefix4"	"beja"	"bishari"
"conjClass"	"prefix5"	"beja"	"bishari"
"conjClass"	"prefixIrregular"	"beja"	"bishari"
"conjClass"	"prefixOther"	"beja"	"bishari"
"conjClass"	"suffix"	"beja"	"arteiga"
"conjClass"	"suffix"	"beja"	"atmaan"
"conjClass"	"suffix"	"beja"	"beniamer"
"conjClass"	"suffix"	"beja"	"bishari"
"conjClass"	"suffix"	"beja"	"hadendowa"
"dervStem"	"M"	"beja"	"bishari"
"dervStem"	"S"	"beja"	"bishari"
"dervStem"	"SM"	"beja"	"bishari"
"dervStem"	"base"	"beja"	"bishari"
"dervStem"	"causativeCausative"	"beja"	"bishari"
"pdgmSubType"	"auxHay"	"beja"	"beniamer"
"pdgmSubType"	"auxKay"	"beja"	"beniamer"
"pdgmType"	"compound"	"beja"	"beniamer"
"pdgmType"	"prefVsSuff"	"beja"	"beniamer"
"polarity"	"aff"	"beja"	"hadendowa"
"polarity"	"affirmative"	"beja"	"arteiga"
"polarity"	"affirmative"	"beja"	"atmaan"
"polarity"	"affirmative"	"beja"	"beniamer"
"polarity"	"affirmative"	"beja"	"bishari"
"polarity"	"affirmative"	"beja"	"hadendowa"
"polarity"	"negative"	"beja"	"arteiga"
"polarity"	"negative"	"beja"	"atmaan"
"polarity"	"negative"	"beja"	"beniamer"
"polarity"	"negative"	"beja"	"bishari"
"polarity"	"negative"	"beja"	"hadendowa"
"polarity"	"negativeEmphatic"	"beja"	"beniamer"
"rootClass"	"C"	"beja"	"bishari"
"rootClass"	"CC"	"beja"	"beniamer"
"rootClass"	"CC"	"beja"	"bishari"
"rootClass"	"CC"	"beja"	"hadendowa"
"rootClass"	"CCC"	"beja"	"arteiga"
"rootClass"	"CCC"	"beja"	"beniamer"
"rootClass"	"CCC"	"beja"	"bishari"
"rootClass"	"CCC"	"beja"	"hadendowa"
"rootClass"	"CCC-a"	"beja"	"bishari"
"rootClass"	"CCC-i"	"beja"	"bishari"
"rootClass"	"CCC-u"	"beja"	"bishari"
"rootClass"	"CCY"	"beja"	"arteiga"
"rootClass"	"CCY"	"beja"	"beniamer"
"rootClass"	"CCY"	"beja"	"bishari"
"rootClass"	"CHC"	"beja"	"beniamer"
"rootClass"	"CHiy"	"beja"	"atmaan"
"rootClass"	"CVC"	"beja"	"arteiga"
"rootClass"	"CaC"	"beja"	"atmaan"
"rootClass"	"Cay"	"beja"	"atmaan"
"rootClass"	"CiC"	"beja"	"atmaan"
"rootClass"	"CiCH"	"beja"	"atmaan"
"rootClass"	"CiCaC"	"beja"	"atmaan"
"rootClass"	"CiCiC"	"beja"	"atmaan"
"rootClass"	"CiCiy"	"beja"	"atmaan"
"rootClass"	"Ciy"	"beja"	"atmaan"
"rootClass"	"HaCiC"	"beja"	"atmaan"
"rootClass"	"V"	"beja"	"bishari"
"rootClass"	"V2"	"beja"	"bishari"
"rootClass"	"Vdpth"	"beja"	"bishari"
"stemClass"	"base"	"beja"	"beniamer"
"stemClass"	"baseIntns"	"beja"	"beniamer"
"stemClass"	"causIntrans"	"beja"	"beniamer"
"stemClass"	"causative"	"beja"	"beniamer"
"stemClass"	"hFin"	"beja"	"atmaan"
"stemClass"	"hamzFin"	"beja"	"atmaan"
"stemClass"	"hamzInitVFin"	"beja"	"atmaan"
"stemClass"	"passive"	"beja"	"beniamer"
"stemClass"	"reflexive"	"beja"	"beniamer"
"stemClass"	"vFin1"	"beja"	"atmaan"
"stemClass"	"vFin2"	"beja"	"atmaan"
"strength"	"weak"	"beja"	"atmaan"
"tam"	"aorist"	"beja"	"arteiga"
"tam"	"aorist"	"beja"	"atmaan"
"tam"	"aorist"	"beja"	"bishari"
"tam"	"conditional"	"beja"	"beniamer"
"tam"	"conditional"	"beja"	"bishari"
"tam"	"conditional"	"beja"	"hadendowa"
"tam"	"conditionalPerfect"	"beja"	"hadendowa"
"tam"	"conditionalPredicative"	"beja"	"hadendowa"
"tam"	"future"	"beja"	"arteiga"
"tam"	"future"	"beja"	"atmaan"
"tam"	"future"	"beja"	"hadendowa"
"tam"	"future1"	"beja"	"beniamer"
"tam"	"future1"	"beja"	"bishari"
"tam"	"future2"	"beja"	"beniamer"
"tam"	"future2"	"beja"	"bishari"
"tam"	"future2Var"	"beja"	"beniamer"
"tam"	"future3"	"beja"	"beniamer"
"tam"	"gerund"	"beja"	"hadendowa"
"tam"	"imperative"	"beja"	"arteiga"
"tam"	"imperative"	"beja"	"atmaan"
"tam"	"imperative"	"beja"	"beniamer"
"tam"	"imperative"	"beja"	"bishari"
"tam"	"imperative"	"beja"	"hadendowa"
"tam"	"imperativeJussive1"	"beja"	"atmaan"
"tam"	"imperativeJussive2"	"beja"	"atmaan"
"tam"	"imperativeJussive3"	"beja"	"atmaan"
"tam"	"infinitive"	"beja"	"bishari"
"tam"	"jussive"	"beja"	"atmaan"
"tam"	"jussive"	"beja"	"beniamer"
"tam"	"optative"	"beja"	"arteiga"
"tam"	"optative"	"beja"	"beniamer"
"tam"	"optative"	"beja"	"bishari"
"tam"	"optative"	"beja"	"hadendowa"
"tam"	"past"	"beja"	"arteiga"
"tam"	"past"	"beja"	"atmaan"
"tam"	"past"	"beja"	"hadendowa"
"tam"	"pastContinuous"	"beja"	"hadendowa"
"tam"	"pastPerfect"	"beja"	"atmaan"
"tam"	"perfect"	"beja"	"beniamer"
"tam"	"perfect"	"beja"	"bishari"
"tam"	"perfectDur"	"beja"	"beniamer"
"tam"	"perfectPast"	"beja"	"hadendowa"
"tam"	"perfectRel"	"beja"	"beniamer"
"tam"	"pluperfect"	"beja"	"beniamer"
"tam"	"pluperfect"	"beja"	"bishari"
"tam"	"predicative"	"beja"	"hadendowa"
"tam"	"prefectPast"	"beja"	"hadendowa"
"tam"	"present"	"beja"	"arteiga"
"tam"	"present"	"beja"	"atmaan"
"tam"	"present"	"beja"	"beniamer"
"tam"	"present"	"beja"	"bishari"
"tam"	"present"	"beja"	"hadendowa"
"tam"	"presentContinuous"	"beja"	"hadendowa"
"tam"	"presentDur"	"beja"	"beniamer"
"tam"	"presentRel"	"beja"	"beniamer"
"tam"	"presentShort"	"beja"	"atmaan"
"tam"	"stemQ"	"beja"	"bishari"
"tokenType"	"compound"	"beja"	"arteiga"
"verbMorphClass"	"Q"	"beja"	"atmaan"
"verbMorphClass"	"auxPut"	"beja"	"atmaan"
"verbMorphClass"	"auxTake"	"beja"	"atmaan"
"verbMorphClass"	"become"	"beja"	"atmaan"
"verbMorphClass"	"mood"	"beja"	"atmaan"
"verbMorphClass"	"nomForm"	"beja"	"hadendowa"
"verbMorphClass"	"pdgmOverview"	"beja"	"atmaan"
"verbMorphClass"	"tenseAspOverview"	"beja"	"atmaan"
