	 	coptic-sahidic
ablautClass	 	akkadian-OB, hebrew
aspect	 	arabic, beja-hadendowa, bilin, boni-jara, boni-kilii, dahalo, kemant, maale, sidaama, yaaku
auxAdjunct	 	afar
case	 	afar, akkadian-OB, alaaba, arabic, arbore, bayso, beja-amarʔar, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, burji, dhaasanac, gedeo, hadiyya, hebrew, kambaata, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
caseHead	 	beja-atmaan, beja-bishari, burji, gedeo
cat	 	iraqw
categ	 	tsamakko
caus1_2	 	sidaama
causSuff	 	kambaata
causativeAllomorph	 	alaaba
clause	 	beja-hadendowa
clauseCase	 	somali-standard
clauseConjugation	 	coptic-sahidic
clauseMarker	 	burji
clauseType	 	alaaba, arbore, awngi, beja-atmaan, beja-hadendowa, bilin, coptic-sahidic, khamtanga, maale, oromo, rendille, sidaama, somali-standard
cliticClass	 	boni-jara, boni-kilii
cliticType	 	boni-jara, boni-kilii, rendille
cohesion	 	dhaasanac, rendille
complement	 	shinassha, wolaytta
configuration	 	sidaama
#conjClaspdgmLexs	 	rendille
conjClass	 	afar, arbore, bayso, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, dhaasanac, elmolo, geez, iraqw, khamtanga, koorete, rendille, saho, shinassha, somali-standard, tsamakko, yaaku, yemsa
conjSubClass	 	somali-standard
conjSubType	 	beja-atmaan, beja-beniamer, rendille, somali-standard
conjType	 	beja-arteiga
copForm	 	yaaku
copType	 	bilin, oromo
deAdjClass	 	boni-kilii
defClass	 	arbore, awngi, beja-arteiga, khamtanga
defMarker	 	tsamakko
deixis	 	akkadian-OB, arabic, arbore, beja-arteiga, burji, gedeo, hadiyya, hebrew, iraqw, kambaata, khamtanga, koorete, rendille, sidaama, syriac, tsamakko
dervCat	 	elmolo
dervStem	 	akkadian-OB, alaaba, arabic, arbore, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, burji, dhaasanac, gawwada, geez, hadiyya, hebrew, iraqw, kambaata, kemant, koorete, maale, oromo, rendille, saho, shinassha, sidaama, tsamakko, wolaytta, yaaku, yemsa
dervStemAug	 	bayso, beja-arteiga, beja-atmaan, beja-beniamer, dhaasanac
direction	 	sidaama
emphatic	 	dhaasanac
example	 	afar
extended	 	dhaasanac
final	 	elmolo
finiteForm	 	bilin, kemant
focus	 	arbore, burji, koorete, rendille
focusType	 	gawwada
form	 	iraqw
formClass	 	coptic-sahidic
genPoss	 	beja-hadendowa
gender	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, dhaasanac-standard, egyptian-middle, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
genderCop	 	beja-bishari
genderHead	 	akkadian-OB, alaaba, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, burji, coptic-sahidic, gawwada, gedeo, khamtanga
genderHeadRel	 	kemant
genderN1	 	beja-hadendowa
genderN2	 	beja-hadendowa
genderObj	 	bayso, beja-atmaan, tsamakko
genderP1	 	beja-bishari
genderPoss	 	arbore, beja-atmaan, beja-beniamer, beja-bishari, burji, coptic-sahidic, gedeo, khamtanga, somali-standard
genderRef	 	wolaytta
gloss	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, tsamakko, wolaytta, yaaku, yemsa
headGen	 	iraqw
headNoun	 	yaaku
headPosition	 	beja-atmaan
imperativeClass	 	iraqw
imperativeForm	 	coptic-sahidic
infinitiveClass	 	arbore
infinitiveForm	 	coptic-sahidic
infinitiveVar	 	arabic
infinitivetoken	 	arabic
inflClass	 	gawwada
interrClass	 	burji, gedeo, hadiyya, kambaata, sidaama
lang	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-amarʔar, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, dhaasanac-standard, egyptian-middle, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
langComp	 	beja-beniamer
langVar	 	akkadian-OB, beja-amarʔar, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, boni, boni-jara, boni-kilii, coptic-sahidic, dhaasanac-standard, egyptian-middle, somali-standard
lemma	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, tsamakko, wolaytta, yaaku, yemsa
lexlabel	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, tsamakko, wolaytta, yaaku, yemsa
lexnote	 	beja-arteiga
mainStem	 	afar
middleClass	 	sidaama
modal	 	maale
mood	 	arabic, arbore, beja-hadendowa, boni-jara, boni-kilii, iraqw, shinassha, wolaytta, yemsa
morphClass	 	beja-atmaan, beja-beniamer, coptic-sahidic
morphoSynEnv	 	arbore
nomForm	 	beja-hadendowa
nonFiniteForm	 	afar, arbore, beja-arteiga, beja-atmaan, beja-bishari, beja-hadendowa, dhaasanac, khamtanga, oromo, saho, somali-standard
note	 	arbore
nounClass	 	kemant
nounMorphClass	 	bayso, beja-hadendowa, khamtanga
ns#type	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-amarʔar, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, dhaasanac-standard, egyptian-middle, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
numClass	 	khamtanga
numCop	 	beja-bishari
numHead	 	akkadian-OB, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, hebrew, iraqw, khamtanga, syriac
numHeadRel	 	kemant
numN1	 	beja-hadendowa
numObj	 	bayso, beja-atmaan, iraqw, tsamakko
numP1	 	beja-bishari
numP2	 	beja-bishari
numPersGender	 	somali-standard
numPoss	 	arbore, beja-bishari, beja-hadendowa
numRef	 	bayso
numSubj	 	iraqw
number	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-amarʔar, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, dhaasanac-standard, egyptian-middle, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
numberGender	 	bayso
numberGenderHead	 	bilin
numberHead	 	coptic-sahidic
numberPersonGender	 	somali-standard
numeralGloss	 	beja-hadendowa
numgen	 	hadiyya
objectGender	 	coptic-sahidic
objectNumber	 	coptic-sahidic
objectPerson	 	coptic-sahidic
objectType	 	coptic-sahidic
participle	 	beja-arteiga
passiveReciprocalClass	 	sidaama
patternClass	 	arbore, elmolo
pdgmClass	 	koorete
pdgmLexLabel	 	alaaba, gawwada, iraqw, shinassha, sidaama, tsamakko, yaaku
pdgmSubType	 	afar, beja-arteiga, beja-beniamer, dhaasanac, elmolo, kemant, oromo, somali-standard
pdgmType	 	afar, alaaba, arbore, beja-amarʔar, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, burji, dhaasanac, dhaasanac-standard, gawwada, kemant, khamtanga, sidaama, somali-standard
persCop	 	beja-bishari
persObj	 	beja-atmaan, iraqw
persP1	 	beja-bishari
persP2	 	beja-bishari
persSubj	 	iraqw
person	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, dhaasanac-standard, egyptian-middle, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
pid	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-amarʔar, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, dhaasanac-standard, egyptian-middle, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
pluralClass	 	beja-arteiga, khamtanga
pngSet	 	bilin
pngShapeClass	 	dhaasanac, dhaasanac-standard, somali-standard
polarity	 	afar, alaaba, arbore, awngi, bayso, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, elmolo, gawwada, gedeo, hadiyya, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, tsamakko, wolaytta, yaaku, yemsa
pos	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-amarʔar, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, dhaasanac-standard, egyptian-middle, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
posClass	 	sidaama
posHead	 	iraqw
position	 	elmolo
possType	 	maale
postposition	 	beja-arteiga
postpositionClass	 	beja-arteiga
prefix	 	somali-standard
prefixGroup	 	arbore, beja-atmaan
present	 	burji
proClass	 	afar, akkadian-OB, alaaba, arabic, arbore, bayso, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, egyptian-middle, elmolo, gawwada, gedeo, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
*proClasspolarity	 	gawwada
*proClasspos	 	gawwada
proSet	 	kemant
proType	 	burji
rootClass	 	akkadian-OB, arabic, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, geez, hebrew
rootStructure	 	maale
selBE	 	iraqw
selCat	 	iraqw
selClass	 	iraqw
selMood	 	iraqw
selTense	 	iraqw
selector	 	dahalo
selectorGroup	 	arbore
selectorPosition	 	dahalo
selectorProClass	 	arbore
statClass	 	elmolo
state	 	arabic
stem	 	arabic
stemAltClass	 	arbore
stemClass	 	arbore, beja-atmaan, beja-beniamer, coptic-sahidic, geez, khamtanga
stemFin	 	beja-beniamer
stemFinalC	 	alaaba
stemPattern	 	beja-atmaan
stemShape	 	tsamakko
stemType	 	beja-beniamer
strength	 	beja-atmaan
structAux	 	oromo
structMain	 	oromo
structure	 	oromo
subConj	 	somali-standard
subconjClass	 	arbore
subjIdent	 	arbore
subjVerbAgr	 	arbore
suffSet	 	tsamakko
