?qlexid	?qp	?qo
"aama:ID4088efa3-aff5-45f7-ae67-ee20b9069da7"	"a"	"aama:lexid"
"aama:ID4088efa3-aff5-45f7-ae67-ee20b9069da7"	"aama:gloss"	"jump"
"aama:ID4088efa3-aff5-45f7-ae67-ee20b9069da7"	"aama:lang"	"aama:alaaba"
"aama:ID4088efa3-aff5-45f7-ae67-ee20b9069da7"	"aama:lemma"	"korj-"
"aama:ID4088efa3-aff5-45f7-ae67-ee20b9069da7"	"aama:lexlabel"	"korj"
"aama:ID4088efa3-aff5-45f7-ae67-ee20b9069da7"	"aama:pdgmLexLabel"	"aama:korj"
"aama:ID51b84e40-d704-4833-93af-6335db57fab1"	"a"	"aama:lexid"
"aama:ID51b84e40-d704-4833-93af-6335db57fab1"	"aama:gloss"	"hunt"
"aama:ID51b84e40-d704-4833-93af-6335db57fab1"	"aama:lang"	"aama:alaaba"
"aama:ID51b84e40-d704-4833-93af-6335db57fab1"	"aama:lemma"	"hocc’-"
"aama:ID51b84e40-d704-4833-93af-6335db57fab1"	"aama:lexlabel"	"hocc"
"aama:ID51b84e40-d704-4833-93af-6335db57fab1"	"aama:pdgmLexLabel"	"aama:hocc"
"aama:ID51b84e40-d704-4833-93af-6335db57fab1"	"aama:valence"	"aama:transitive"
"aama:ID65126cad-e704-4738-96f0-71e5581891f0"	"a"	"aama:lexid"
"aama:ID65126cad-e704-4738-96f0-71e5581891f0"	"aama:gloss"	"cook"
"aama:ID65126cad-e704-4738-96f0-71e5581891f0"	"aama:lang"	"aama:alaaba"
"aama:ID65126cad-e704-4738-96f0-71e5581891f0"	"aama:lemma"	"gaf-"
"aama:ID65126cad-e704-4738-96f0-71e5581891f0"	"aama:lexlabel"	"gaf"
"aama:ID65126cad-e704-4738-96f0-71e5581891f0"	"aama:pdgmLexLabel"	"aama:gaf"
"aama:ID758a9f00-25ab-4351-9fb2-dd9dd8df3701"	"a"	"aama:lexid"
"aama:ID758a9f00-25ab-4351-9fb2-dd9dd8df3701"	"aama:gloss"	"come"
"aama:ID758a9f00-25ab-4351-9fb2-dd9dd8df3701"	"aama:lang"	"aama:alaaba"
"aama:ID758a9f00-25ab-4351-9fb2-dd9dd8df3701"	"aama:lemma"	"ʔameet-"
"aama:ID758a9f00-25ab-4351-9fb2-dd9dd8df3701"	"aama:lexlabel"	"ameet"
"aama:ID758a9f00-25ab-4351-9fb2-dd9dd8df3701"	"aama:pdgmLexLabel"	"aama:ameet"
"aama:ID7c19ce43-afae-46f6-99c5-fb70ec6b3e3e"	"a"	"aama:lexid"
"aama:ID7c19ce43-afae-46f6-99c5-fb70ec6b3e3e"	"aama:gloss"	"go"
"aama:ID7c19ce43-afae-46f6-99c5-fb70ec6b3e3e"	"aama:lang"	"aama:alaaba"
"aama:ID7c19ce43-afae-46f6-99c5-fb70ec6b3e3e"	"aama:lemma"	"ʔorrooʔ-"
"aama:ID7c19ce43-afae-46f6-99c5-fb70ec6b3e3e"	"aama:lexlabel"	"orroo"
"aama:ID7c19ce43-afae-46f6-99c5-fb70ec6b3e3e"	"aama:pdgmLexLabel"	"aama:orroo"
"aama:ID87726b7c-bb50-4790-b803-150776486681"	"a"	"aama:lexid"
"aama:ID87726b7c-bb50-4790-b803-150776486681"	"aama:gloss"	"go"
"aama:ID87726b7c-bb50-4790-b803-150776486681"	"aama:lang"	"aama:alaaba"
"aama:ID87726b7c-bb50-4790-b803-150776486681"	"aama:lemma"	"mar-"
"aama:ID87726b7c-bb50-4790-b803-150776486681"	"aama:lexlabel"	"mar"
"aama:ID87726b7c-bb50-4790-b803-150776486681"	"aama:pdgmLexLabel"	"aama:mar"
"aama:ID94c398b7-646e-49d4-94f2-70c85e0491d3"	"a"	"aama:lexid"
"aama:ID94c398b7-646e-49d4-94f2-70c85e0491d3"	"aama:gloss"	"bring"
"aama:ID94c398b7-646e-49d4-94f2-70c85e0491d3"	"aama:lang"	"aama:alaaba"
"aama:ID94c398b7-646e-49d4-94f2-70c85e0491d3"	"aama:lemma"	"ʔeeb-"
"aama:ID94c398b7-646e-49d4-94f2-70c85e0491d3"	"aama:lexlabel"	"eeb"
"aama:ID94c398b7-646e-49d4-94f2-70c85e0491d3"	"aama:pdgmLexLabel"	"aama:eeb"
"aama:IDc22974c5-61ca-4673-847e-ceea1972eaf2"	"a"	"aama:lexid"
"aama:IDc22974c5-61ca-4673-847e-ceea1972eaf2"	"aama:gloss"	"say"
"aama:IDc22974c5-61ca-4673-847e-ceea1972eaf2"	"aama:lang"	"aama:alaaba"
"aama:IDc22974c5-61ca-4673-847e-ceea1972eaf2"	"aama:lemma"	"y-"
"aama:IDc22974c5-61ca-4673-847e-ceea1972eaf2"	"aama:lexlabel"	"y"
"aama:IDc22974c5-61ca-4673-847e-ceea1972eaf2"	"aama:pdgmLexLabel"	"aama:y"
"aama:IDd4a68317-6100-4d0b-b79a-462d3384d096"	"a"	"aama:lexid"
"aama:IDd4a68317-6100-4d0b-b79a-462d3384d096"	"aama:gloss"	"fall"
"aama:IDd4a68317-6100-4d0b-b79a-462d3384d096"	"aama:lang"	"aama:alaaba"
"aama:IDd4a68317-6100-4d0b-b79a-462d3384d096"	"aama:lemma"	"ʔub-"
"aama:IDd4a68317-6100-4d0b-b79a-462d3384d096"	"aama:lexlabel"	"ub"
"aama:IDe0d816ba-00ab-43ef-90bd-b19c49990fd6"	"a"	"aama:lexid"
"aama:IDe0d816ba-00ab-43ef-90bd-b19c49990fd6"	"aama:gloss"	"stand"
"aama:IDe0d816ba-00ab-43ef-90bd-b19c49990fd6"	"aama:lang"	"aama:alaaba"
"aama:IDe0d816ba-00ab-43ef-90bd-b19c49990fd6"	"aama:lemma"	"keʔ-"
"aama:IDe0d816ba-00ab-43ef-90bd-b19c49990fd6"	"aama:lexlabel"	"ke"
"aama:IDe0d816ba-00ab-43ef-90bd-b19c49990fd6"	"aama:pdgmLexLabel"	"aama:ke"
"aama:IDf4b97baa-90de-4cdb-9f47-ee719115c590"	"a"	"aama:lexid"
"aama:IDf4b97baa-90de-4cdb-9f47-ee719115c590"	"aama:gloss"	"buy"
"aama:IDf4b97baa-90de-4cdb-9f47-ee719115c590"	"aama:lang"	"aama:alaaba"
"aama:IDf4b97baa-90de-4cdb-9f47-ee719115c590"	"aama:lemma"	"hirʔ-"
"aama:IDf4b97baa-90de-4cdb-9f47-ee719115c590"	"aama:lexlabel"	"hir"
"aama:IDf4b97baa-90de-4cdb-9f47-ee719115c590"	"aama:pdgmLexLabel"	"aama:hir"
