?pdgmlabel	?prop1	?val1
"alaaba-VNegImperfectiveSubjMarkerSuff"	"gender"	"f"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"gender"	"m"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"gender"	"⊤"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"ns#type"	"Term"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"number"	"pl"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"number"	"politeImpersonal"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"number"	"sg"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"person"	"p1"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"person"	"p2"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"person"	"p3"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"polarity"	"negative"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"pos"	"verb"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"tam"	"imperfective"
"alaaba-VNegImperfectiveSubjMarkerSuff"	"verbMorphClass"	"subjMarkerSuff"
"alaaba-VDervStem"	"dervStem"	""
"alaaba-VDervStem"	"dervStem"	"causative-middle"
"alaaba-VDervStem"	"dervStem"	"causative-passive"
"alaaba-VDervStem"	"dervStem"	"causative-reciprocal"
"alaaba-VDervStem"	"dervStem"	"causativeD"
"alaaba-VDervStem"	"dervStem"	"detransitivize"
"alaaba-VDervStem"	"dervStem"	"inchoative"
"alaaba-VDervStem"	"dervStem"	"iterative"
"alaaba-VDervStem"	"dervStem"	"middle"
"alaaba-VDervStem"	"dervStem"	"passive"
"alaaba-VDervStem"	"dervStem"	"passive-caus"
"alaaba-VDervStem"	"dervStem"	"pluractional"
"alaaba-VDervStem"	"dervStem"	"pluractional-transitivize"
"alaaba-VDervStem"	"dervStem"	"pluractional-transitivize-caus"
"alaaba-VDervStem"	"dervStem"	"pluractional-transitivize-causD"
"alaaba-VDervStem"	"dervStem"	"pluractional-transitivize-causative-passive"
"alaaba-VDervStem"	"dervStem"	"reciprocal"
"alaaba-VDervStem"	"dervStem"	"reciprocal-caus"
"alaaba-VDervStem"	"dervStem"	"transitivize"
"alaaba-VDervStem"	"dervStem"	"transitivize-caus"
"alaaba-VDervStem"	"ns#type"	"Term"
"alaaba-VDervStem"	"pos"	"verb"
"alaaba-VDervStem"	"verbMorphClass"	"dervStem"
"alaaba-PReflexive"	"case"	"ablative"
"alaaba-PReflexive"	"case"	"absolutive"
"alaaba-PReflexive"	"case"	"absolutiveEmphatic"
"alaaba-PReflexive"	"case"	"dative"
"alaaba-PReflexive"	"case"	"genitive"
"alaaba-PReflexive"	"case"	"instrumental"
"alaaba-PReflexive"	"gender"	"f"
"alaaba-PReflexive"	"gender"	"m"
"alaaba-PReflexive"	"gender"	"⊤"
"alaaba-PReflexive"	"ns#type"	"Term"
"alaaba-PReflexive"	"number"	"pl"
"alaaba-PReflexive"	"number"	"sg"
"alaaba-PReflexive"	"person"	"p1"
"alaaba-PReflexive"	"person"	"p2"
"alaaba-PReflexive"	"person"	"p3"
"alaaba-PReflexive"	"pos"	"pronoun"
"alaaba-PReflexive"	"proClass"	"reflexive"
"alaaba-VPosteriofSubSubjSuff"	"gender"	"f"
"alaaba-VPosteriofSubSubjSuff"	"gender"	"m"
"alaaba-VPosteriofSubSubjSuff"	"gender"	"⊤"
"alaaba-VPosteriofSubSubjSuff"	"ns#type"	"Term"
"alaaba-VPosteriofSubSubjSuff"	"number"	"pl"
"alaaba-VPosteriofSubSubjSuff"	"number"	"polite"
"alaaba-VPosteriofSubSubjSuff"	"number"	"sg"
"alaaba-VPosteriofSubSubjSuff"	"person"	"p1"
"alaaba-VPosteriofSubSubjSuff"	"person"	"p2"
"alaaba-VPosteriofSubSubjSuff"	"person"	"p3"
"alaaba-VPosteriofSubSubjSuff"	"pos"	"verb"
"alaaba-VPosteriofSubSubjSuff"	"tam"	"posteriorSub"
"alaaba-VPosteriofSubSubjSuff"	"verbMorphClass"	"subjSuff"
"alaaba-VNegPerfectiveSubjMarkerSuff"	"gender"	"f"
"alaaba-VNegPerfectiveSubjMarkerSuff"	"gender"	"m"
"alaaba-VNegPerfectiveSubjMarkerSuff"	"gender"	"⊤"
"alaaba-VNegPerfectiveSubjMarkerSuff"	"ns#type"	"Term"
"alaaba-VNegPerfectiveSubjMarkerSuff"	"number"	"pl"
"alaaba-VNegPerfectiveSubjMarkerSuff"	"number"	"politeImpersonal"
"alaaba-VNegPerfectiveSubjMarkerSuff"	"number"	"sg"
"alaaba-VNegPerfectiveSubjMarkerSuff"	"person"	"p1"
"alaaba-VNegPerfectiveSubjMarkerSuff"	"person"	"p2"
