?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"ablative"	"alaaba-PProIndClit"
"pronoun"	"case"	"ablative"	"alaaba-PReciprocal"
"pronoun"	"case"	"ablative"	"alaaba-PReflexive"
"pronoun"	"case"	"absolutive"	"alaaba-PProIndClit"
"pronoun"	"case"	"absolutive"	"alaaba-PReciprocal"
"pronoun"	"case"	"absolutive"	"alaaba-PReflexive"
"pronoun"	"case"	"absolutiveEmphatic"	"alaaba-PReflexive"
"pronoun"	"case"	"dative"	"alaaba-PProIndClit"
"pronoun"	"case"	"dative"	"alaaba-PReciprocal"
"pronoun"	"case"	"dative"	"alaaba-PReflexive"
"pronoun"	"case"	"genitive"	"alaaba-PProIndClit"
"pronoun"	"case"	"genitive"	"alaaba-PReflexive"
"pronoun"	"case"	"instrumental"	"alaaba-PProIndClit"
"pronoun"	"case"	"instrumental"	"alaaba-PReflexive"
"pronoun"	"case"	"nominative"	"alaaba-PProIndClit"
"pronoun"	"case"	"possessive"	"alaaba-PAbsPoss"
"pronoun"	"case"	"similative"	"alaaba-PProIndClit"
"pronoun"	"case"	"similative"	"alaaba-PReciprocal"
"pronoun"	"genderHead"	"f"	"alaaba-PAbsPoss"
"pronoun"	"genderHead"	"m"	"alaaba-PAbsPoss"
"pronoun"	"ns#type"	"Term"	"alaaba-PAbsPoss"
"pronoun"	"ns#type"	"Term"	"alaaba-PProEmph"
"pronoun"	"ns#type"	"Term"	"alaaba-PProIndClit"
"pronoun"	"ns#type"	"Term"	"alaaba-PReciprocal"
"pronoun"	"ns#type"	"Term"	"alaaba-PReflexive"
"pronoun"	"proClass"	"absPoss"	"alaaba-PAbsPoss"
"pronoun"	"proClass"	"proClit"	"alaaba-PProIndClit"
"pronoun"	"proClass"	"proEmph"	"alaaba-PProEmph"
"pronoun"	"proClass"	"proInd"	"alaaba-PProIndClit"
"pronoun"	"proClass"	"proIndClit"	"alaaba-PProIndClit"
"pronoun"	"proClass"	"reciprocal"	"alaaba-PReciprocal"
"pronoun"	"proClass"	"reflexive"	"alaaba-PReflexive"
"verb"	"clauseType"	"co-Subject"	"alaaba-VTenseAspectMarking"
"verb"	"clauseType"	"main"	"alaaba-VTenseAspectMarking"
"verb"	"clauseType"	"subordinate"	"alaaba-VTenseAspectMarking"
"verb"	"dervStem"	""	"alaaba-VCausative"
"verb"	"dervStem"	""	"alaaba-VCausativeCaustemAllomorph"
"verb"	"dervStem"	""	"alaaba-VDervStem"
"verb"	"dervStem"	"base"	"alaaba-VCausative"
"verb"	"dervStem"	"causative-middle"	"alaaba-VDervStem"
"verb"	"dervStem"	"causative-passive"	"alaaba-VDervStem"
"verb"	"dervStem"	"causative-reciprocal"	"alaaba-VDervStem"
"verb"	"dervStem"	"causativeD"	"alaaba-VDervStem"
"verb"	"dervStem"	"causativeDouble1"	"alaaba-VCausative"
"verb"	"dervStem"	"causativeDouble2"	"alaaba-VCausative"
"verb"	"dervStem"	"causativeSimple2"	"alaaba-VCausative"
"verb"	"dervStem"	"causativeSimplel1"	"alaaba-VCausative"
"verb"	"dervStem"	"causativeSimplel2"	"alaaba-VCausative"
"verb"	"dervStem"	"detransitivize"	"alaaba-VDervStem"
"verb"	"dervStem"	"inchoative"	"alaaba-VDervStem"
"verb"	"dervStem"	"iterative"	"alaaba-VDervStem"
"verb"	"dervStem"	"middle"	"alaaba-VDervStem"
"verb"	"dervStem"	"passive"	"alaaba-VDervStem"
"verb"	"dervStem"	"passive-caus"	"alaaba-VDervStem"
"verb"	"dervStem"	"pluractional"	"alaaba-VDervStem"
"verb"	"dervStem"	"pluractional-transitivize"	"alaaba-VDervStem"
"verb"	"dervStem"	"pluractional-transitivize-caus"	"alaaba-VDervStem"
"verb"	"dervStem"	"pluractional-transitivize-causD"	"alaaba-VDervStem"
"verb"	"dervStem"	"pluractional-transitivize-causative-passive"	"alaaba-VDervStem"
"verb"	"dervStem"	"reciprocal"	"alaaba-VDervStem"
"verb"	"dervStem"	"reciprocal-caus"	"alaaba-VDervStem"
"verb"	"dervStem"	"transitivize"	"alaaba-VDervStem"
"verb"	"dervStem"	"transitivize-caus"	"alaaba-VDervStem"
"verb"	"ns#type"	"Term"	"alaaba-VAffAnteriorPerfKorj"
"verb"	"ns#type"	"Term"	"alaaba-VAffAnteriorPerfSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VAffAnteriorPerfUb"
"verb"	"ns#type"	"Term"	"alaaba-VAffAnteriorPerfY"
"verb"	"ns#type"	"Term"	"alaaba-VAffFutProxKorj"
"verb"	"ns#type"	"Term"	"alaaba-VAffFutProxSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VAffImperfectiveKorj"
"verb"	"ns#type"	"Term"	"alaaba-VAffImperfectiveSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VAffImprtvOrroo"
"verb"	"ns#type"	"Term"	"alaaba-VAffImprtvSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VAffPerfectiveKorj"
"verb"	"ns#type"	"Term"	"alaaba-VAffPerfectiveSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VAffPerfectiveUb"
"verb"	"ns#type"	"Term"	"alaaba-VAffPerfectiveY"
"verb"	"ns#type"	"Term"	"alaaba-VAffProgressiveKorj"
"verb"	"ns#type"	"Term"	"alaaba-VAffProgressiveSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VCausative"
"verb"	"ns#type"	"Term"	"alaaba-VCausativeCaustemAllomorph"
"verb"	"ns#type"	"Term"	"alaaba-VConverbAmeet"
"verb"	"ns#type"	"Term"	"alaaba-VConverbDiffSubjSuffHir"
"verb"	"ns#type"	"Term"	"alaaba-VConverbGaf"
"verb"	"ns#type"	"Term"	"alaaba-VConverbKe"
"verb"	"ns#type"	"Term"	"alaaba-VConverbMar"
"verb"	"ns#type"	"Term"	"alaaba-VConverbSubjSuff"
"verb"	"ns#type"	"Term"	"alaaba-VCopula"
"verb"	"ns#type"	"Term"	"alaaba-VDervStem"
"verb"	"ns#type"	"Term"	"alaaba-VInfinitive"
"verb"	"ns#type"	"Term"	"alaaba-VKorj-"
"verb"	"ns#type"	"Term"	"alaaba-VNegFutProxSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VNegImperfectiveKorj"
"verb"	"ns#type"	"Term"	"alaaba-VNegImperfectiveSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VNegImprtvOrroo"
"verb"	"ns#type"	"Term"	"alaaba-VNegImprtvSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VNegPerfectiveKorj"
"verb"	"ns#type"	"Term"	"alaaba-VNegPerfectiveSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VNegPerfectiveUb"
"verb"	"ns#type"	"Term"	"alaaba-VNegPerfectiveY"
"verb"	"ns#type"	"Term"	"alaaba-VNegProgressiveKorj"
"verb"	"ns#type"	"Term"	"alaaba-VNegProgressiveSubjMarkerSuff"
"verb"	"ns#type"	"Term"	"alaaba-VPosteriofSubSubjSuff"
"verb"	"ns#type"	"Term"	"alaaba-VPosteriorSubOrroo"
"verb"	"ns#type"	"Term"	"alaaba-VProgSubSubjSuff"
"verb"	"ns#type"	"Term"	"alaaba-VPurpSub"
"verb"	"ns#type"	"Term"	"alaaba-VSubjMarkers"
"verb"	"ns#type"	"Term"	"alaaba-VTenseAspectMarking"
"verb"	"pdgmType"	"exemplary"	"alaaba-VCausative"
"verb"	"polarity"	"affirmative"	"alaaba-VAffAnteriorPerfKorj"
"verb"	"polarity"	"affirmative"	"alaaba-VAffAnteriorPerfSubjMarkerSuff"
"verb"	"polarity"	"affirmative"	"alaaba-VAffAnteriorPerfUb"
"verb"	"polarity"	"affirmative"	"alaaba-VAffAnteriorPerfY"
"verb"	"polarity"	"affirmative"	"alaaba-VAffFutProxKorj"
"verb"	"polarity"	"affirmative"	"alaaba-VAffFutProxSubjMarkerSuff"
"verb"	"polarity"	"affirmative"	"alaaba-VAffImperfectiveKorj"
