?qlexid	?qp	?qo
"aama:ID06a11a0c-a081-45f1-9c47-4848a1d45f1f"	"a"	"aama:lexid"
"aama:ID06a11a0c-a081-45f1-9c47-4848a1d45f1f"	"aama:gloss"	"do"
"aama:ID06a11a0c-a081-45f1-9c47-4848a1d45f1f"	"aama:lang"	"aama:arabic"
"aama:ID06a11a0c-a081-45f1-9c47-4848a1d45f1f"	"aama:lemma"	"fʕl"
"aama:ID06a11a0c-a081-45f1-9c47-4848a1d45f1f"	"aama:lexlabel"	"fʕl"
"aama:ID06a11a0c-a081-45f1-9c47-4848a1d45f1f"	"aama:pos"	"aama:verb"
"aama:ID06a11a0c-a081-45f1-9c47-4848a1d45f1f"	"aama:rootClass"	"aama:CCC"
"aama:IDf6dda881-6d64-4e97-b3b0-72c1a122ce75"	"a"	"aama:lexid"
"aama:IDf6dda881-6d64-4e97-b3b0-72c1a122ce75"	"aama:gloss"	"help"
"aama:IDf6dda881-6d64-4e97-b3b0-72c1a122ce75"	"aama:lang"	"aama:arabic"
"aama:IDf6dda881-6d64-4e97-b3b0-72c1a122ce75"	"aama:lemma"	"nṣr"
"aama:IDf6dda881-6d64-4e97-b3b0-72c1a122ce75"	"aama:lexlabel"	"nsr"
"aama:IDf6dda881-6d64-4e97-b3b0-72c1a122ce75"	"aama:pos"	"aama:verb"
"aama:IDf6dda881-6d64-4e97-b3b0-72c1a122ce75"	"aama:rootClass"	"aama:CCC"
