?pdgmlabel	?prop1	?val1
"arabic-Vform1ActSubj-nsr"	"aspect"	"imperfective"
"arabic-Vform1ActSubj-nsr"	"dervStem"	"form1"
"arabic-Vform1ActSubj-nsr"	"gender"	"c"
"arabic-Vform1ActSubj-nsr"	"gender"	"f"
"arabic-Vform1ActSubj-nsr"	"gender"	"m"
"arabic-Vform1ActSubj-nsr"	"mood"	"subjunctive"
"arabic-Vform1ActSubj-nsr"	"ns#type"	"Term"
"arabic-Vform1ActSubj-nsr"	"number"	"du"
"arabic-Vform1ActSubj-nsr"	"number"	"pl"
"arabic-Vform1ActSubj-nsr"	"number"	"sg"
"arabic-Vform1ActSubj-nsr"	"person"	"p1"
"arabic-Vform1ActSubj-nsr"	"person"	"p2"
"arabic-Vform1ActSubj-nsr"	"person"	"p3"
"arabic-Vform1ActSubj-nsr"	"pos"	"verb"
"arabic-Vform1ActSubj-nsr"	"tense"	"nonpast"
"arabic-Vform1ActSubj-nsr"	"voice"	"active"
"arabic-Vform1PassImperf-nsr"	"aspect"	"imperfective"
"arabic-Vform1PassImperf-nsr"	"dervStem"	"form1"
"arabic-Vform1PassImperf-nsr"	"gender"	"c"
"arabic-Vform1PassImperf-nsr"	"gender"	"f"
"arabic-Vform1PassImperf-nsr"	"gender"	"m"
"arabic-Vform1PassImperf-nsr"	"mood"	"indicative"
"arabic-Vform1PassImperf-nsr"	"ns#type"	"Term"
"arabic-Vform1PassImperf-nsr"	"number"	"du"
"arabic-Vform1PassImperf-nsr"	"number"	"pl"
"arabic-Vform1PassImperf-nsr"	"number"	"sg"
"arabic-Vform1PassImperf-nsr"	"person"	"p1"
"arabic-Vform1PassImperf-nsr"	"person"	"p2"
"arabic-Vform1PassImperf-nsr"	"person"	"p3"
"arabic-Vform1PassImperf-nsr"	"pos"	"verb"
"arabic-Vform1PassImperf-nsr"	"tense"	"nonpast"
"arabic-Vform1PassImperf-nsr"	"voice"	"passive"
"arabic-Vform1PassJuss-nsr"	"aspect"	"imperfective"
"arabic-Vform1PassJuss-nsr"	"dervStem"	"form1"
"arabic-Vform1PassJuss-nsr"	"gender"	"c"
"arabic-Vform1PassJuss-nsr"	"gender"	"f"
"arabic-Vform1PassJuss-nsr"	"gender"	"m"
"arabic-Vform1PassJuss-nsr"	"mood"	"jussive"
"arabic-Vform1PassJuss-nsr"	"ns#type"	"Term"
"arabic-Vform1PassJuss-nsr"	"number"	"du"
"arabic-Vform1PassJuss-nsr"	"number"	"pl"
"arabic-Vform1PassJuss-nsr"	"number"	"sg"
"arabic-Vform1PassJuss-nsr"	"person"	"p1"
"arabic-Vform1PassJuss-nsr"	"person"	"p2"
"arabic-Vform1PassJuss-nsr"	"person"	"p3"
"arabic-Vform1PassJuss-nsr"	"pos"	"verb"
"arabic-Vform1PassJuss-nsr"	"tense"	"nonpast"
"arabic-Vform1PassJuss-nsr"	"voice"	"passive"
"arabic-Vform1Infinitive-nsr"	"dervStem"	"form1"
"arabic-Vform1Infinitive-nsr"	"infinitiveVar"	"infinitive1"
"arabic-Vform1Infinitive-nsr"	"infinitiveVar"	"infinitive2"
"arabic-Vform1Infinitive-nsr"	"ns#type"	"Term"
"arabic-Vform1Infinitive-nsr"	"pos"	"verb"
"arabic-Vform1Infinitive-nsr"	"verbMorphClass"	"infinitive"
"arabic-Vform1ActJuss-nsr"	"aspect"	"imperfective"
"arabic-Vform1ActJuss-nsr"	"dervStem"	"form1"
"arabic-Vform1ActJuss-nsr"	"gender"	"c"
"arabic-Vform1ActJuss-nsr"	"gender"	"f"
"arabic-Vform1ActJuss-nsr"	"gender"	"m"
"arabic-Vform1ActJuss-nsr"	"mood"	"jussive"
"arabic-Vform1ActJuss-nsr"	"ns#type"	"Term"
"arabic-Vform1ActJuss-nsr"	"number"	"du"
"arabic-Vform1ActJuss-nsr"	"number"	"pl"
"arabic-Vform1ActJuss-nsr"	"number"	"sg"
"arabic-Vform1ActJuss-nsr"	"person"	"p1"
