?qlexid	?qp	?qo
"aama:ID25c7eb16-60cd-41be-a9aa-636613dfc9b9"	"a"	"aama:lexid"
"aama:ID25c7eb16-60cd-41be-a9aa-636613dfc9b9"	"aama:conjClass"	"aama:irreg"
"aama:ID25c7eb16-60cd-41be-a9aa-636613dfc9b9"	"aama:gloss"	"want"
"aama:ID25c7eb16-60cd-41be-a9aa-636613dfc9b9"	"aama:lang"	"aama:burji"
"aama:ID25c7eb16-60cd-41be-a9aa-636613dfc9b9"	"aama:lemma"	"hayy-"
"aama:ID25c7eb16-60cd-41be-a9aa-636613dfc9b9"	"aama:lexlabel"	""
"aama:ID25c7eb16-60cd-41be-a9aa-636613dfc9b9"	"aama:pos"	"aama:verb"
"aama:ID2bc60974-cca9-4761-b66d-c1f0077ba59a"	"a"	"aama:lexid"
"aama:ID2bc60974-cca9-4761-b66d-c1f0077ba59a"	"aama:gloss"	"drink"
"aama:ID2bc60974-cca9-4761-b66d-c1f0077ba59a"	"aama:lang"	"aama:burji"
"aama:ID2bc60974-cca9-4761-b66d-c1f0077ba59a"	"aama:lemma"	"uw-"
"aama:ID2bc60974-cca9-4761-b66d-c1f0077ba59a"	"aama:lexlabel"	"d'uw"
"aama:ID581d057a-5fd6-44f5-9bca-92b825343365"	"a"	"aama:lexid"
"aama:ID581d057a-5fd6-44f5-9bca-92b825343365"	"aama:gloss"	"come"
"aama:ID581d057a-5fd6-44f5-9bca-92b825343365"	"aama:lang"	"aama:burji"
"aama:ID581d057a-5fd6-44f5-9bca-92b825343365"	"aama:lemma"	"intey-"
"aama:ID581d057a-5fd6-44f5-9bca-92b825343365"	"aama:lexlabel"	"intey"
"aama:ID80dfc4ab-ac84-4950-a3d7-816072c01e2d"	"a"	"aama:lexid"
"aama:ID80dfc4ab-ac84-4950-a3d7-816072c01e2d"	"aama:gloss"	"go out"
"aama:ID80dfc4ab-ac84-4950-a3d7-816072c01e2d"	"aama:lang"	"aama:burji"
"aama:ID80dfc4ab-ac84-4950-a3d7-816072c01e2d"	"aama:lemma"	"ba'-"
"aama:ID80dfc4ab-ac84-4950-a3d7-816072c01e2d"	"aama:lexlabel"	"ba'"
"aama:ID9725b288-f65b-4648-8c73-d7e7441d8cd9"	"a"	"aama:lexid"
"aama:ID9725b288-f65b-4648-8c73-d7e7441d8cd9"	"aama:gloss"	"eat"
"aama:ID9725b288-f65b-4648-8c73-d7e7441d8cd9"	"aama:lang"	"aama:burji"
"aama:ID9725b288-f65b-4648-8c73-d7e7441d8cd9"	"aama:lemma"	"it-"
"aama:ID9725b288-f65b-4648-8c73-d7e7441d8cd9"	"aama:lexlabel"	"it"
"aama:IDa0663e88-93b5-44ac-9a16-7ea444efa5fd"	"a"	"aama:lexid"
"aama:IDa0663e88-93b5-44ac-9a16-7ea444efa5fd"	"aama:gloss"	"go"
"aama:IDa0663e88-93b5-44ac-9a16-7ea444efa5fd"	"aama:lang"	"aama:burji"
"aama:IDa0663e88-93b5-44ac-9a16-7ea444efa5fd"	"aama:lemma"	"mar-"
"aama:IDa0663e88-93b5-44ac-9a16-7ea444efa5fd"	"aama:lexlabel"	"mar"
"aama:IDbd73f7fb-4276-4f8c-bef5-76853e4c8b76"	"a"	"aama:lexid"
"aama:IDbd73f7fb-4276-4f8c-bef5-76853e4c8b76"	"aama:gloss"	"know"
"aama:IDbd73f7fb-4276-4f8c-bef5-76853e4c8b76"	"aama:lang"	"aama:burji"
"aama:IDbd73f7fb-4276-4f8c-bef5-76853e4c8b76"	"aama:lemma"	"beeh-"
"aama:IDbd73f7fb-4276-4f8c-bef5-76853e4c8b76"	"aama:lexlabel"	"beeh"
"aama:IDfdd60961-79c8-458a-90c6-bb4ca0f930ae"	"a"	"aama:lexid"
"aama:IDfdd60961-79c8-458a-90c6-bb4ca0f930ae"	"aama:gloss"	"strike"
"aama:IDfdd60961-79c8-458a-90c6-bb4ca0f930ae"	"aama:lang"	"aama:burji"
"aama:IDfdd60961-79c8-458a-90c6-bb4ca0f930ae"	"aama:lemma"	"nak'-"
"aama:IDfdd60961-79c8-458a-90c6-bb4ca0f930ae"	"aama:lexlabel"	"nak'"
