?qlexid	?qp	?qo
"aama:ID1b187b98-8ae5-4564-99f4-1ad3ade0c255"	"a"	"aama:lexid"
"aama:ID1b187b98-8ae5-4564-99f4-1ad3ade0c255"	"aama:gloss"	"give"
"aama:ID1b187b98-8ae5-4564-99f4-1ad3ade0c255"	"aama:lang"	"aama:coptic"
"aama:ID1b187b98-8ae5-4564-99f4-1ad3ade0c255"	"aama:langVar"	"aama:sahidic"
"aama:ID1b187b98-8ae5-4564-99f4-1ad3ade0c255"	"aama:lemma"	"ϯ"
"aama:ID1b187b98-8ae5-4564-99f4-1ad3ade0c255"	"aama:lexlabel"	"ti"
"aama:ID1b187b98-8ae5-4564-99f4-1ad3ade0c255"	"aama:pos"	"aama:verb"
"aama:ID1b187b98-8ae5-4564-99f4-1ad3ade0c255"	"aama:transitivity"	"aama:trans"
"aama:ID1f4a7d1d-2e97-4b78-8a61-cdb33e3dc7a4"	"a"	"aama:lexid"
"aama:ID1f4a7d1d-2e97-4b78-8a61-cdb33e3dc7a4"	"aama:gloss"	"love"
"aama:ID1f4a7d1d-2e97-4b78-8a61-cdb33e3dc7a4"	"aama:lang"	"aama:coptic"
"aama:ID1f4a7d1d-2e97-4b78-8a61-cdb33e3dc7a4"	"aama:langVar"	"aama:sahidic"
"aama:ID1f4a7d1d-2e97-4b78-8a61-cdb33e3dc7a4"	"aama:lemma"	"ⲙⲉ"
"aama:ID1f4a7d1d-2e97-4b78-8a61-cdb33e3dc7a4"	"aama:lexlabel"	"me"
"aama:ID1f4a7d1d-2e97-4b78-8a61-cdb33e3dc7a4"	"aama:pos"	"aama:verb"
"aama:ID1f4a7d1d-2e97-4b78-8a61-cdb33e3dc7a4"	"aama:transitivity"	"aama:trans"
"aama:ID2b15ee05-38fd-4eaa-8e89-073d455227ff"	"a"	"aama:lexid"
"aama:ID2b15ee05-38fd-4eaa-8e89-073d455227ff"	"aama:gloss"	"choose"
"aama:ID2b15ee05-38fd-4eaa-8e89-073d455227ff"	"aama:lang"	"aama:coptic"
"aama:ID2b15ee05-38fd-4eaa-8e89-073d455227ff"	"aama:langVar"	"aama:sahidic"
"aama:ID2b15ee05-38fd-4eaa-8e89-073d455227ff"	"aama:lemma"	"ⲥⲱⲧⲡ̄"
"aama:ID2b15ee05-38fd-4eaa-8e89-073d455227ff"	"aama:lexlabel"	"sotp"
"aama:ID2b15ee05-38fd-4eaa-8e89-073d455227ff"	"aama:pos"	"aama:verb"
"aama:ID2b15ee05-38fd-4eaa-8e89-073d455227ff"	"aama:transitivity"	"aama:trans"
"aama:ID5c84074b-0065-4322-a65f-40d9da77f2de"	"a"	"aama:lexid"
"aama:ID5c84074b-0065-4322-a65f-40d9da77f2de"	"aama:gloss"	"bear (a child)"
"aama:ID5c84074b-0065-4322-a65f-40d9da77f2de"	"aama:lang"	"aama:coptic"
"aama:ID5c84074b-0065-4322-a65f-40d9da77f2de"	"aama:langVar"	"aama:sahidic"
"aama:ID5c84074b-0065-4322-a65f-40d9da77f2de"	"aama:lemma"	"ⲙⲓⲥⲉ"
"aama:ID5c84074b-0065-4322-a65f-40d9da77f2de"	"aama:lexlabel"	"mise"
"aama:ID5c84074b-0065-4322-a65f-40d9da77f2de"	"aama:pos"	"aama:verb"
"aama:ID5c84074b-0065-4322-a65f-40d9da77f2de"	"aama:transitivity"	"aama:trans"
"aama:ID6a94c604-57b1-416d-8327-e7ae8789b9b7"	"a"	"aama:lexid"
"aama:ID6a94c604-57b1-416d-8327-e7ae8789b9b7"	"aama:gloss"	"fill"
"aama:ID6a94c604-57b1-416d-8327-e7ae8789b9b7"	"aama:lang"	"aama:coptic"
"aama:ID6a94c604-57b1-416d-8327-e7ae8789b9b7"	"aama:langVar"	"aama:sahidic"
"aama:ID6a94c604-57b1-416d-8327-e7ae8789b9b7"	"aama:lemma"	"ⲙⲟⲩϩ"
"aama:ID6a94c604-57b1-416d-8327-e7ae8789b9b7"	"aama:lexlabel"	"mouh"
"aama:ID6a94c604-57b1-416d-8327-e7ae8789b9b7"	"aama:pos"	"aama:verb"
"aama:ID6a94c604-57b1-416d-8327-e7ae8789b9b7"	"aama:transitivity"	"aama:trans"
