?pos	?property	?value	?pdgmlabel
"pronoun"	"genderHead"	"f"	"coptic_S-PPossessive"
"pronoun"	"genderHead"	"m"	"coptic_S-PPossessive"
"pronoun"	"genderPoss"	"f"	"coptic_S-PPossessive"
"pronoun"	"genderPoss"	"m"	"coptic_S-PPossessive"
"pronoun"	"morphClass"	"demonstrativeNear"	"coptic_S-PDemonstrativeNear"
"pronoun"	"morphClass"	"demonstrativeRemote"	"coptic_S-PDemonstrativeRemote"
"pronoun"	"morphClass"	"intensive1"	"coptic_S-PIntensive1"
"pronoun"	"morphClass"	"intensive2"	"coptic_S-PIntensive2"
"pronoun"	"morphClass"	"intensive3"	"coptic_S-PIntensive3"
"pronoun"	"morphClass"	"possessive"	"coptic_S-PPossessive"
"pronoun"	"ns#type"	"Term"	"coptic_S-PDemonstrativeNear"
"pronoun"	"ns#type"	"Term"	"coptic_S-PDemonstrativeRemote"
"pronoun"	"ns#type"	"Term"	"coptic_S-PInd"
"pronoun"	"ns#type"	"Term"	"coptic_S-PIntensive1"
"pronoun"	"ns#type"	"Term"	"coptic_S-PIntensive2"
"pronoun"	"ns#type"	"Term"	"coptic_S-PIntensive3"
"pronoun"	"ns#type"	"Term"	"coptic_S-PPossessive"
"pronoun"	"numberHead"	"pl"	"coptic_S-PPossessive"
"pronoun"	"numberHead"	"sg"	"coptic_S-PPossessive"
"pronoun"	"proClass"	"independent"	"coptic_S-PInd"
"verb"	""	""	"coptic_S-VAffCircumstantial-rime"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCV1-ji"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCV2-ti"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCV3-ko"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCV4-me"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCVC1-hop"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCVC2-mouh"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCVC3Irreg-eire"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCVC3Reg-mise"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCVCC-sotp"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCVReg-ji"
"verb"	"clauseConjugation"	"U"	"coptic_S-VInfinCompoundCausative-tamo"
"verb"	"clauseConjugation"	"conditional"	"coptic_S-VAffConditional-rime"
"verb"	"clauseConjugation"	"main"	"coptic_S-VAffAorist-rime"
"verb"	"clauseConjugation"	"main"	"coptic_S-VAffInjunct-rime"
"verb"	"clauseConjugation"	"main"	"coptic_S-VAffPerf2-bok"
"verb"	"clauseConjugation"	"main"	"coptic_S-VAffPres1-rime"
"verb"	"clauseConjugation"	"main"	"coptic_S-VAffPres2-rime"
"verb"	"clauseConjugation"	"main"	"coptic_S-VNegAorist-rime"
"verb"	"clauseConjugation"	"main"	"coptic_S-VNegPerf1-bok"
"verb"	"clauseConjugation"	"main"	"coptic_S-VNegPres1-rime"
"verb"	"clauseConjugation"	"relative"	"coptic_S-VAffRelPerf1-bok"
"verb"	"clauseConjugation"	"relative"	"coptic_S-VAffRelPres1-bok"
"verb"	"clauseConjugation"	"result"	"coptic_S-VAffResult-rime"
"verb"	"clauseConjugation"	"subordinate"	"coptic_S-VAffCircumstantial-rime"
"verb"	"clauseConjugation"	"temporal"	"coptic_S-VNegTemporal-bok"
"verb"	"clauseConjugation"	"temporalSubordinate"	"coptic_S-VAffTemporalSubordinate-bok"
"verb"	"clauseConjugation"	"terminative"	"coptic_S-VAffTerminative-bok"
"verb"	"clauseConjugation"	"variable"	"coptic_S-VAffConj-bok"
"verb"	"clauseConjugation"	"variable"	"coptic_S-VAffFut3-rime"
"verb"	"clauseConjugation"	"variable"	"coptic_S-VAffImperf-rime"
"verb"	"clauseConjugation"	"variable"	"coptic_S-VAffInflectedInfin-bok"
"verb"	"clauseConjugation"	"variable"	"coptic_S-VNegFut3-rime"
"verb"	"clauseConjugation"	"variable"	"coptic_S-VNotYet-bok"
"verb"	"clauseType"	"relative"	"coptic_S-VAffRelPerf1-bok"
"verb"	"clauseType"	"relative"	"coptic_S-VAffRelPres1-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffAorist-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffCircumstantial-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffConditional-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffConj-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffFut3-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffImperf-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffInflectedInfin-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffInjunct-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffPerf2-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffPres1-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffPres2-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffRelPerf1-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffRelPres1-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffResult-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffTemporalSubordinate-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VAffTerminative-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VNegAorist-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VNegFut3-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VNegPerf1-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VNegPres1-rime"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VNegTemporal-bok"
"verb"	"formClass"	"absoluteInfinitive"	"coptic_S-VNotYet-bok"
"verb"	"imperativeForm"	"construct"	"coptic_S-VAffImperative-jo"
"verb"	"imperativeForm"	"pronominal"	"coptic_S-VAffImperative-jo"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCV1-ji"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCV2-ti"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCV3-ko"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCV4-me"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCVC1-hop"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCVC2-mouh"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCVC3Irreg-eire"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCVC3Reg-mise"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCVCC-sotp"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCVReg-ji"
"verb"	"infinitiveForm"	"absolute"	"coptic_S-VInfinCompoundCausative-tamo"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCV1-ji"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCV2-ti"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCV3-ko"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCV4-me"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCVC1-hop"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCVC2-mouh"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCVC3Irreg-eire"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCVC3Reg-mise"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCVCC-sotp"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCVReg-ji"
"verb"	"infinitiveForm"	"construct"	"coptic_S-VInfinCompoundCausative-tamo"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCV1-ji"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCV2-ti"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCV3-ko"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCV4-me"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCVC1-hop"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCVC2-mouh"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCVC3Irreg-eire"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCVC3Reg-mise"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCVCC-sotp"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCVReg-ji"
"verb"	"infinitiveForm"	"pronominal"	"coptic_S-VInfinCompoundCausative-tamo"
