?pdgmlabel	?prop1	?val1
"egyptian_M-PDep"	"gender"	"f"
"egyptian_M-PDep"	"gender"	"m"
"egyptian_M-PDep"	"gender"	"⊤"
"egyptian_M-PDep"	"ns#type"	"Term"
"egyptian_M-PDep"	"number"	"pl"
"egyptian_M-PDep"	"number"	"sg"
"egyptian_M-PDep"	"person"	"p1"
"egyptian_M-PDep"	"person"	"p2"
"egyptian_M-PDep"	"person"	"p3"
"egyptian_M-PDep"	"pos"	"pronoun"
"egyptian_M-PDep"	"proClass"	"dependent"
"egyptian_M-PSuff"	"gender"	"f"
"egyptian_M-PSuff"	"gender"	"m"
"egyptian_M-PSuff"	"gender"	"⊤"
"egyptian_M-PSuff"	"ns#type"	"Term"
"egyptian_M-PSuff"	"number"	"du"
"egyptian_M-PSuff"	"number"	"pl"
"egyptian_M-PSuff"	"number"	"sg"
"egyptian_M-PSuff"	"person"	"p1"
"egyptian_M-PSuff"	"person"	"p2"
"egyptian_M-PSuff"	"person"	"p3"
"egyptian_M-PSuff"	"pos"	"pronoun"
"egyptian_M-PSuff"	"proClass"	"suffix"
"egyptian_M-PInd"	"gender"	"f"
"egyptian_M-PInd"	"gender"	"m"
"egyptian_M-PInd"	"gender"	"⊤"
"egyptian_M-PInd"	"ns#type"	"Term"
"egyptian_M-PInd"	"number"	"pl"
"egyptian_M-PInd"	"number"	"sg"
"egyptian_M-PInd"	"person"	"p1"
"egyptian_M-PInd"	"person"	"p2"
"egyptian_M-PInd"	"person"	"p3"
"egyptian_M-PInd"	"pos"	"pronoun"
"egyptian_M-PInd"	"proClass"	"independent"
