?qlexid	?qp	?qo
"aama:ID32eea0f2-bd48-467e-a07c-96f189418419"	"a"	"aama:lexid"
"aama:ID32eea0f2-bd48-467e-a07c-96f189418419"	"aama:gloss"	"betray (HD)"
"aama:ID32eea0f2-bd48-467e-a07c-96f189418419"	"aama:gloss"	"betray(HD) "
"aama:ID32eea0f2-bd48-467e-a07c-96f189418419"	"aama:lang"	"aama:gawwada"
"aama:ID32eea0f2-bd48-467e-a07c-96f189418419"	"aama:lemma"	"pupusaʕ-"
"aama:ID32eea0f2-bd48-467e-a07c-96f189418419"	"aama:lemma"	"pupusaʕ- "
"aama:ID32eea0f2-bd48-467e-a07c-96f189418419"	"aama:lexlabel"	"pupusa`"
"aama:ID32eea0f2-bd48-467e-a07c-96f189418419"	"aama:pdgmLexLabel"	"aama:pupusa"
"aama:ID342652ef-1de1-4954-b7d5-ec2e7e3eceb0"	"a"	"aama:lexid"
"aama:ID342652ef-1de1-4954-b7d5-ec2e7e3eceb0"	"aama:gloss"	"come"
"aama:ID342652ef-1de1-4954-b7d5-ec2e7e3eceb0"	"aama:gloss"	"come "
"aama:ID342652ef-1de1-4954-b7d5-ec2e7e3eceb0"	"aama:lang"	"aama:gawwada"
"aama:ID342652ef-1de1-4954-b7d5-ec2e7e3eceb0"	"aama:lemma"	"ógááy-"
"aama:ID342652ef-1de1-4954-b7d5-ec2e7e3eceb0"	"aama:lemma"	"ógááy- "
"aama:ID342652ef-1de1-4954-b7d5-ec2e7e3eceb0"	"aama:lexlabel"	"oggay"
"aama:ID342652ef-1de1-4954-b7d5-ec2e7e3eceb0"	"aama:pdgmLexLabel"	"aama:oggay"
"aama:ID3a346467-e0fe-4535-9a8e-e9d0e5c691e9"	"a"	"aama:lexid"
"aama:ID3a346467-e0fe-4535-9a8e-e9d0e5c691e9"	"aama:gloss"	"grind"
"aama:ID3a346467-e0fe-4535-9a8e-e9d0e5c691e9"	"aama:gloss"	"grind "
"aama:ID3a346467-e0fe-4535-9a8e-e9d0e5c691e9"	"aama:lang"	"aama:gawwada"
"aama:ID3a346467-e0fe-4535-9a8e-e9d0e5c691e9"	"aama:lemma"	"yóoqa"
"aama:ID3a346467-e0fe-4535-9a8e-e9d0e5c691e9"	"aama:lemma"	"yóoqa "
"aama:ID3a346467-e0fe-4535-9a8e-e9d0e5c691e9"	"aama:lexlabel"	"yooq"
"aama:ID3a346467-e0fe-4535-9a8e-e9d0e5c691e9"	"aama:pdgmLexLabel"	"aama:yooq"
"aama:ID3d39f3e5-4fa1-4643-bae0-ec677a8a529a"	"a"	"aama:lexid"
"aama:ID3d39f3e5-4fa1-4643-bae0-ec677a8a529a"	"aama:gloss"	"dress (tr.)"
"aama:ID3d39f3e5-4fa1-4643-bae0-ec677a8a529a"	"aama:gloss"	"dress(tr.) "
"aama:ID3d39f3e5-4fa1-4643-bae0-ec677a8a529a"	"aama:lang"	"aama:gawwada"
"aama:ID3d39f3e5-4fa1-4643-bae0-ec677a8a529a"	"aama:lemma"	"úrkées"
"aama:ID3d39f3e5-4fa1-4643-bae0-ec677a8a529a"	"aama:lemma"	"úrkées "
"aama:ID3d39f3e5-4fa1-4643-bae0-ec677a8a529a"	"aama:lexlabel"	"urkees"
"aama:ID3d39f3e5-4fa1-4643-bae0-ec677a8a529a"	"aama:pdgmLexLabel"	"aama:urkees"
"aama:ID571b13bd-9102-4e7c-bf2f-49074b43f650"	"a"	"aama:lexid"
"aama:ID571b13bd-9102-4e7c-bf2f-49074b43f650"	"aama:gloss"	"drink"
"aama:ID571b13bd-9102-4e7c-bf2f-49074b43f650"	"aama:lang"	"aama:gawwada"
"aama:ID571b13bd-9102-4e7c-bf2f-49074b43f650"	"aama:lemma"	"ʕúg-"
"aama:ID571b13bd-9102-4e7c-bf2f-49074b43f650"	"aama:lexlabel"	"`ug"
"aama:ID58250414-5629-4ce6-812c-44f4889f17da"	"a"	"aama:lexid"
"aama:ID58250414-5629-4ce6-812c-44f4889f17da"	"aama:gloss"	"give"
"aama:ID58250414-5629-4ce6-812c-44f4889f17da"	"aama:gloss"	"give "
"aama:ID58250414-5629-4ce6-812c-44f4889f17da"	"aama:lang"	"aama:gawwada"
"aama:ID58250414-5629-4ce6-812c-44f4889f17da"	"aama:lemma"	"teeħ-"
"aama:ID58250414-5629-4ce6-812c-44f4889f17da"	"aama:lemma"	"teeħ- "
"aama:ID58250414-5629-4ce6-812c-44f4889f17da"	"aama:lexlabel"	"teeh'"
"aama:ID58250414-5629-4ce6-812c-44f4889f17da"	"aama:pdgmLexLabel"	"aama:teeh"
"aama:ID8d7bce17-2f2d-4c64-aef7-31b4f9c8507c"	"a"	"aama:lexid"
"aama:ID8d7bce17-2f2d-4c64-aef7-31b4f9c8507c"	"aama:gloss"	"run"
"aama:ID8d7bce17-2f2d-4c64-aef7-31b4f9c8507c"	"aama:gloss"	"run "
"aama:ID8d7bce17-2f2d-4c64-aef7-31b4f9c8507c"	"aama:lang"	"aama:gawwada"
"aama:ID8d7bce17-2f2d-4c64-aef7-31b4f9c8507c"	"aama:lemma"	"sór"
"aama:ID8d7bce17-2f2d-4c64-aef7-31b4f9c8507c"	"aama:lemma"	"sór "
"aama:ID8d7bce17-2f2d-4c64-aef7-31b4f9c8507c"	"aama:lexlabel"	"sor"
"aama:ID8d7bce17-2f2d-4c64-aef7-31b4f9c8507c"	"aama:pdgmLexLabel"	"aama:sor"
"aama:ID92d59f7e-e50c-44fb-9e29-92b3ef52259a"	"a"	"aama:lexid"
"aama:ID92d59f7e-e50c-44fb-9e29-92b3ef52259a"	"aama:gloss"	"go"
"aama:ID92d59f7e-e50c-44fb-9e29-92b3ef52259a"	"aama:gloss"	"go "
"aama:ID92d59f7e-e50c-44fb-9e29-92b3ef52259a"	"aama:lang"	"aama:gawwada"
"aama:ID92d59f7e-e50c-44fb-9e29-92b3ef52259a"	"aama:lemma"	"ášša"
"aama:ID92d59f7e-e50c-44fb-9e29-92b3ef52259a"	"aama:lemma"	"ášša "
"aama:ID92d59f7e-e50c-44fb-9e29-92b3ef52259a"	"aama:lexlabel"	"ass"
"aama:ID92d59f7e-e50c-44fb-9e29-92b3ef52259a"	"aama:pdgmLexLabel"	"aama:ass"
"aama:ID97285982-62fa-4df5-990d-d32b28666f43"	"a"	"aama:lexid"
"aama:ID97285982-62fa-4df5-990d-d32b28666f43"	"aama:gloss"	"cut"
