?pdgmlabel	?prop1	?val1
"geez-VSubjMarker"	"conjClass"	"prefix"
"geez-VSubjMarker"	"conjClass"	"suffix"
"geez-VSubjMarker"	"gender"	"f"
"geez-VSubjMarker"	"gender"	"m"
"geez-VSubjMarker"	"gender"	"⊤"
"geez-VSubjMarker"	"ns#type"	"Term"
"geez-VSubjMarker"	"number"	"pl"
"geez-VSubjMarker"	"number"	"sg"
"geez-VSubjMarker"	"person"	"p1"
"geez-VSubjMarker"	"person"	"p2"
"geez-VSubjMarker"	"person"	"p3"
"geez-VSubjMarker"	"pos"	"verb"
"geez-VSubjMarker"	"verbMorphClass"	"subjMarker"
"geez-VCYCBAJuss"	"dervStem"	"B"
"geez-VCYCBAJuss"	"gender"	"f"
"geez-VCYCBAJuss"	"gender"	"m"
"geez-VCYCBAJuss"	"gender"	"⊤"
"geez-VCYCBAJuss"	"ns#type"	"Term"
"geez-VCYCBAJuss"	"number"	"pl"
"geez-VCYCBAJuss"	"number"	"sg"
"geez-VCYCBAJuss"	"person"	"p1"
"geez-VCYCBAJuss"	"person"	"p2"
"geez-VCYCBAJuss"	"person"	"p3"
"geez-VCYCBAJuss"	"pos"	"verb"
"geez-VCYCBAJuss"	"rootClass"	"CYC"
"geez-VCYCBAJuss"	"stemClass"	"A"
"geez-VCYCBAJuss"	"tam"	"jussive"
"geez-VCCWBA1Imprtv"	"dervStem"	"B"
"geez-VCCWBA1Imprtv"	"gender"	"f"
"geez-VCCWBA1Imprtv"	"gender"	"m"
"geez-VCCWBA1Imprtv"	"ns#type"	"Term"
"geez-VCCWBA1Imprtv"	"number"	"pl"
"geez-VCCWBA1Imprtv"	"number"	"sg"
"geez-VCCWBA1Imprtv"	"person"	"p2"
"geez-VCCWBA1Imprtv"	"pos"	"verb"
"geez-VCCWBA1Imprtv"	"rootClass"	"CCW"
"geez-VCCWBA1Imprtv"	"stemClass"	"A1"
"geez-VCCWBA1Imprtv"	"tam"	"imperative"
"geez-VWCCBA2Juss"	"dervStem"	"B"
"geez-VWCCBA2Juss"	"gender"	"f"
"geez-VWCCBA2Juss"	"gender"	"m"
"geez-VWCCBA2Juss"	"gender"	"⊤"
"geez-VWCCBA2Juss"	"ns#type"	"Term"
"geez-VWCCBA2Juss"	"number"	"pl"
"geez-VWCCBA2Juss"	"number"	"sg"
"geez-VWCCBA2Juss"	"person"	"p1"
"geez-VWCCBA2Juss"	"person"	"p2"
"geez-VWCCBA2Juss"	"person"	"p3"
"geez-VWCCBA2Juss"	"pos"	"verb"
"geez-VWCCBA2Juss"	"rootClass"	"WCC"
"geez-VWCCBA2Juss"	"stemClass"	"A2"
"geez-VWCCBA2Juss"	"tam"	"jussive"
"geez-VWCCBA2Pres"	"dervStem"	"B"
"geez-VWCCBA2Pres"	"gender"	"f"
"geez-VWCCBA2Pres"	"gender"	"m"
"geez-VWCCBA2Pres"	"gender"	"⊤"
"geez-VWCCBA2Pres"	"ns#type"	"Term"
"geez-VWCCBA2Pres"	"number"	"pl"
"geez-VWCCBA2Pres"	"number"	"sg"
"geez-VWCCBA2Pres"	"person"	"p1"
"geez-VWCCBA2Pres"	"person"	"p2"
"geez-VWCCBA2Pres"	"person"	"p3"
"geez-VWCCBA2Pres"	"pos"	"verb"
"geez-VWCCBA2Pres"	"rootClass"	"WCC"
"geez-VWCCBA2Pres"	"stemClass"	"A2"
"geez-VWCCBA2Pres"	"tam"	"present"
"geez-VCCWBA2Imprtv"	"dervStem"	"B"
"geez-VCCWBA2Imprtv"	"gender"	"f"
"geez-VCCWBA2Imprtv"	"gender"	"m"
"geez-VCCWBA2Imprtv"	"ns#type"	"Term"
"geez-VCCWBA2Imprtv"	"number"	"pl"
"geez-VCCWBA2Imprtv"	"number"	"sg"
"geez-VCCWBA2Imprtv"	"person"	"p2"
"geez-VCCWBA2Imprtv"	"pos"	"verb"
"geez-VCCWBA2Imprtv"	"rootClass"	"CCW"
"geez-VCCWBA2Imprtv"	"stemClass"	"A2"
"geez-VCCWBA2Imprtv"	"tam"	"imperative"
"geez-VCWCBAImprtv"	"dervStem"	"B"
"geez-VCWCBAImprtv"	"gender"	"f"
"geez-VCWCBAImprtv"	"gender"	"m"
"geez-VCWCBAImprtv"	"ns#type"	"Term"
"geez-VCWCBAImprtv"	"number"	"pl"
"geez-VCWCBAImprtv"	"number"	"sg"
"geez-VCWCBAImprtv"	"person"	"p2"
"geez-VCWCBAImprtv"	"pos"	"verb"
"geez-VCWCBAImprtv"	"rootClass"	"CWC"
"geez-VCWCBAImprtv"	"stemClass"	"A"
"geez-VCWCBAImprtv"	"tam"	"imperative"
"geez-VCCCSImprtv"	"dervStem"	"S"
"geez-VCCCSImprtv"	"gender"	"f"
"geez-VCCCSImprtv"	"gender"	"m"
"geez-VCCCSImprtv"	"ns#type"	"Term"
"geez-VCCCSImprtv"	"number"	"pl"
"geez-VCCCSImprtv"	"number"	"sg"
"geez-VCCCSImprtv"	"person"	"p2"
"geez-VCCCSImprtv"	"pos"	"verb"
"geez-VCCCSImprtv"	"rootClass"	"CCC"
"geez-VCCCSImprtv"	"tam"	"imperative"
"geez-VCCYBA1Juss"	"dervStem"	"B"
"geez-VCCYBA1Juss"	"gender"	"f"
"geez-VCCYBA1Juss"	"gender"	"m"
"geez-VCCYBA1Juss"	"gender"	"⊤"
"geez-VCCYBA1Juss"	"ns#type"	"Term"
"geez-VCCYBA1Juss"	"number"	"pl"
"geez-VCCYBA1Juss"	"number"	"sg"
"geez-VCCYBA1Juss"	"person"	"p1"
"geez-VCCYBA1Juss"	"person"	"p2"
"geez-VCCYBA1Juss"	"person"	"p3"
"geez-VCCYBA1Juss"	"pos"	"verb"
"geez-VCCYBA1Juss"	"rootClass"	"CCY"
"geez-VCCYBA1Juss"	"stemClass"	"A1"
"geez-VCCYBA1Juss"	"tam"	"jussive"
"geez-VCCCBA1Juss"	"dervStem"	"B"
"geez-VCCCBA1Juss"	"gender"	"f"
"geez-VCCCBA1Juss"	"gender"	"m"
"geez-VCCCBA1Juss"	"gender"	"⊤"
"geez-VCCCBA1Juss"	"ns#type"	"Term"
"geez-VCCCBA1Juss"	"number"	"pl"
"geez-VCCCBA1Juss"	"number"	"sg"
"geez-VCCCBA1Juss"	"person"	"p1"
"geez-VCCCBA1Juss"	"person"	"p2"
"geez-VCCCBA1Juss"	"person"	"p3"
"geez-VCCCBA1Juss"	"pos"	"verb"
"geez-VCCCBA1Juss"	"rootClass"	"CCC"
"geez-VCCCBA1Juss"	"stemClass"	"A1"
"geez-VCCCBA1Juss"	"tam"	"jussive"
"geez-VCCCBA1Imprtv"	"dervStem"	"B"
"geez-VCCCBA1Imprtv"	"gender"	"f"
"geez-VCCCBA1Imprtv"	"gender"	"m"
"geez-VCCCBA1Imprtv"	"ns#type"	"Term"
"geez-VCCCBA1Imprtv"	"number"	"pl"
"geez-VCCCBA1Imprtv"	"number"	"sg"
"geez-VCCCBA1Imprtv"	"person"	"p2"
"geez-VCCCBA1Imprtv"	"pos"	"verb"
"geez-VCCCBA1Imprtv"	"rootClass"	"CCC"
"geez-VCCCBA1Imprtv"	"stemClass"	"A1"
"geez-VCCCBA1Imprtv"	"tam"	"imperative"
"geez-VCCCTPast"	"dervStem"	"T"
"geez-VCCCTPast"	"gender"	"f"
"geez-VCCCTPast"	"gender"	"m"
"geez-VCCCTPast"	"gender"	"⊤"
"geez-VCCCTPast"	"ns#type"	"Term"
"geez-VCCCTPast"	"number"	"pl"
"geez-VCCCTPast"	"number"	"sg"
"geez-VCCCTPast"	"person"	"p1"
"geez-VCCCTPast"	"person"	"p2"
"geez-VCCCTPast"	"person"	"p3"
"geez-VCCCTPast"	"pos"	"verb"
"geez-VCCCTPast"	"rootClass"	"CCC"
"geez-VCCCTPast"	"tam"	"past"
"geez-VCCCTJuss"	"dervStem"	"T"
"geez-VCCCTJuss"	"gender"	"f"
"geez-VCCCTJuss"	"gender"	"m"
"geez-VCCCTJuss"	"gender"	"⊤"
"geez-VCCCTJuss"	"ns#type"	"Term"
"geez-VCCCTJuss"	"number"	"pl"
"geez-VCCCTJuss"	"number"	"sg"
"geez-VCCCTJuss"	"person"	"p1"
"geez-VCCCTJuss"	"person"	"p2"
"geez-VCCCTJuss"	"person"	"p3"
"geez-VCCCTJuss"	"pos"	"verb"
"geez-VCCCTJuss"	"rootClass"	"CCC"
"geez-VCCCTJuss"	"tam"	"jussive"
"geez-VCCCBA1Past"	"dervStem"	"B"
"geez-VCCCBA1Past"	"gender"	"f"
"geez-VCCCBA1Past"	"gender"	"m"
"geez-VCCCBA1Past"	"gender"	"⊤"
"geez-VCCCBA1Past"	"ns#type"	"Term"
"geez-VCCCBA1Past"	"number"	"pl"
"geez-VCCCBA1Past"	"number"	"sg"
"geez-VCCCBA1Past"	"person"	"p1"
"geez-VCCCBA1Past"	"person"	"p2"
"geez-VCCCBA1Past"	"person"	"p3"
"geez-VCCCBA1Past"	"pos"	"verb"
"geez-VCCCBA1Past"	"rootClass"	"CCC"
"geez-VCCCBA1Past"	"stemClass"	"A1"
"geez-VCCCBA1Past"	"tam"	"past"
"geez-VWCCBA2Past"	"dervStem"	"B"
"geez-VWCCBA2Past"	"gender"	"f"
"geez-VWCCBA2Past"	"gender"	"m"
"geez-VWCCBA2Past"	"gender"	"⊤"
"geez-VWCCBA2Past"	"ns#type"	"Term"
"geez-VWCCBA2Past"	"number"	"pl"
"geez-VWCCBA2Past"	"number"	"sg"
"geez-VWCCBA2Past"	"person"	"p1"
"geez-VWCCBA2Past"	"person"	"p2"
"geez-VWCCBA2Past"	"person"	"p3"
"geez-VWCCBA2Past"	"pos"	"verb"
"geez-VWCCBA2Past"	"rootClass"	"WCC"
"geez-VWCCBA2Past"	"stemClass"	"A2"
"geez-VWCCBA2Past"	"tam"	"past"
"geez-VCCWBA1Past"	"dervStem"	"B"
"geez-VCCWBA1Past"	"gender"	"f"
"geez-VCCWBA1Past"	"gender"	"m"
"geez-VCCWBA1Past"	"gender"	"⊤"
"geez-VCCWBA1Past"	"ns#type"	"Term"
"geez-VCCWBA1Past"	"number"	"pl"
"geez-VCCWBA1Past"	"number"	"sg"
"geez-VCCWBA1Past"	"person"	"p1"
"geez-VCCWBA1Past"	"person"	"p2"
"geez-VCCWBA1Past"	"person"	"p3"
"geez-VCCWBA1Past"	"pos"	"verb"
"geez-VCCWBA1Past"	"rootClass"	"CCW"
"geez-VCCWBA1Past"	"stemClass"	"A1"
"geez-VCCWBA1Past"	"tam"	"past"
"geez-VWCCBA1Past"	"dervStem"	"B"
"geez-VWCCBA1Past"	"gender"	"f"
"geez-VWCCBA1Past"	"gender"	"m"
"geez-VWCCBA1Past"	"gender"	"⊤"
"geez-VWCCBA1Past"	"ns#type"	"Term"
"geez-VWCCBA1Past"	"number"	"pl"
"geez-VWCCBA1Past"	"number"	"sg"
"geez-VWCCBA1Past"	"person"	"p1"
"geez-VWCCBA1Past"	"person"	"p2"
"geez-VWCCBA1Past"	"person"	"p3"
"geez-VWCCBA1Past"	"pos"	"verb"
"geez-VWCCBA1Past"	"rootClass"	"WCC"
"geez-VWCCBA1Past"	"stemClass"	"A1"
"geez-VWCCBA1Past"	"tam"	"past"
"geez-VCWCBAPast"	"dervStem"	"B"
"geez-VCWCBAPast"	"gender"	"f"
"geez-VCWCBAPast"	"gender"	"m"
"geez-VCWCBAPast"	"gender"	"⊤"
"geez-VCWCBAPast"	"ns#type"	"Term"
"geez-VCWCBAPast"	"number"	"pl"
"geez-VCWCBAPast"	"number"	"sg"
"geez-VCWCBAPast"	"person"	"p1"
"geez-VCWCBAPast"	"person"	"p2"
"geez-VCWCBAPast"	"person"	"p3"
"geez-VCWCBAPast"	"pos"	"verb"
"geez-VCWCBAPast"	"rootClass"	"CWC"
"geez-VCWCBAPast"	"stemClass"	"A"
"geez-VCWCBAPast"	"tam"	"past"
"geez-VCCWBA2Past"	"dervStem"	"B"
"geez-VCCWBA2Past"	"gender"	"f"
"geez-VCCWBA2Past"	"gender"	"m"
"geez-VCCWBA2Past"	"gender"	"⊤"
"geez-VCCWBA2Past"	"ns#type"	"Term"
"geez-VCCWBA2Past"	"number"	"pl"
"geez-VCCWBA2Past"	"number"	"sg"
"geez-VCCWBA2Past"	"person"	"p1"
"geez-VCCWBA2Past"	"person"	"p2"
"geez-VCCWBA2Past"	"person"	"p3"
"geez-VCCWBA2Past"	"pos"	"verb"
"geez-VCCWBA2Past"	"rootClass"	"CCW"
"geez-VCCWBA2Past"	"stemClass"	"A2"
"geez-VCCWBA2Past"	"tam"	"past"
"geez-VWCCBA2Imprtv"	"dervStem"	"B"
"geez-VWCCBA2Imprtv"	"gender"	"f"
"geez-VWCCBA2Imprtv"	"gender"	"m"
"geez-VWCCBA2Imprtv"	"ns#type"	"Term"
"geez-VWCCBA2Imprtv"	"number"	"pl"
"geez-VWCCBA2Imprtv"	"number"	"sg"
"geez-VWCCBA2Imprtv"	"person"	"p2"
"geez-VWCCBA2Imprtv"	"pos"	"verb"
"geez-VWCCBA2Imprtv"	"rootClass"	"WCC"
"geez-VWCCBA2Imprtv"	"stemClass"	"A2"
"geez-VWCCBA2Imprtv"	"tam"	"imperative"
"geez-VCCYBA2Juss"	"dervStem"	"B"
"geez-VCCYBA2Juss"	"gender"	"f"
"geez-VCCYBA2Juss"	"gender"	"m"
"geez-VCCYBA2Juss"	"gender"	"⊤"
"geez-VCCYBA2Juss"	"ns#type"	"Term"
"geez-VCCYBA2Juss"	"number"	"pl"
"geez-VCCYBA2Juss"	"number"	"sg"
"geez-VCCYBA2Juss"	"person"	"p1"
"geez-VCCYBA2Juss"	"person"	"p2"
"geez-VCCYBA2Juss"	"person"	"p3"
"geez-VCCYBA2Juss"	"pos"	"verb"
"geez-VCCYBA2Juss"	"rootClass"	"CCY"
"geez-VCCYBA2Juss"	"stemClass"	"A2"
"geez-VCCYBA2Juss"	"tam"	"jussive"
"geez-VCWCBAJuss"	"dervStem"	"B"
"geez-VCWCBAJuss"	"gender"	"f"
"geez-VCWCBAJuss"	"gender"	"m"
"geez-VCWCBAJuss"	"gender"	"⊤"
"geez-VCWCBAJuss"	"ns#type"	"Term"
"geez-VCWCBAJuss"	"number"	"pl"
"geez-VCWCBAJuss"	"number"	"sg"
"geez-VCWCBAJuss"	"person"	"p1"
"geez-VCWCBAJuss"	"person"	"p2"
"geez-VCWCBAJuss"	"person"	"p3"
"geez-VCWCBAJuss"	"pos"	"verb"
"geez-VCWCBAJuss"	"rootClass"	"CWC"
"geez-VCWCBAJuss"	"stemClass"	"A"
"geez-VCWCBAJuss"	"tam"	"jussive"
"geez-VWCCBA1Juss"	"dervStem"	"B"
"geez-VWCCBA1Juss"	"gender"	"f"
"geez-VWCCBA1Juss"	"gender"	"m"
"geez-VWCCBA1Juss"	"gender"	"⊤"
"geez-VWCCBA1Juss"	"ns#type"	"Term"
"geez-VWCCBA1Juss"	"number"	"pl"
"geez-VWCCBA1Juss"	"number"	"sg"
"geez-VWCCBA1Juss"	"person"	"p1"
"geez-VWCCBA1Juss"	"person"	"p2"
"geez-VWCCBA1Juss"	"person"	"p3"
"geez-VWCCBA1Juss"	"pos"	"verb"
"geez-VWCCBA1Juss"	"rootClass"	"WCC"
"geez-VWCCBA1Juss"	"stemClass"	"A1"
"geez-VWCCBA1Juss"	"tam"	"jussive"
"geez-VCCCBA2Juss"	"dervStem"	"B"
"geez-VCCCBA2Juss"	"gender"	"f"
"geez-VCCCBA2Juss"	"gender"	"m"
"geez-VCCCBA2Juss"	"gender"	"⊤"
"geez-VCCCBA2Juss"	"ns#type"	"Term"
"geez-VCCCBA2Juss"	"number"	"pl"
"geez-VCCCBA2Juss"	"number"	"sg"
"geez-VCCCBA2Juss"	"person"	"p1"
"geez-VCCCBA2Juss"	"person"	"p2"
"geez-VCCCBA2Juss"	"person"	"p3"
"geez-VCCCBA2Juss"	"pos"	"verb"
"geez-VCCCBA2Juss"	"rootClass"	"CCC"
"geez-VCCCBA2Juss"	"stemClass"	"A2"
"geez-VCCCBA2Juss"	"tam"	"jussive"
"geez-VCCYBA1Pres"	"dervStem"	"B"
"geez-VCCYBA1Pres"	"gender"	"f"
"geez-VCCYBA1Pres"	"gender"	"m"
"geez-VCCYBA1Pres"	"gender"	"⊤"
"geez-VCCYBA1Pres"	"ns#type"	"Term"
"geez-VCCYBA1Pres"	"number"	"pl"
"geez-VCCYBA1Pres"	"number"	"sg"
"geez-VCCYBA1Pres"	"person"	"p1"
"geez-VCCYBA1Pres"	"person"	"p2"
"geez-VCCYBA1Pres"	"person"	"p3"
"geez-VCCYBA1Pres"	"pos"	"verb"
"geez-VCCYBA1Pres"	"rootClass"	"CCY"
"geez-VCCYBA1Pres"	"stemClass"	"A1"
"geez-VCCYBA1Pres"	"tam"	"present"
"geez-VWCCBA1Pres"	"dervStem"	"B"
"geez-VWCCBA1Pres"	"gender"	"f"
"geez-VWCCBA1Pres"	"gender"	"m"
"geez-VWCCBA1Pres"	"gender"	"⊤"
"geez-VWCCBA1Pres"	"ns#type"	"Term"
"geez-VWCCBA1Pres"	"number"	"pl"
"geez-VWCCBA1Pres"	"number"	"sg"
"geez-VWCCBA1Pres"	"person"	"p1"
"geez-VWCCBA1Pres"	"person"	"p2"
"geez-VWCCBA1Pres"	"person"	"p3"
"geez-VWCCBA1Pres"	"pos"	"verb"
"geez-VWCCBA1Pres"	"rootClass"	"WCC"
"geez-VWCCBA1Pres"	"stemClass"	"A1"
"geez-VWCCBA1Pres"	"tam"	"present"
"geez-VCCCBA2Pres"	"dervStem"	"B"
"geez-VCCCBA2Pres"	"gender"	"f"
"geez-VCCCBA2Pres"	"gender"	"m"
"geez-VCCCBA2Pres"	"gender"	"⊤"
"geez-VCCCBA2Pres"	"ns#type"	"Term"
"geez-VCCCBA2Pres"	"number"	"pl"
"geez-VCCCBA2Pres"	"number"	"sg"
"geez-VCCCBA2Pres"	"person"	"p1"
"geez-VCCCBA2Pres"	"person"	"p2"
"geez-VCCCBA2Pres"	"person"	"p3"
"geez-VCCCBA2Pres"	"pos"	"verb"
"geez-VCCCBA2Pres"	"rootClass"	"CCC"
"geez-VCCCBA2Pres"	"stemClass"	"A2"
"geez-VCCCBA2Pres"	"tam"	"present"
"geez-VCCWBA1Pres"	"dervStem"	"B"
"geez-VCCWBA1Pres"	"gender"	"f"
"geez-VCCWBA1Pres"	"gender"	"m"
"geez-VCCWBA1Pres"	"gender"	"⊤"
"geez-VCCWBA1Pres"	"ns#type"	"Term"
"geez-VCCWBA1Pres"	"number"	"pl"
"geez-VCCWBA1Pres"	"number"	"sg"
"geez-VCCWBA1Pres"	"person"	"p1"
"geez-VCCWBA1Pres"	"person"	"p2"
"geez-VCCWBA1Pres"	"person"	"p3"
"geez-VCCWBA1Pres"	"pos"	"verb"
"geez-VCCWBA1Pres"	"rootClass"	"CCW"
"geez-VCCWBA1Pres"	"stemClass"	"A1"
"geez-VCCWBA1Pres"	"tam"	"present"
"geez-VCYCBAPres"	"dervStem"	"B"
"geez-VCYCBAPres"	"gender"	"f"
"geez-VCYCBAPres"	"gender"	"m"
"geez-VCYCBAPres"	"gender"	"⊤"
"geez-VCYCBAPres"	"ns#type"	"Term"
"geez-VCYCBAPres"	"number"	"pl"
"geez-VCYCBAPres"	"number"	"sg"
"geez-VCYCBAPres"	"person"	"p1"
"geez-VCYCBAPres"	"person"	"p2"
"geez-VCYCBAPres"	"person"	"p3"
"geez-VCYCBAPres"	"pos"	"verb"
"geez-VCYCBAPres"	"rootClass"	"CYC"
"geez-VCYCBAPres"	"stemClass"	"A"
"geez-VCYCBAPres"	"tam"	"present"
"geez-VCYCBAImprtv"	"dervStem"	"B"
"geez-VCYCBAImprtv"	"gender"	"f"
"geez-VCYCBAImprtv"	"gender"	"m"
"geez-VCYCBAImprtv"	"ns#type"	"Term"
"geez-VCYCBAImprtv"	"number"	"pl"
"geez-VCYCBAImprtv"	"number"	"sg"
"geez-VCYCBAImprtv"	"person"	"p2"
"geez-VCYCBAImprtv"	"pos"	"verb"
"geez-VCYCBAImprtv"	"rootClass"	"CYC"
"geez-VCYCBAImprtv"	"stemClass"	"A"
"geez-VCYCBAImprtv"	"tam"	"imperative"
"geez-VVerbStems"	"dervStem"	"B"
"geez-VVerbStems"	"dervStem"	"S"
"geez-VVerbStems"	"dervStem"	"St"
"geez-VVerbStems"	"dervStem"	"T"
"geez-VVerbStems"	"ns#type"	"Term"
"geez-VVerbStems"	"pos"	"verb"
"geez-VVerbStems"	"rootClass"	"CCC"
"geez-VVerbStems"	"rootClass"	"CCW"
"geez-VVerbStems"	"rootClass"	"CCY"
"geez-VVerbStems"	"rootClass"	"CWC"
"geez-VVerbStems"	"rootClass"	"CYC"
"geez-VVerbStems"	"rootClass"	"WCC"
"geez-VVerbStems"	"stemClass"	"A"
"geez-VVerbStems"	"stemClass"	"A1"
"geez-VVerbStems"	"stemClass"	"A2"
"geez-VVerbStems"	"stemClass"	"D"
"geez-VVerbStems"	"stemClass"	"L"
"geez-VVerbStems"	"tam"	"jussive"
"geez-VVerbStems"	"tam"	"past"
"geez-VVerbStems"	"tam"	"present"
"geez-VVerbStems"	"verbMorphClass"	"verbStems"
"geez-VCCCBA2Imprtv"	"dervStem"	"B"
"geez-VCCCBA2Imprtv"	"gender"	"f"
"geez-VCCCBA2Imprtv"	"gender"	"m"
"geez-VCCCBA2Imprtv"	"ns#type"	"Term"
"geez-VCCCBA2Imprtv"	"number"	"pl"
"geez-VCCCBA2Imprtv"	"number"	"sg"
"geez-VCCCBA2Imprtv"	"person"	"p2"
"geez-VCCCBA2Imprtv"	"pos"	"verb"
"geez-VCCCBA2Imprtv"	"rootClass"	"CCC"
"geez-VCCCBA2Imprtv"	"stemClass"	"A2"
"geez-VCCCBA2Imprtv"	"tam"	"imperative"
"geez-VCCCBA1Pres"	"dervStem"	"B"
"geez-VCCCBA1Pres"	"gender"	"f"
"geez-VCCCBA1Pres"	"gender"	"m"
"geez-VCCCBA1Pres"	"gender"	"⊤"
