?pos	?property	?value	?pdgmlabel
"verb"	"conjClass"	"prefix"	"geez-VSubjMarker"
"verb"	"conjClass"	"suffix"	"geez-VSubjMarker"
"verb"	"dervStem"	"B"	"geez-VCCCBA1Imprtv"
"verb"	"dervStem"	"B"	"geez-VCCCBA1Juss"
"verb"	"dervStem"	"B"	"geez-VCCCBA1Past"
"verb"	"dervStem"	"B"	"geez-VCCCBA1Pres"
"verb"	"dervStem"	"B"	"geez-VCCCBA2Imprtv"
"verb"	"dervStem"	"B"	"geez-VCCCBA2Juss"
"verb"	"dervStem"	"B"	"geez-VCCCBA2Past"
"verb"	"dervStem"	"B"	"geez-VCCCBA2Pres"
"verb"	"dervStem"	"B"	"geez-VCCWBA1Imprtv"
"verb"	"dervStem"	"B"	"geez-VCCWBA1Juss"
"verb"	"dervStem"	"B"	"geez-VCCWBA1Past"
"verb"	"dervStem"	"B"	"geez-VCCWBA1Pres"
"verb"	"dervStem"	"B"	"geez-VCCWBA2Imprtv"
"verb"	"dervStem"	"B"	"geez-VCCWBA2Juss"
"verb"	"dervStem"	"B"	"geez-VCCWBA2Past"
"verb"	"dervStem"	"B"	"geez-VCCWBA2Pres"
"verb"	"dervStem"	"B"	"geez-VCCYBA1Imprtv"
"verb"	"dervStem"	"B"	"geez-VCCYBA1Juss"
"verb"	"dervStem"	"B"	"geez-VCCYBA1Past"
"verb"	"dervStem"	"B"	"geez-VCCYBA1Pres"
"verb"	"dervStem"	"B"	"geez-VCCYBA2Imprtv"
"verb"	"dervStem"	"B"	"geez-VCCYBA2Juss"
"verb"	"dervStem"	"B"	"geez-VCCYBA2Past"
"verb"	"dervStem"	"B"	"geez-VCCYBA2Pres"
"verb"	"dervStem"	"B"	"geez-VCWCBAImprtv"
"verb"	"dervStem"	"B"	"geez-VCWCBAJuss"
"verb"	"dervStem"	"B"	"geez-VCWCBAPast"
"verb"	"dervStem"	"B"	"geez-VCWCBAPres"
"verb"	"dervStem"	"B"	"geez-VCYCBAImprtv"
"verb"	"dervStem"	"B"	"geez-VCYCBAJuss"
"verb"	"dervStem"	"B"	"geez-VCYCBAPast"
"verb"	"dervStem"	"B"	"geez-VCYCBAPres"
"verb"	"dervStem"	"B"	"geez-VVerbStems"
"verb"	"dervStem"	"B"	"geez-VWCCBA1Imprtv"
"verb"	"dervStem"	"B"	"geez-VWCCBA1Juss"
"verb"	"dervStem"	"B"	"geez-VWCCBA1Past"
"verb"	"dervStem"	"B"	"geez-VWCCBA1Pres"
"verb"	"dervStem"	"B"	"geez-VWCCBA2Imprtv"
"verb"	"dervStem"	"B"	"geez-VWCCBA2Juss"
"verb"	"dervStem"	"B"	"geez-VWCCBA2Past"
"verb"	"dervStem"	"B"	"geez-VWCCBA2Pres"
"verb"	"dervStem"	"S"	"geez-VCCCSImprtv"
"verb"	"dervStem"	"S"	"geez-VCCCSJuss"
"verb"	"dervStem"	"S"	"geez-VCCCSPast"
"verb"	"dervStem"	"S"	"geez-VCCCSPres"
"verb"	"dervStem"	"S"	"geez-VVerbStems"
"verb"	"dervStem"	"St"	"geez-VVerbStems"
"verb"	"dervStem"	"T"	"geez-VCCCTImprtv"
"verb"	"dervStem"	"T"	"geez-VCCCTJuss"
"verb"	"dervStem"	"T"	"geez-VCCCTPast"
"verb"	"dervStem"	"T"	"geez-VCCCTPres"
"verb"	"dervStem"	"T"	"geez-VVerbStems"
"verb"	"ns#type"	"Term"	"geez-VCCCBA1Imprtv"
"verb"	"ns#type"	"Term"	"geez-VCCCBA1Juss"
"verb"	"ns#type"	"Term"	"geez-VCCCBA1Past"
"verb"	"ns#type"	"Term"	"geez-VCCCBA1Pres"
"verb"	"ns#type"	"Term"	"geez-VCCCBA2Imprtv"
"verb"	"ns#type"	"Term"	"geez-VCCCBA2Juss"
"verb"	"ns#type"	"Term"	"geez-VCCCBA2Past"
"verb"	"ns#type"	"Term"	"geez-VCCCBA2Pres"
"verb"	"ns#type"	"Term"	"geez-VCCCSImprtv"
"verb"	"ns#type"	"Term"	"geez-VCCCSJuss"
"verb"	"ns#type"	"Term"	"geez-VCCCSPast"
"verb"	"ns#type"	"Term"	"geez-VCCCSPres"
"verb"	"ns#type"	"Term"	"geez-VCCCTImprtv"
"verb"	"ns#type"	"Term"	"geez-VCCCTJuss"
"verb"	"ns#type"	"Term"	"geez-VCCCTPast"
"verb"	"ns#type"	"Term"	"geez-VCCCTPres"
"verb"	"ns#type"	"Term"	"geez-VCCWBA1Imprtv"
"verb"	"ns#type"	"Term"	"geez-VCCWBA1Juss"
"verb"	"ns#type"	"Term"	"geez-VCCWBA1Past"
"verb"	"ns#type"	"Term"	"geez-VCCWBA1Pres"
"verb"	"ns#type"	"Term"	"geez-VCCWBA2Imprtv"
"verb"	"ns#type"	"Term"	"geez-VCCWBA2Juss"
"verb"	"ns#type"	"Term"	"geez-VCCWBA2Past"
"verb"	"ns#type"	"Term"	"geez-VCCWBA2Pres"
"verb"	"ns#type"	"Term"	"geez-VCCYBA1Imprtv"
"verb"	"ns#type"	"Term"	"geez-VCCYBA1Juss"
"verb"	"ns#type"	"Term"	"geez-VCCYBA1Past"
"verb"	"ns#type"	"Term"	"geez-VCCYBA1Pres"
"verb"	"ns#type"	"Term"	"geez-VCCYBA2Imprtv"
"verb"	"ns#type"	"Term"	"geez-VCCYBA2Juss"
"verb"	"ns#type"	"Term"	"geez-VCCYBA2Past"
"verb"	"ns#type"	"Term"	"geez-VCCYBA2Pres"
"verb"	"ns#type"	"Term"	"geez-VCWCBAImprtv"
"verb"	"ns#type"	"Term"	"geez-VCWCBAJuss"
"verb"	"ns#type"	"Term"	"geez-VCWCBAPast"
"verb"	"ns#type"	"Term"	"geez-VCWCBAPres"
"verb"	"ns#type"	"Term"	"geez-VCYCBAImprtv"
"verb"	"ns#type"	"Term"	"geez-VCYCBAJuss"
"verb"	"ns#type"	"Term"	"geez-VCYCBAPast"
"verb"	"ns#type"	"Term"	"geez-VCYCBAPres"
"verb"	"ns#type"	"Term"	"geez-VSubjMarker"
"verb"	"ns#type"	"Term"	"geez-VVerbStems"
"verb"	"ns#type"	"Term"	"geez-VWCCBA1Imprtv"
"verb"	"ns#type"	"Term"	"geez-VWCCBA1Juss"
"verb"	"ns#type"	"Term"	"geez-VWCCBA1Past"
"verb"	"ns#type"	"Term"	"geez-VWCCBA1Pres"
"verb"	"ns#type"	"Term"	"geez-VWCCBA2Imprtv"
"verb"	"ns#type"	"Term"	"geez-VWCCBA2Juss"
"verb"	"ns#type"	"Term"	"geez-VWCCBA2Past"
"verb"	"ns#type"	"Term"	"geez-VWCCBA2Pres"
"verb"	"rootClass"	"CCC"	"geez-VCCCBA1Imprtv"
"verb"	"rootClass"	"CCC"	"geez-VCCCBA1Juss"
"verb"	"rootClass"	"CCC"	"geez-VCCCBA1Past"
"verb"	"rootClass"	"CCC"	"geez-VCCCBA1Pres"
"verb"	"rootClass"	"CCC"	"geez-VCCCBA2Imprtv"
"verb"	"rootClass"	"CCC"	"geez-VCCCBA2Juss"
"verb"	"rootClass"	"CCC"	"geez-VCCCBA2Past"
"verb"	"rootClass"	"CCC"	"geez-VCCCBA2Pres"
"verb"	"rootClass"	"CCC"	"geez-VCCCSImprtv"
"verb"	"rootClass"	"CCC"	"geez-VCCCSJuss"
"verb"	"rootClass"	"CCC"	"geez-VCCCSPast"
"verb"	"rootClass"	"CCC"	"geez-VCCCSPres"
"verb"	"rootClass"	"CCC"	"geez-VCCCTImprtv"
"verb"	"rootClass"	"CCC"	"geez-VCCCTJuss"
"verb"	"rootClass"	"CCC"	"geez-VCCCTPast"
"verb"	"rootClass"	"CCC"	"geez-VCCCTPres"
"verb"	"rootClass"	"CCC"	"geez-VVerbStems"
"verb"	"rootClass"	"CCW"	"geez-VCCWBA1Imprtv"
"verb"	"rootClass"	"CCW"	"geez-VCCWBA1Juss"
"verb"	"rootClass"	"CCW"	"geez-VCCWBA1Past"
"verb"	"rootClass"	"CCW"	"geez-VCCWBA1Pres"
"verb"	"rootClass"	"CCW"	"geez-VCCWBA2Imprtv"
"verb"	"rootClass"	"CCW"	"geez-VCCWBA2Juss"
"verb"	"rootClass"	"CCW"	"geez-VCCWBA2Past"
"verb"	"rootClass"	"CCW"	"geez-VCCWBA2Pres"
"verb"	"rootClass"	"CCW"	"geez-VVerbStems"
"verb"	"rootClass"	"CCY"	"geez-VCCYBA1Imprtv"
"verb"	"rootClass"	"CCY"	"geez-VCCYBA1Juss"
"verb"	"rootClass"	"CCY"	"geez-VCCYBA1Past"
"verb"	"rootClass"	"CCY"	"geez-VCCYBA1Pres"
"verb"	"rootClass"	"CCY"	"geez-VCCYBA2Imprtv"
"verb"	"rootClass"	"CCY"	"geez-VCCYBA2Juss"
"verb"	"rootClass"	"CCY"	"geez-VCCYBA2Past"
"verb"	"rootClass"	"CCY"	"geez-VCCYBA2Pres"
"verb"	"rootClass"	"CCY"	"geez-VVerbStems"
"verb"	"rootClass"	"CWC"	"geez-VCWCBAImprtv"
"verb"	"rootClass"	"CWC"	"geez-VCWCBAJuss"
