?qlexid	?qp	?qo
"aama:ID23c5b813-a6d2-4098-b172-7f0c3b539b6b"	"a"	"aama:lexid"
"aama:ID23c5b813-a6d2-4098-b172-7f0c3b539b6b"	"aama:gloss"	"be big"
"aama:ID23c5b813-a6d2-4098-b172-7f0c3b539b6b"	"aama:lang"	"aama:hebrew"
"aama:ID23c5b813-a6d2-4098-b172-7f0c3b539b6b"	"aama:lemma"	"gdl"
"aama:ID23c5b813-a6d2-4098-b172-7f0c3b539b6b"	"aama:lexlabel"	"gdl"
"aama:ID23c5b813-a6d2-4098-b172-7f0c3b539b6b"	"aama:pos"	"aama:verb"
"aama:ID23c5b813-a6d2-4098-b172-7f0c3b539b6b"	"aama:rootClass"	"aama:CCC"
"aama:ID2493fb97-a8e5-4175-b8a1-99c2a9a5d102"	"a"	"aama:lexid"
"aama:ID2493fb97-a8e5-4175-b8a1-99c2a9a5d102"	"aama:gloss"	"sit"
"aama:ID2493fb97-a8e5-4175-b8a1-99c2a9a5d102"	"aama:lang"	"aama:hebrew"
"aama:ID2493fb97-a8e5-4175-b8a1-99c2a9a5d102"	"aama:lemma"	"yšb"
"aama:ID2493fb97-a8e5-4175-b8a1-99c2a9a5d102"	"aama:lexlabel"	"ysb"
"aama:ID2493fb97-a8e5-4175-b8a1-99c2a9a5d102"	"aama:pos"	"aama:verb"
"aama:ID2493fb97-a8e5-4175-b8a1-99c2a9a5d102"	"aama:rootClass"	"aama:wCC"
"aama:ID2e13c803-c6fd-43ec-95f9-8ebcbc49b5aa"	"a"	"aama:lexid"
"aama:ID2e13c803-c6fd-43ec-95f9-8ebcbc49b5aa"	"aama:gloss"	"send"
"aama:ID2e13c803-c6fd-43ec-95f9-8ebcbc49b5aa"	"aama:lang"	"aama:hebrew"
"aama:ID2e13c803-c6fd-43ec-95f9-8ebcbc49b5aa"	"aama:lemma"	"šlḥ"
"aama:ID2e13c803-c6fd-43ec-95f9-8ebcbc49b5aa"	"aama:lexlabel"	"slh"
"aama:ID2e13c803-c6fd-43ec-95f9-8ebcbc49b5aa"	"aama:pos"	"aama:verb"
"aama:ID2e13c803-c6fd-43ec-95f9-8ebcbc49b5aa"	"aama:rootClass"	"aama:CCh"
"aama:ID304e0625-67c7-4f17-81e2-1d4c6283afa8"	"a"	"aama:lexid"
"aama:ID304e0625-67c7-4f17-81e2-1d4c6283afa8"	"aama:gloss"	"be good"
"aama:ID304e0625-67c7-4f17-81e2-1d4c6283afa8"	"aama:lang"	"aama:hebrew"
"aama:ID304e0625-67c7-4f17-81e2-1d4c6283afa8"	"aama:lemma"	"yṭb"
"aama:ID304e0625-67c7-4f17-81e2-1d4c6283afa8"	"aama:lexlabel"	"ytb"
"aama:ID304e0625-67c7-4f17-81e2-1d4c6283afa8"	"aama:pos"	"aama:verb"
"aama:ID304e0625-67c7-4f17-81e2-1d4c6283afa8"	"aama:rootClass"	"aama:yCC"
"aama:ID3a650ac5-6792-45c3-95da-d4913f48d3cf"	"a"	"aama:lexid"
"aama:ID3a650ac5-6792-45c3-95da-d4913f48d3cf"	"aama:gloss"	"be strong"
"aama:ID3a650ac5-6792-45c3-95da-d4913f48d3cf"	"aama:lang"	"aama:hebrew"
"aama:ID3a650ac5-6792-45c3-95da-d4913f48d3cf"	"aama:lemma"	"ḥzq"
"aama:ID3a650ac5-6792-45c3-95da-d4913f48d3cf"	"aama:lexlabel"	"hzq"
"aama:ID3a650ac5-6792-45c3-95da-d4913f48d3cf"	"aama:pos"	"aama:verb"
"aama:ID3a650ac5-6792-45c3-95da-d4913f48d3cf"	"aama:rootClass"	"aama:hCC"
"aama:ID41a0b900-ef03-4168-8386-3efbf43892f1"	"a"	"aama:lexid"
"aama:ID41a0b900-ef03-4168-8386-3efbf43892f1"	"aama:gloss"	"exterminate"
"aama:ID41a0b900-ef03-4168-8386-3efbf43892f1"	"aama:lang"	"aama:hebrew"
"aama:ID41a0b900-ef03-4168-8386-3efbf43892f1"	"aama:lemma"	"šmd"
"aama:ID41a0b900-ef03-4168-8386-3efbf43892f1"	"aama:lexlabel"	"smd"
"aama:ID41a0b900-ef03-4168-8386-3efbf43892f1"	"aama:pos"	"aama:verb"
"aama:ID41a0b900-ef03-4168-8386-3efbf43892f1"	"aama:rootClass"	"aama:CCC"
"aama:ID42dd4956-6419-4268-b13c-c0e8594d2b18"	"a"	"aama:lexid"
"aama:ID42dd4956-6419-4268-b13c-c0e8594d2b18"	"aama:gloss"	"put"
"aama:ID42dd4956-6419-4268-b13c-c0e8594d2b18"	"aama:lang"	"aama:hebrew"
"aama:ID42dd4956-6419-4268-b13c-c0e8594d2b18"	"aama:lemma"	"śym"
"aama:ID42dd4956-6419-4268-b13c-c0e8594d2b18"	"aama:lexlabel"	"sym"
"aama:ID42dd4956-6419-4268-b13c-c0e8594d2b18"	"aama:pos"	"aama:verb"
"aama:ID42dd4956-6419-4268-b13c-c0e8594d2b18"	"aama:rootClass"	"aama:CyC"
"aama:ID4aa9e2f9-d521-401a-8511-389e18484760"	"a"	"aama:lexid"
"aama:ID4aa9e2f9-d521-401a-8511-389e18484760"	"aama:gloss"	"fall"
"aama:ID4aa9e2f9-d521-401a-8511-389e18484760"	"aama:lang"	"aama:hebrew"
"aama:ID4aa9e2f9-d521-401a-8511-389e18484760"	"aama:lemma"	"npl"
"aama:ID4aa9e2f9-d521-401a-8511-389e18484760"	"aama:lexlabel"	"npl"
"aama:ID4aa9e2f9-d521-401a-8511-389e18484760"	"aama:pos"	"aama:verb"
"aama:ID4aa9e2f9-d521-401a-8511-389e18484760"	"aama:rootClass"	"aama:nCC"
"aama:ID536e5e48-d8ed-4be3-834a-1ff92cccdbe5"	"a"	"aama:lexid"
