?pdgmlabel	?prop1	?val1
"hebrew-VNCCBImprtv-npl"	"ablautClass"	"a-o"
"hebrew-VNCCBImprtv-npl"	"dervStem"	"B"
"hebrew-VNCCBImprtv-npl"	"gender"	"f"
"hebrew-VNCCBImprtv-npl"	"gender"	"m"
"hebrew-VNCCBImprtv-npl"	"ns#type"	"Term"
"hebrew-VNCCBImprtv-npl"	"number"	"pl"
"hebrew-VNCCBImprtv-npl"	"number"	"sg"
"hebrew-VNCCBImprtv-npl"	"person"	"p2"
"hebrew-VNCCBImprtv-npl"	"pos"	"verb"
"hebrew-VNCCBImprtv-npl"	"rootClass"	"nCC"
"hebrew-VNCCBImprtv-npl"	"tam"	"imperative"
"hebrew-VWCCBImperf-ysb"	"ablautClass"	"a-e"
"hebrew-VWCCBImperf-ysb"	"dervStem"	"B"
"hebrew-VWCCBImperf-ysb"	"gender"	"f"
"hebrew-VWCCBImperf-ysb"	"gender"	"m"
"hebrew-VWCCBImperf-ysb"	"gender"	"⊤"
"hebrew-VWCCBImperf-ysb"	"ns#type"	"Term"
"hebrew-VWCCBImperf-ysb"	"number"	"pl"
"hebrew-VWCCBImperf-ysb"	"number"	"sg"
"hebrew-VWCCBImperf-ysb"	"person"	"p1"
"hebrew-VWCCBImperf-ysb"	"person"	"p2"
"hebrew-VWCCBImperf-ysb"	"person"	"p3"
"hebrew-VWCCBImperf-ysb"	"pos"	"verb"
"hebrew-VWCCBImperf-ysb"	"rootClass"	"wCC"
"hebrew-VWCCBImperf-ysb"	"tam"	"imperfect"
"hebrew-PIndep"	"case"	"accusative"
"hebrew-PIndep"	"case"	"dative"
"hebrew-PIndep"	"case"	"nominative"
"hebrew-PIndep"	"gender"	"f"
"hebrew-PIndep"	"gender"	"m"
"hebrew-PIndep"	"gender"	"⊤"
"hebrew-PIndep"	"ns#type"	"Term"
"hebrew-PIndep"	"number"	"pl"
"hebrew-PIndep"	"number"	"sg"
"hebrew-PIndep"	"person"	"p1"
"hebrew-PIndep"	"person"	"p2"
"hebrew-PIndep"	"person"	"p3"
"hebrew-PIndep"	"pos"	"pronoun"
"hebrew-PIndep"	"proClass"	"independent"
"hebrew-VCCCDuImprtv-gdl"	"dervStem"	"Du"
"hebrew-VCCCDuImprtv-gdl"	"gender"	"f"
"hebrew-VCCCDuImprtv-gdl"	"gender"	"m"
"hebrew-VCCCDuImprtv-gdl"	"ns#type"	"Term"
"hebrew-VCCCDuImprtv-gdl"	"number"	"pl"
"hebrew-VCCCDuImprtv-gdl"	"number"	"sg"
"hebrew-VCCCDuImprtv-gdl"	"person"	"p2"
"hebrew-VCCCDuImprtv-gdl"	"pos"	"verb"
"hebrew-VCCCDuImprtv-gdl"	"rootClass"	"CCC"
"hebrew-VCCCDuImprtv-gdl"	"tam"	"imperative"
"hebrew-VYCCBJuss-ytb"	"ablautClass"	"a-a"
"hebrew-VYCCBJuss-ytb"	"dervStem"	"B"
"hebrew-VYCCBJuss-ytb"	"gender"	"f"
"hebrew-VYCCBJuss-ytb"	"gender"	"m"
"hebrew-VYCCBJuss-ytb"	"gender"	"⊤"
"hebrew-VYCCBJuss-ytb"	"ns#type"	"Term"
"hebrew-VYCCBJuss-ytb"	"number"	"pl"
"hebrew-VYCCBJuss-ytb"	"number"	"sg"
"hebrew-VYCCBJuss-ytb"	"person"	"p1"
"hebrew-VYCCBJuss-ytb"	"person"	"p2"
"hebrew-VYCCBJuss-ytb"	"person"	"p3"
"hebrew-VYCCBJuss-ytb"	"pos"	"verb"
"hebrew-VYCCBJuss-ytb"	"rootClass"	"yCC"
"hebrew-VYCCBJuss-ytb"	"tam"	"jussive"
"hebrew-VCCCSuJuss-smd"	"dervStem"	"Su"
"hebrew-VCCCSuJuss-smd"	"gender"	"f"
"hebrew-VCCCSuJuss-smd"	"gender"	"m"
"hebrew-VCCCSuJuss-smd"	"gender"	"⊤"
"hebrew-VCCCSuJuss-smd"	"ns#type"	"Term"
"hebrew-VCCCSuJuss-smd"	"number"	"pl"
"hebrew-VCCCSuJuss-smd"	"number"	"sg"
"hebrew-VCCCSuJuss-smd"	"person"	"p1"
"hebrew-VCCCSuJuss-smd"	"person"	"p2"
"hebrew-VCCCSuJuss-smd"	"person"	"p3"
"hebrew-VCCCSuJuss-smd"	"pos"	"verb"
"hebrew-VCCCSuJuss-smd"	"rootClass"	"CCC"
"hebrew-VCCCSuJuss-smd"	"tam"	"jussive"
"hebrew-VCyCBPerf-sym"	"ablautClass"	""
"hebrew-VCyCBPerf-sym"	"dervStem"	"B"
"hebrew-VCyCBPerf-sym"	"gender"	"f"
"hebrew-VCyCBPerf-sym"	"gender"	"m"
"hebrew-VCyCBPerf-sym"	"gender"	"⊤"
"hebrew-VCyCBPerf-sym"	"ns#type"	"Term"
"hebrew-VCyCBPerf-sym"	"number"	"pl"
"hebrew-VCyCBPerf-sym"	"number"	"sg"
"hebrew-VCyCBPerf-sym"	"person"	"p1"
"hebrew-VCyCBPerf-sym"	"person"	"p2"
"hebrew-VCyCBPerf-sym"	"person"	"p3"
"hebrew-VCyCBPerf-sym"	"pos"	"verb"
"hebrew-VCyCBPerf-sym"	"rootClass"	"CyC"
"hebrew-VCyCBPerf-sym"	"tam"	"perfect"
"hebrew-VCCCDImperf-gdl"	"dervStem"	"D"
"hebrew-VCCCDImperf-gdl"	"gender"	"f"
"hebrew-VCCCDImperf-gdl"	"gender"	"m"
"hebrew-VCCCDImperf-gdl"	"gender"	"⊤"
"hebrew-VCCCDImperf-gdl"	"ns#type"	"Term"
"hebrew-VCCCDImperf-gdl"	"number"	"pl"
"hebrew-VCCCDImperf-gdl"	"number"	"sg"
"hebrew-VCCCDImperf-gdl"	"person"	"p1"
"hebrew-VCCCDImperf-gdl"	"person"	"p2"
"hebrew-VCCCDImperf-gdl"	"person"	"p3"
"hebrew-VCCCDImperf-gdl"	"pos"	"verb"
"hebrew-VCCCDImperf-gdl"	"rootClass"	"CCC"
"hebrew-VCCCDImperf-gdl"	"tam"	"imperfect"
"hebrew-VCwCBImprtv-qwm"	"ablautClass"	""
"hebrew-VCwCBImprtv-qwm"	"dervStem"	"B"
"hebrew-VCwCBImprtv-qwm"	"gender"	"f"
"hebrew-VCwCBImprtv-qwm"	"gender"	"m"
"hebrew-VCwCBImprtv-qwm"	"ns#type"	"Term"
"hebrew-VCwCBImprtv-qwm"	"number"	"pl"
"hebrew-VCwCBImprtv-qwm"	"number"	"sg"
"hebrew-VCwCBImprtv-qwm"	"person"	"p2"
"hebrew-VCwCBImprtv-qwm"	"pos"	"verb"
"hebrew-VCwCBImprtv-qwm"	"rootClass"	"CwC"
"hebrew-VCwCBImprtv-qwm"	"tam"	"imperative"
"hebrew-VCCCBPerf-ktb"	"ablautClass"	"a-o"
"hebrew-VCCCBPerf-ktb"	"dervStem"	"B"
"hebrew-VCCCBPerf-ktb"	"gender"	"f"
"hebrew-VCCCBPerf-ktb"	"gender"	"m"
"hebrew-VCCCBPerf-ktb"	"gender"	"⊤"
"hebrew-VCCCBPerf-ktb"	"ns#type"	"Term"
"hebrew-VCCCBPerf-ktb"	"number"	"pl"
"hebrew-VCCCBPerf-ktb"	"number"	"sg"
"hebrew-VCCCBPerf-ktb"	"person"	"p1"
"hebrew-VCCCBPerf-ktb"	"person"	"p2"
"hebrew-VCCCBPerf-ktb"	"person"	"p3"
"hebrew-VCCCBPerf-ktb"	"pos"	"verb"
"hebrew-VCCCBPerf-ktb"	"rootClass"	"CCC"
"hebrew-VCCCBPerf-ktb"	"tam"	"perfect"
"hebrew-VNCCBJuss-npl"	"ablautClass"	"a-o"
"hebrew-VNCCBJuss-npl"	"dervStem"	"B"
"hebrew-VNCCBJuss-npl"	"gender"	"f"
"hebrew-VNCCBJuss-npl"	"gender"	"m"
"hebrew-VNCCBJuss-npl"	"gender"	"⊤"
"hebrew-VNCCBJuss-npl"	"ns#type"	"Term"
"hebrew-VNCCBJuss-npl"	"number"	"pl"
"hebrew-VNCCBJuss-npl"	"number"	"sg"
"hebrew-VNCCBJuss-npl"	"person"	"p1"
"hebrew-VNCCBJuss-npl"	"person"	"p2"
"hebrew-VNCCBJuss-npl"	"person"	"p3"
"hebrew-VNCCBJuss-npl"	"pos"	"verb"
"hebrew-VNCCBJuss-npl"	"rootClass"	"nCC"
"hebrew-VNCCBJuss-npl"	"tam"	"jussive"
"hebrew-VHCCBPerf-hzq"	"ablautClass"	"a-a"
"hebrew-VHCCBPerf-hzq"	"dervStem"	"B"
"hebrew-VHCCBPerf-hzq"	"gender"	"f"
"hebrew-VHCCBPerf-hzq"	"gender"	"m"
"hebrew-VHCCBPerf-hzq"	"gender"	"⊤"
"hebrew-VHCCBPerf-hzq"	"ns#type"	"Term"
"hebrew-VHCCBPerf-hzq"	"number"	"pl"
"hebrew-VHCCBPerf-hzq"	"number"	"sg"
"hebrew-VHCCBPerf-hzq"	"person"	"p1"
"hebrew-VHCCBPerf-hzq"	"person"	"p2"
"hebrew-VHCCBPerf-hzq"	"person"	"p3"
"hebrew-VHCCBPerf-hzq"	"pos"	"verb"
"hebrew-VHCCBPerf-hzq"	"rootClass"	"hCC"
"hebrew-VHCCBPerf-hzq"	"tam"	"perfect"
"hebrew-VDervStems"	"ablautClass"	"a"
"hebrew-VDervStems"	"ablautClass"	"a-o"
"hebrew-VDervStems"	"ablautClass"	"e-a"
"hebrew-VDervStems"	"ablautClass"	"⊤"
"hebrew-VDervStems"	"dervStem"	"B"
"hebrew-VDervStems"	"dervStem"	"D"
"hebrew-VDervStems"	"dervStem"	"D-polel"
"hebrew-VDervStems"	"dervStem"	"Du"
"hebrew-VDervStems"	"dervStem"	"N"
"hebrew-VDervStems"	"dervStem"	"Polal"
"hebrew-VDervStems"	"dervStem"	"Polel"
"hebrew-VDervStems"	"dervStem"	"S"
