?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"accusative"	"hebrew-PIndep"
"pronoun"	"case"	"dative"	"hebrew-PIndep"
"pronoun"	"case"	"nominative"	"hebrew-PIndep"
"pronoun"	"case"	"object"	"hebrew-PObjClitic"
"pronoun"	"case"	"object"	"syriac-PObjCliticPerf"
"pronoun"	"deixis"	"far"	"hebrew-PDem"
"pronoun"	"deixis"	"near"	"hebrew-PDem"
"pronoun"	"ns#type"	"Term"	"hebrew-PDem"
"pronoun"	"ns#type"	"Term"	"hebrew-PIndep"
"pronoun"	"ns#type"	"Term"	"hebrew-PLamedSuff"
"pronoun"	"ns#type"	"Term"	"hebrew-PObjClitic"
"pronoun"	"ns#type"	"Term"	"syriac-PObjCliticPerf"
"pronoun"	"numHead"	"pl"	"hebrew-PLamedSuff"
"pronoun"	"numHead"	"sg"	"hebrew-PLamedSuff"
"pronoun"	"proClass"	"demonstrative"	"hebrew-PDem"
"pronoun"	"proClass"	"independent"	"hebrew-PIndep"
"pronoun"	"proClass"	"lamedSuff"	"hebrew-PLamedSuff"
"pronoun"	"proClass"	"objClitic"	"hebrew-PObjClitic"
"pronoun"	"proClass"	"objCliticPerf"	"syriac-PObjCliticPerf"
"pronoun"	"tenseHead"	"imperfect"	"hebrew-PObjClitic"
"pronoun"	"tenseHead"	"jussive"	"hebrew-PObjClitic"
"pronoun"	"tenseHead"	"perfect"	"hebrew-PObjClitic"
"verb"	"ablautClass"	""	"hebrew-VCwCBImperf-qwm"
"verb"	"ablautClass"	""	"hebrew-VCwCBImprtv-qwm"
"verb"	"ablautClass"	""	"hebrew-VCwCBJuss-qwm"
"verb"	"ablautClass"	""	"hebrew-VCwCBPerf-qwm"
"verb"	"ablautClass"	""	"hebrew-VCyCBImperf-sym"
"verb"	"ablautClass"	""	"hebrew-VCyCBImprtv-sym"
"verb"	"ablautClass"	""	"hebrew-VCyCBJuss-sym"
"verb"	"ablautClass"	""	"hebrew-VCyCBPerf-sym"
"verb"	"ablautClass"	"a"	"hebrew-VDervStems"
"verb"	"ablautClass"	"a"	"hebrew-VNCCBImperf-ng`"
"verb"	"ablautClass"	"a"	"hebrew-VNCCBImprtv-ng`"
"verb"	"ablautClass"	"a"	"hebrew-VNCCBJuss-ng`"
"verb"	"ablautClass"	"a"	"hebrew-VNCCBPerf-ng`"
"verb"	"ablautClass"	"a-a"	"hebrew-V'CCBImperf-'kl"
"verb"	"ablautClass"	"a-a"	"hebrew-V'CCBImprtv-'kl"
"verb"	"ablautClass"	"a-a"	"hebrew-V'CCBJuss-'kl"
"verb"	"ablautClass"	"a-a"	"hebrew-V'CCBPerf-'kl"
"verb"	"ablautClass"	"a-a"	"hebrew-VCC'BImperf-ms'"
"verb"	"ablautClass"	"a-a"	"hebrew-VCC'BImprtv-ms'"
"verb"	"ablautClass"	"a-a"	"hebrew-VCC'BJuss-ms'"
"verb"	"ablautClass"	"a-a"	"hebrew-VCC'BPerf-ms'"
"verb"	"ablautClass"	"a-a"	"hebrew-VCCCBImperf-bhr"
"verb"	"ablautClass"	"a-a"	"hebrew-VCCCBImprtv-bhr"
"verb"	"ablautClass"	"a-a"	"hebrew-VCCCBJuss-bhr"
"verb"	"ablautClass"	"a-a"	"hebrew-VCCCBPerf-bhr"
"verb"	"ablautClass"	"a-a"	"hebrew-VCChBImperf-slh"
"verb"	"ablautClass"	"a-a"	"hebrew-VCChBImprtv-slh"
"verb"	"ablautClass"	"a-a"	"hebrew-VCChBJuss-slh"
"verb"	"ablautClass"	"a-a"	"hebrew-VCChBPerf-slh"
"verb"	"ablautClass"	"a-a"	"hebrew-VHCCBImperf-hzq"
"verb"	"ablautClass"	"a-a"	"hebrew-VHCCBImprtv-hzq"
"verb"	"ablautClass"	"a-a"	"hebrew-VHCCBJuss-hzq"
"verb"	"ablautClass"	"a-a"	"hebrew-VHCCBPerf-hzq"
"verb"	"ablautClass"	"a-a"	"hebrew-VYCCBImperf-ytb"
"verb"	"ablautClass"	"a-a"	"hebrew-VYCCBImprtv-ytb"
"verb"	"ablautClass"	"a-a"	"hebrew-VYCCBJuss-ytb"
"verb"	"ablautClass"	"a-a"	"hebrew-VYCCBPerf-ytb"
"verb"	"ablautClass"	"a-e"	"hebrew-VNCCBImperf-ntn"
"verb"	"ablautClass"	"a-e"	"hebrew-VNCCBImprtv-ntn"
"verb"	"ablautClass"	"a-e"	"hebrew-VNCCBJuss-ntn"
"verb"	"ablautClass"	"a-e"	"hebrew-VNCCBPerf-ntn"
"verb"	"ablautClass"	"a-e"	"hebrew-VWCCBImperf-ysb"
"verb"	"ablautClass"	"a-e"	"hebrew-VWCCBImprtv-ysb"
