?qlexid	?qp	?qo
"aama:ID012e8239-78ce-46ab-82e3-36b50fb34591"	"a"	"aama:lexid"
"aama:ID012e8239-78ce-46ab-82e3-36b50fb34591"	"aama:conjClass"	"aama:cc3a"
"aama:ID012e8239-78ce-46ab-82e3-36b50fb34591"	"aama:gloss"	"seize"
"aama:ID012e8239-78ce-46ab-82e3-36b50fb34591"	"aama:lang"	"aama:iraqw"
"aama:ID012e8239-78ce-46ab-82e3-36b50fb34591"	"aama:lemma"	"oh-"
"aama:ID012e8239-78ce-46ab-82e3-36b50fb34591"	"aama:lexlabel"	"doohl"
"aama:ID012e8239-78ce-46ab-82e3-36b50fb34591"	"aama:pos"	"aama:verb"
"aama:ID0a26eb8b-643d-4c2e-85cb-45c4d0f0121b"	"a"	"aama:lexid"
"aama:ID0a26eb8b-643d-4c2e-85cb-45c4d0f0121b"	"aama:conjClass"	"aama:cc2b"
"aama:ID0a26eb8b-643d-4c2e-85cb-45c4d0f0121b"	"aama:gloss"	"give birth"
"aama:ID0a26eb8b-643d-4c2e-85cb-45c4d0f0121b"	"aama:lang"	"aama:iraqw"
"aama:ID0a26eb8b-643d-4c2e-85cb-45c4d0f0121b"	"aama:lemma"	"xwayluw-"
"aama:ID0a26eb8b-643d-4c2e-85cb-45c4d0f0121b"	"aama:lexlabel"	"xwaylu"
"aama:ID0a26eb8b-643d-4c2e-85cb-45c4d0f0121b"	"aama:pos"	"aama:verb"
"aama:ID1b4f7603-ef26-4ea8-9f32-d65a9aeb3a58"	"a"	"aama:lexid"
"aama:ID1b4f7603-ef26-4ea8-9f32-d65a9aeb3a58"	"aama:conjClass"	"aama:p1"
"aama:ID1b4f7603-ef26-4ea8-9f32-d65a9aeb3a58"	"aama:gloss"	"have"
"aama:ID1b4f7603-ef26-4ea8-9f32-d65a9aeb3a58"	"aama:lang"	"aama:iraqw"
"aama:ID1b4f7603-ef26-4ea8-9f32-d65a9aeb3a58"	"aama:lemma"	"koom-"
"aama:ID1b4f7603-ef26-4ea8-9f32-d65a9aeb3a58"	"aama:lexlabel"	"xwaylu"
"aama:ID1b4f7603-ef26-4ea8-9f32-d65a9aeb3a58"	"aama:pos"	"aama:verb"
"aama:ID51592aff-d718-4061-879c-55527b044fff"	"a"	"aama:lexid"
"aama:ID51592aff-d718-4061-879c-55527b044fff"	"aama:conjClass"	"aama:cc2a"
"aama:ID51592aff-d718-4061-879c-55527b044fff"	"aama:gloss"	"leave"
"aama:ID51592aff-d718-4061-879c-55527b044fff"	"aama:lang"	"aama:iraqw"
"aama:ID51592aff-d718-4061-879c-55527b044fff"	"aama:lemma"	"maw-"
"aama:ID51592aff-d718-4061-879c-55527b044fff"	"aama:lexlabel"	"xwaylu"
"aama:ID51592aff-d718-4061-879c-55527b044fff"	"aama:pos"	"aama:verb"
"aama:ID60b02a68-6852-4e8c-ad58-80c748d62696"	"a"	"aama:lexid"
"aama:ID60b02a68-6852-4e8c-ad58-80c748d62696"	"aama:conjClass"	"aama:cc3b"
"aama:ID60b02a68-6852-4e8c-ad58-80c748d62696"	"aama:gloss"	"follow"
"aama:ID60b02a68-6852-4e8c-ad58-80c748d62696"	"aama:lang"	"aama:iraqw"
