?pdgmlabel	?prop1	?val1
"iraqw-VIrregAffPres-kah"	"conjClass"	"irreg"
"iraqw-VIrregAffPres-kah"	"gender"	"f"
"iraqw-VIrregAffPres-kah"	"gender"	"m"
"iraqw-VIrregAffPres-kah"	"gender"	"⊤"
"iraqw-VIrregAffPres-kah"	"ns#type"	"Term"
"iraqw-VIrregAffPres-kah"	"number"	"pl"
"iraqw-VIrregAffPres-kah"	"number"	"sg"
"iraqw-VIrregAffPres-kah"	"person"	"p1"
"iraqw-VIrregAffPres-kah"	"person"	"p2"
"iraqw-VIrregAffPres-kah"	"person"	"p3"
"iraqw-VIrregAffPres-kah"	"polarity"	"affirmative"
"iraqw-VIrregAffPres-kah"	"pos"	"verb"
"iraqw-VIrregAffPres-kah"	"tam"	"present"
"iraqw-VAffSelectorForms2"	"ns#type"	"Term"
"iraqw-VAffSelectorForms2"	"persObj"	"p3"
"iraqw-VAffSelectorForms2"	"polarity"	"affirmative"
"iraqw-VAffSelectorForms2"	"pos"	"verb"
"iraqw-VAffSelectorForms2"	"selBE"	"dependent"
"iraqw-VAffSelectorForms2"	"selBE"	"independent"
"iraqw-VAffSelectorForms2"	"selMood"	"concessive"
"iraqw-VAffSelectorForms2"	"selMood"	"conditional"
"iraqw-VAffSelectorForms2"	"selMood"	"⊤"
"iraqw-VAffSelectorForms2"	"selTense"	"background"
"iraqw-VAffSelectorForms2"	"selTense"	"consecutive"
"iraqw-VAffSelectorForms2"	"selTense"	"consecutive2"
"iraqw-VAffSelectorForms2"	"selTense"	"expectational"
"iraqw-VAffSelectorForms2"	"selTense"	"past"
"iraqw-VAffSelectorForms2"	"selTense"	"⊤"
"iraqw-VAffSelectorForms2"	"verbMorphClass"	"selectorForms2"
"iraqw-VConj2aAffPres-maw"	"conjClass"	"conj2a"
"iraqw-VConj2aAffPres-maw"	"gender"	"f"
"iraqw-VConj2aAffPres-maw"	"gender"	"m"
"iraqw-VConj2aAffPres-maw"	"gender"	"⊤"
"iraqw-VConj2aAffPres-maw"	"ns#type"	"Term"
"iraqw-VConj2aAffPres-maw"	"number"	"pl"
"iraqw-VConj2aAffPres-maw"	"number"	"sg"
"iraqw-VConj2aAffPres-maw"	"person"	"p1"
"iraqw-VConj2aAffPres-maw"	"person"	"p2"
"iraqw-VConj2aAffPres-maw"	"person"	"p3"
"iraqw-VConj2aAffPres-maw"	"polarity"	"affirmative"
"iraqw-VConj2aAffPres-maw"	"pos"	"verb"
"iraqw-VConj2aAffPres-maw"	"tam"	"present"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"conjClass"	"conj3e"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"gender"	"⊤"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"ns#type"	"Term"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"number"	"⊤"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"person"	"p3"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"person"	"⊤"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"polarity"	"subordiate"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"pos"	"verb"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"tam"	"present"
"iraqw-VConj3eSubordPresTenseFormation-doohl"	"verbMorphClass"	"tenseFormation"
"iraqw-VAffImprtvMarker-huuw"	"imperativeClass"	"hitherObj"
"iraqw-VAffImprtvMarker-huuw"	"ns#type"	"Term"
"iraqw-VAffImprtvMarker-huuw"	"number"	"pl"
"iraqw-VAffImprtvMarker-huuw"	"number"	"sg"
"iraqw-VAffImprtvMarker-huuw"	"polarity"	"affirmative"
"iraqw-VAffImprtvMarker-huuw"	"pos"	"verb"
"iraqw-VAffImprtvMarker-huuw"	"tam"	"imperative"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"conjClass"	"conj3e"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"gender"	"⊤"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"ns#type"	"Term"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"number"	"pl"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"number"	"sg"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"person"	"p1"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"person"	"p2"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"person"	"p3"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"polarity"	"affirmative"
"iraqw-VConj3eAffPresQTenseFormation-doohl"	"pos"	"verb"
