?pos	?property	?value	?pdgmlabel
"pronoun"	"deixis"	"far"	"iraqw-PPers_dem"
"pronoun"	"deixis"	"midway"	"iraqw-PPers_dem"
"pronoun"	"deixis"	"near1"	"iraqw-PPers_dem"
"pronoun"	"deixis"	"near2"	"iraqw-PPers_dem"
"pronoun"	"form"	"full"	"iraqw-PInd"
"pronoun"	"form"	"short"	"iraqw-PInd"
"pronoun"	"headGen"	"f"	"iraqw-PPoss"
"pronoun"	"headGen"	"m"	"iraqw-PPoss"
"pronoun"	"ns#type"	"Term"	"iraqw-PInd"
"pronoun"	"ns#type"	"Term"	"iraqw-PObj"
"pronoun"	"ns#type"	"Term"	"iraqw-PPers_dem"
"pronoun"	"ns#type"	"Term"	"iraqw-PPoss"
"pronoun"	"proClass"	"independent"	"iraqw-PInd"
"pronoun"	"proClass"	"object"	"iraqw-PObj"
"pronoun"	"proClass"	"pers_dem"	"iraqw-PPers_dem"
"pronoun"	"proClass"	"possessive"	"iraqw-PPoss"
"verb"	"conjClass"	"conj1"	"iraqw-VAffPresSubjMarker"
"verb"	"conjClass"	"conj1"	"iraqw-VConj1AffPast-firiim"
"verb"	"conjClass"	"conj1"	"iraqw-VConj1AffPres-koom"
"verb"	"conjClass"	"conj1"	"iraqw-VConj1NegPastTenseFormation2-firiim"
"verb"	"conjClass"	"conj1"	"iraqw-VConj1NegPresTenseFormation1-firiim"
"verb"	"conjClass"	"conj1"	"iraqw-VIndicativeConj1AffPast-firiim"
"verb"	"conjClass"	"conj1"	"iraqw-VQConj1AffPast-firiim"
"verb"	"conjClass"	"conj1"	"iraqw-VSubjunctiveConj1AffPast-firiim"
"verb"	"conjClass"	"conj2"	"iraqw-VAffPresSubjMarker"
"verb"	"conjClass"	"conj2"	"iraqw-VConj2AffPast-tlaw"
"verb"	"conjClass"	"conj2"	"iraqw-VConj2AffPres-deer"
"verb"	"conjClass"	"conj2"	"iraqw-VConj2NegPastTenseFormation2-tlaw"
"verb"	"conjClass"	"conj2"	"iraqw-VConj2NegPresTenseFormation1-tlaw"
"verb"	"conjClass"	"conj2"	"iraqw-VIndicativeConj2AffPast-tlaw"
"verb"	"conjClass"	"conj2"	"iraqw-VQConj2AffPast-tlaw"
"verb"	"conjClass"	"conj2"	"iraqw-VSubjunctiveConj2AffPast-tlaw"
"verb"	"conjClass"	"conj2a"	"iraqw-VConj2aAffPres-maw"
"verb"	"conjClass"	"conj2b"	"iraqw-VConj2bAffPres-xwaylu"
"verb"	"conjClass"	"conj3"	"iraqw-VConj3Aff"
"verb"	"conjClass"	"conj3a"	"iraqw-VAffPresSubjMarker"
"verb"	"conjClass"	"conj3a"	"iraqw-VConj3Aff"
"verb"	"conjClass"	"conj3a"	"iraqw-VConj3aAffPres-looh"
"verb"	"conjClass"	"conj3a"	"iraqw-VConj3aAffPresStemFormation-oh"
"verb"	"conjClass"	"conj3b"	"iraqw-VAffPresSubjMarker"
"verb"	"conjClass"	"conj3b"	"iraqw-VConj3Aff"
"verb"	"conjClass"	"conj3b"	"iraqw-VConj3bAffPres-tsaweer"
"verb"	"conjClass"	"conj3b"	"iraqw-VConj3bAffPresStemFormation-eehar"
"verb"	"conjClass"	"conj3c"	"iraqw-VAffPresSubjMarker"
"verb"	"conjClass"	"conj3c"	"iraqw-VConj3Aff"
"verb"	"conjClass"	"conj3c"	"iraqw-VConj3cAffPresStemFormation-law"
"verb"	"conjClass"	"conj3d"	"iraqw-VAffPresSubjMarker"
"verb"	"conjClass"	"conj3d"	"iraqw-VConj3Aff"
"verb"	"conjClass"	"conj3d"	"iraqw-VConj3dAffPresStemFormation-'aay"
"verb"	"conjClass"	"conj3e"	"iraqw-VAffPresSubjMarker"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3Aff"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffImprtvTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffPast-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffPastQTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffPastTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffPres-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffPres-laaw"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffPresQTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffPresStemFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffPresTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffRelPastTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eAffRelPresTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eNegImprtvTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eNegPastTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eNegPastTenseFormation2-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eNegPresTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eNegPresTenseFormation1-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eSubordPastTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VConj3eSubordPresTenseFormation-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VIndicativeConj3eAffPast-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VQConj3eAffPast-doohl"
"verb"	"conjClass"	"conj3e"	"iraqw-VSubjunctiveConj3eAffPast-doohl"
"verb"	"conjClass"	"irreg"	"iraqw-VIrregAffPres-kah"
"verb"	"dervStem"	"causative"	"iraqw-VDervStemSuff"
"verb"	"dervStem"	"durative"	"iraqw-VDervStemSuff"
"verb"	"dervStem"	"factitive1"	"iraqw-VDervStemSuff"
"verb"	"dervStem"	"factitive2"	"iraqw-VDervStemSuff"
"verb"	"dervStem"	"habitual"	"iraqw-VDervStemSuff"
"verb"	"dervStem"	"inchoative"	"iraqw-VDervStemSuff"
"verb"	"dervStem"	"middle"	"iraqw-VDervStemSuff"
"verb"	"dervStem"	"verbaliser"	"iraqw-VDervStemSuff"
"verb"	"imperativeClass"	"base"	"iraqw-VAffImprtvMarker-doohl"
