?qlexid	?qp	?qo
"aama:ID14a5a9d6-f1ef-4c14-be48-487ba56c8e4c"	"a"	"aama:lexid"
"aama:ID14a5a9d6-f1ef-4c14-be48-487ba56c8e4c"	"aama:conjClass"	"aama:conj1"
"aama:ID14a5a9d6-f1ef-4c14-be48-487ba56c8e4c"	"aama:gloss"	"buy"
"aama:ID14a5a9d6-f1ef-4c14-be48-487ba56c8e4c"	"aama:lang"	"aama:koorete"
"aama:ID14a5a9d6-f1ef-4c14-be48-487ba56c8e4c"	"aama:lemma"	"woon-"
"aama:ID14a5a9d6-f1ef-4c14-be48-487ba56c8e4c"	"aama:lexlabel"	"woon"
"aama:ID14a5a9d6-f1ef-4c14-be48-487ba56c8e4c"	"aama:pos"	"aama:verb"
"aama:ID2efe4e00-5ff9-4d1f-bda3-6378ef8470ae"	"a"	"aama:lexid"
"aama:ID2efe4e00-5ff9-4d1f-bda3-6378ef8470ae"	"aama:conjClass"	"aama:conj2"
"aama:ID2efe4e00-5ff9-4d1f-bda3-6378ef8470ae"	"aama:gloss"	"see"
"aama:ID2efe4e00-5ff9-4d1f-bda3-6378ef8470ae"	"aama:lang"	"aama:koorete"
"aama:ID2efe4e00-5ff9-4d1f-bda3-6378ef8470ae"	"aama:lemma"	"bee-"
"aama:ID2efe4e00-5ff9-4d1f-bda3-6378ef8470ae"	"aama:lexlabel"	"bee"
"aama:ID2efe4e00-5ff9-4d1f-bda3-6378ef8470ae"	"aama:pos"	"aama:verb"
"aama:ID791713d5-8314-436c-bedd-49e2a3667be2"	"a"	"aama:lexid"
"aama:ID791713d5-8314-436c-bedd-49e2a3667be2"	"aama:gloss"	"want"
"aama:ID791713d5-8314-436c-bedd-49e2a3667be2"	"aama:lang"	"aama:koorete"
"aama:ID791713d5-8314-436c-bedd-49e2a3667be2"	"aama:lemma"	"ba:s-"
"aama:ID791713d5-8314-436c-bedd-49e2a3667be2"	"aama:lexlabel"	"baas"
