?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"ablative"	"koorete-PInterrog"
"pronoun"	"case"	"absolutive"	"koorete-PDemPro"
"pronoun"	"case"	"absolutive"	"koorete-PInterrog"
"pronoun"	"case"	"absolutive"	"koorete-PProInd"
"pronoun"	"case"	"dative"	"koorete-PInterrog"
"pronoun"	"case"	"dative"	"koorete-PProInd"
"pronoun"	"case"	"instrumental"	"koorete-PProInd"
"pronoun"	"case"	"nominative"	"koorete-PDemPro"
"pronoun"	"case"	"nominative"	"koorete-PInterrog"
"pronoun"	"case"	"nominative"	"koorete-PProInd"
"pronoun"	"case"	"possessive"	"koorete-PProInd"
"pronoun"	"deixis"	"aboveSpeaker"	"koorete-PDem"
"pronoun"	"deixis"	"belowSpeaker"	"koorete-PDem"
"pronoun"	"deixis"	"farDist"	"koorete-PDem"
"pronoun"	"deixis"	"farMid"	"koorete-PDem"
"pronoun"	"deixis"	"nearSpeaker"	"koorete-PDem"
"pronoun"	"ns#type"	"Term"	"koorete-PDem"
"pronoun"	"ns#type"	"Term"	"koorete-PDemPro"
"pronoun"	"ns#type"	"Term"	"koorete-PInterrog"
"pronoun"	"ns#type"	"Term"	"koorete-PProInd"
"pronoun"	"ns#type"	"Term"	"koorete-PVocative"
"pronoun"	"proClass"	"demPro"	"koorete-PDemPro"
"pronoun"	"proClass"	"demonstrative"	"koorete-PDem"
"pronoun"	"proClass"	"interrogative"	"koorete-PInterrog"
"pronoun"	"proClass"	"proInd"	"koorete-PProInd"
"pronoun"	"proClass"	"vocative"	"koorete-PVocative"
"verb"	"conjClass"	"conj1"	"koorete-VAffImprtvOpt-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPastHabDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPastHabInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPastPerfDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPastPerfInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPastPerfectiveDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPastPerfectiveInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPastPerfectiveNoFoc-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPastProgDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPastProgInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPresHabDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPresHabInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPresPerfDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPresPerfInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPresProgDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VAffPresProgInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegImprtvOptInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPastHabDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPastHabInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPastPerfDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPastPerfInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPastPerfectiveDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPastPerfectiveInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPastProgDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPastProgInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPresHabDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPresHabInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPresPerfDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPresPerfInterrog-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPresProgDecl-woon"
"verb"	"conjClass"	"conj1"	"koorete-VNegPresProgInterrog-woon"
"verb"	"conjClass"	"conj2"	"koorete-VAffImprtvOpt-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPastHabDecl-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPastHabInterrog-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPastPerfDecl-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPastPerfInterrog-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPastPerfectiveDecl-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPastPerfectiveInterrog-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPastPerfectiveNoFoc-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPastProgDecl-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPastProgInterrog-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPresHabDecl-bee"
"verb"	"conjClass"	"conj2"	"koorete-VAffPresHabInterrog-bee"
