?qlexid	?qp	?qo
"aama:IDb517707f-b82a-4209-b7c0-d7bbc69d17a4"	"a"	"aama:lexid"
"aama:IDb517707f-b82a-4209-b7c0-d7bbc69d17a4"	"aama:gloss"	"not exist"
"aama:IDb517707f-b82a-4209-b7c0-d7bbc69d17a4"	"aama:lang"	"aama:maale"
"aama:IDb517707f-b82a-4209-b7c0-d7bbc69d17a4"	"aama:lemma"	"bá-"
"aama:IDb517707f-b82a-4209-b7c0-d7bbc69d17a4"	"aama:lexlabel"	"ba"
"aama:IDbcb32b39-d6ba-4685-ac43-bf0034e8d3db"	"a"	"aama:lexid"
"aama:IDbcb32b39-d6ba-4685-ac43-bf0034e8d3db"	"aama:gloss"	"eat"
"aama:IDbcb32b39-d6ba-4685-ac43-bf0034e8d3db"	"aama:lang"	"aama:maale"
"aama:IDbcb32b39-d6ba-4685-ac43-bf0034e8d3db"	"aama:lemma"	"múʔ"
"aama:IDbcb32b39-d6ba-4685-ac43-bf0034e8d3db"	"aama:lexlabel"	"mu'"
