?pdgmlabel	?prop1	?val1
"maale-P2ary"	"case"	"absolutive"
"maale-P2ary"	"case"	"nominative"
"maale-P2ary"	"case"	"possessive"
"maale-P2ary"	"gender"	"f"
"maale-P2ary"	"gender"	"m"
"maale-P2ary"	"gender"	"⊤"
"maale-P2ary"	"ns#type"	"Term"
"maale-P2ary"	"number"	"pl"
"maale-P2ary"	"number"	"sg"
"maale-P2ary"	"person"	"p2"
"maale-P2ary"	"person"	"p3"
"maale-P2ary"	"pos"	"pronoun"
"maale-P2ary"	"proClass"	"pro2ary"
"maale-PPoss"	"case"	"possessive"
"maale-PPoss"	"gender"	"f"
"maale-PPoss"	"gender"	"m"
"maale-PPoss"	"gender"	"⊤"
"maale-PPoss"	"ns#type"	"Term"
"maale-PPoss"	"number"	"pl"
"maale-PPoss"	"number"	"sg"
"maale-PPoss"	"person"	"p1"
"maale-PPoss"	"person"	"p2"
"maale-PPoss"	"person"	"p3"
"maale-PPoss"	"pos"	"pronoun"
"maale-PPoss"	"possType"	"poss1"
"maale-PPoss"	"possType"	"poss2"
"maale-PPoss"	"possType"	"possNom1"
"maale-PPoss"	"possType"	"possNom2"
"maale-PPoss"	"proClass"	"possessive"
"maale-PRestrictive"	"ns#type"	"Term"
"maale-PRestrictive"	"number"	"pl"
"maale-PRestrictive"	"number"	"sg"
"maale-PRestrictive"	"number"	"⊤"
"maale-PRestrictive"	"person"	"p1"
"maale-PRestrictive"	"person"	"p2"
"maale-PRestrictive"	"person"	"p3"
"maale-PRestrictive"	"pos"	"pronoun"
"maale-PRestrictive"	"proClass"	"restrictive"
"maale-VRootStructure"	"ns#type"	"Term"
"maale-VRootStructure"	"pos"	"verb"
"maale-VRootStructure"	"rootStructure"	"group1"
"maale-VRootStructure"	"rootStructure"	"group2"
"maale-VRootStructure"	"verbMorphClass"	"rootStructure"
"maale-VInflectionTemplate"	"aspect"	"imperfective"
"maale-VInflectionTemplate"	"aspect"	"imperfectiveFuture"
"maale-VInflectionTemplate"	"aspect"	"imperfectivePresent"
"maale-VInflectionTemplate"	"aspect"	"interrPerm"
"maale-VInflectionTemplate"	"aspect"	"perfective"
"maale-VInflectionTemplate"	"aspect"	"⊤"
"maale-VInflectionTemplate"	"clauseType"	"causal"
"maale-VInflectionTemplate"	"clauseType"	"conditional"
"maale-VInflectionTemplate"	"clauseType"	"converb1"
"maale-VInflectionTemplate"	"clauseType"	"converb2"
"maale-VInflectionTemplate"	"clauseType"	"converb3"
"maale-VInflectionTemplate"	"clauseType"	"declarative"
"maale-VInflectionTemplate"	"clauseType"	"imperative"
"maale-VInflectionTemplate"	"clauseType"	"interrDubitative"
"maale-VInflectionTemplate"	"clauseType"	"interrNonPolar"
"maale-VInflectionTemplate"	"clauseType"	"interrPolar"
"maale-VInflectionTemplate"	"clauseType"	"optative"
"maale-VInflectionTemplate"	"clauseType"	"preventive"
"maale-VInflectionTemplate"	"clauseType"	"purposive1"
"maale-VInflectionTemplate"	"clauseType"	"purposive2"
"maale-VInflectionTemplate"	"clauseType"	"simultaneous"
"maale-VInflectionTemplate"	"clauseType"	"temporal1"
"maale-VInflectionTemplate"	"clauseType"	"temporal2"
"maale-VInflectionTemplate"	"clauseType"	"⊤"
"maale-VInflectionTemplate"	"modal"	"mirative"
"maale-VInflectionTemplate"	"modal"	"newInfo"
"maale-VInflectionTemplate"	"modal"	"nonVerbal"
"maale-VInflectionTemplate"	"modal"	"perfective"
"maale-VInflectionTemplate"	"modal"	"veridical"
"maale-VInflectionTemplate"	"modal"	"⊤"
"maale-VInflectionTemplate"	"ns#type"	"Term"
"maale-VInflectionTemplate"	"number"	"pl"
"maale-VInflectionTemplate"	"number"	"sg"
"maale-VInflectionTemplate"	"number"	"⊤"
"maale-VInflectionTemplate"	"person"	"p1"
"maale-VInflectionTemplate"	"person"	"p2"
"maale-VInflectionTemplate"	"person"	"p3"
"maale-VInflectionTemplate"	"person"	"⊤"
"maale-VInflectionTemplate"	"polarity"	"affirmative"
"maale-VInflectionTemplate"	"polarity"	"negative"
"maale-VInflectionTemplate"	"pos"	"verb"
"maale-VInflectionTemplate"	"verbMorphClass"	"inflectionTemplate"
"maale-PBasicPro"	"case"	"possessive"
"maale-PBasicPro"	"case"	"⊤"
"maale-PBasicPro"	"gender"	"m"
"maale-PBasicPro"	"gender"	"⊤"
"maale-PBasicPro"	"ns#type"	"Term"
"maale-PBasicPro"	"number"	"pl"
"maale-PBasicPro"	"number"	"sg"
"maale-PBasicPro"	"person"	"p1"
"maale-PBasicPro"	"person"	"p2"
"maale-PBasicPro"	"person"	"p3"
"maale-PBasicPro"	"person"	"p3Ref"
"maale-PBasicPro"	"pos"	"pronoun"
"maale-PBasicPro"	"proClass"	"basicPro"
"maale-VBE"	"aspect"	"imperfectiveFuture"
"maale-VBE"	"aspect"	"imperfectivePresent"
"maale-VBE"	"aspect"	"⊤"
"maale-VBE"	"ns#type"	"Term"
"maale-VBE"	"polarity"	"affirmative"
"maale-VBE"	"polarity"	"negative"
"maale-VBE"	"pos"	"verb"
"maale-VBE"	"verbMorphClass"	"BE"
"maale-PCaseMarking"	"case"	"ablative"
"maale-PCaseMarking"	"case"	"absolutive"
"maale-PCaseMarking"	"case"	"dative"
"maale-PCaseMarking"	"case"	"instrumental"
"maale-PCaseMarking"	"case"	"nominative"
"maale-PCaseMarking"	"gender"	"f"
"maale-PCaseMarking"	"gender"	"m"
"maale-PCaseMarking"	"gender"	"⊤"
"maale-PCaseMarking"	"ns#type"	"Term"
"maale-PCaseMarking"	"number"	"pl"
"maale-PCaseMarking"	"number"	"sg"
"maale-PCaseMarking"	"person"	"p1"
"maale-PCaseMarking"	"person"	"p2"
"maale-PCaseMarking"	"person"	"p3"
"maale-PCaseMarking"	"pos"	"pronoun"
"maale-PCaseMarking"	"proClass"	"caseMarking"
"maale-VDervStem"	"dervStem"	"causative"
"maale-VDervStem"	"dervStem"	"causative2"
"maale-VDervStem"	"dervStem"	"denominal"
"maale-VDervStem"	"dervStem"	"inchoative"
"maale-VDervStem"	"dervStem"	"intensive"
"maale-VDervStem"	"dervStem"	"passive"
"maale-VDervStem"	"dervStem"	"passiveCausative"
"maale-VDervStem"	"dervStem"	"reflexive"
"maale-VDervStem"	"ns#type"	"Term"
"maale-VDervStem"	"pos"	"verb"
"maale-VDervStem"	"verbMorphClass"	"dervStem"
"maale-PProInd"	"case"	"absolutive"
"maale-PProInd"	"case"	"nominative"
"maale-PProInd"	"case"	"possessive"
"maale-PProInd"	"case"	"⊤"
"maale-PProInd"	"gender"	"f"
"maale-PProInd"	"gender"	"m"
"maale-PProInd"	"gender"	"⊤"
"maale-PProInd"	"ns#type"	"Term"
"maale-PProInd"	"number"	"pl"
"maale-PProInd"	"number"	"sg"
"maale-PProInd"	"number"	"⊤"
"maale-PProInd"	"person"	"p1"
"maale-PProInd"	"person"	"p2"
"maale-PProInd"	"person"	"p3"
"maale-PProInd"	"person"	"p3Ref"
"maale-PProInd"	"pos"	"pronoun"
"maale-PProInd"	"proClass"	"proInd"
