?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"ablative"	"maale-PCaseMarking"
"pronoun"	"case"	"absolutive"	"maale-P2ary"
"pronoun"	"case"	"absolutive"	"maale-PCaseMarking"
"pronoun"	"case"	"absolutive"	"maale-PProInd"
"pronoun"	"case"	"dative"	"maale-PCaseMarking"
"pronoun"	"case"	"instrumental"	"maale-PCaseMarking"
"pronoun"	"case"	"nominative"	"maale-P2ary"
"pronoun"	"case"	"nominative"	"maale-PCaseMarking"
"pronoun"	"case"	"nominative"	"maale-PProInd"
"pronoun"	"case"	"possessive"	"maale-P2ary"
"pronoun"	"case"	"possessive"	"maale-PBasicPro"
"pronoun"	"case"	"possessive"	"maale-PPoss"
"pronoun"	"case"	"possessive"	"maale-PProInd"
"pronoun"	"ns#type"	"Term"	"maale-P2ary"
"pronoun"	"ns#type"	"Term"	"maale-PBasicPro"
"pronoun"	"ns#type"	"Term"	"maale-PCaseMarking"
"pronoun"	"ns#type"	"Term"	"maale-PPoss"
"pronoun"	"ns#type"	"Term"	"maale-PProInd"
"pronoun"	"ns#type"	"Term"	"maale-PRestrictive"
"pronoun"	"possType"	"poss1"	"maale-PPoss"
"pronoun"	"possType"	"poss2"	"maale-PPoss"
"pronoun"	"possType"	"possNom1"	"maale-PPoss"
"pronoun"	"possType"	"possNom2"	"maale-PPoss"
"pronoun"	"proClass"	"basicPro"	"maale-PBasicPro"
"pronoun"	"proClass"	"caseMarking"	"maale-PCaseMarking"
"pronoun"	"proClass"	"possessive"	"maale-PPoss"
"pronoun"	"proClass"	"pro2ary"	"maale-P2ary"
"pronoun"	"proClass"	"proInd"	"maale-PProInd"
"pronoun"	"proClass"	"restrictive"	"maale-PRestrictive"
"verb"	"aspect"	"imperfective"	"maale-VInflectionTemplate"
"verb"	"aspect"	"imperfectiveFuture"	"maale-VBE"
"verb"	"aspect"	"imperfectiveFuture"	"maale-VInflectionTemplate"
"verb"	"aspect"	"imperfectivePresent"	"maale-VBE"
"verb"	"aspect"	"imperfectivePresent"	"maale-VInflectionTemplate"
"verb"	"aspect"	"interrPerm"	"maale-VInflectionTemplate"
"verb"	"aspect"	"perfective"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"causal"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"conditional"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"converb1"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"converb2"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"converb3"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"declarative"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"imperative"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"interrDubitative"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"interrNonPolar"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"interrPolar"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"optative"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"preventive"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"purposive1"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"purposive2"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"simultaneous"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"temporal1"	"maale-VInflectionTemplate"
"verb"	"clauseType"	"temporal2"	"maale-VInflectionTemplate"
"verb"	"dervStem"	"causative"	"maale-VDervStem"
"verb"	"dervStem"	"causative2"	"maale-VDervStem"
"verb"	"dervStem"	"denominal"	"maale-VDervStem"
"verb"	"dervStem"	"inchoative"	"maale-VDervStem"
"verb"	"dervStem"	"intensive"	"maale-VDervStem"
"verb"	"dervStem"	"passive"	"maale-VDervStem"
"verb"	"dervStem"	"passiveCausative"	"maale-VDervStem"
"verb"	"dervStem"	"reflexive"	"maale-VDervStem"
"verb"	"modal"	"mirative"	"maale-VInflectionTemplate"
"verb"	"modal"	"newInfo"	"maale-VInflectionTemplate"
"verb"	"modal"	"nonVerbal"	"maale-VInflectionTemplate"
"verb"	"modal"	"perfective"	"maale-VInflectionTemplate"
"verb"	"modal"	"veridical"	"maale-VInflectionTemplate"
"verb"	"ns#type"	"Term"	"maale-VBE"
"verb"	"ns#type"	"Term"	"maale-VDervStem"
"verb"	"ns#type"	"Term"	"maale-VInflectionTemplate"
"verb"	"ns#type"	"Term"	"maale-VRootStructure"
"verb"	"polarity"	"affirmative"	"maale-VBE"
"verb"	"polarity"	"affirmative"	"maale-VInflectionTemplate"
"verb"	"polarity"	"negative"	"maale-VBE"
"verb"	"polarity"	"negative"	"maale-VInflectionTemplate"
"verb"	"rootStructure"	"group1"	"maale-VRootStructure"
"verb"	"rootStructure"	"group2"	"maale-VRootStructure"
"verb"	"verbMorphClass"	"BE"	"maale-VBE"
"verb"	"verbMorphClass"	"dervStem"	"maale-VDervStem"
"verb"	"verbMorphClass"	"inflectionTemplate"	"maale-VInflectionTemplate"
"verb"	"verbMorphClass"	"rootStructure"	"maale-VRootStructure"
