?qlexid	?qp	?qo
"aama:ID2d6a8b19-b406-4c1f-b42e-91223917d388"	"a"	"aama:lexid"
"aama:ID2d6a8b19-b406-4c1f-b42e-91223917d388"	"aama:gloss"	"foot"
"aama:ID2d6a8b19-b406-4c1f-b42e-91223917d388"	"aama:gloss"	"foot "
"aama:ID2d6a8b19-b406-4c1f-b42e-91223917d388"	"aama:lang"	"aama:sidaama"
"aama:ID2d6a8b19-b406-4c1f-b42e-91223917d388"	"aama:lemma"	"waasa"
"aama:ID2d6a8b19-b406-4c1f-b42e-91223917d388"	"aama:lemma"	"waasa "
"aama:ID2d6a8b19-b406-4c1f-b42e-91223917d388"	"aama:lexlabel"	"it"
"aama:ID2d6a8b19-b406-4c1f-b42e-91223917d388"	"aama:pdgmLexLabel"	"aama:it"
"aama:ID53d81407-77fa-46ac-8a60-ad0a9e8c9ad7"	"a"	"aama:lexid"
"aama:ID53d81407-77fa-46ac-8a60-ad0a9e8c9ad7"	"aama:gloss"	"wash"
"aama:ID53d81407-77fa-46ac-8a60-ad0a9e8c9ad7"	"aama:gloss"	"wash "
"aama:ID53d81407-77fa-46ac-8a60-ad0a9e8c9ad7"	"aama:lang"	"aama:sidaama"
"aama:ID53d81407-77fa-46ac-8a60-ad0a9e8c9ad7"	"aama:lemma"	"haišš-"
"aama:ID53d81407-77fa-46ac-8a60-ad0a9e8c9ad7"	"aama:lemma"	"haišš- "
"aama:ID53d81407-77fa-46ac-8a60-ad0a9e8c9ad7"	"aama:lexlabel"	"haishsh"
"aama:ID53d81407-77fa-46ac-8a60-ad0a9e8c9ad7"	"aama:pdgmLexLabel"	"aama:haishsh"
"aama:IDb0ac8a32-a337-4646-ac0a-699c9d7bf892"	"a"	"aama:lexid"
"aama:IDb0ac8a32-a337-4646-ac0a-699c9d7bf892"	"aama:gloss"	"eat"
"aama:IDb0ac8a32-a337-4646-ac0a-699c9d7bf892"	"aama:gloss"	"eat "
"aama:IDb0ac8a32-a337-4646-ac0a-699c9d7bf892"	"aama:lang"	"aama:sidaama"
"aama:IDb0ac8a32-a337-4646-ac0a-699c9d7bf892"	"aama:lemma"	"it-"
"aama:IDb0ac8a32-a337-4646-ac0a-699c9d7bf892"	"aama:lemma"	"it- "
"aama:IDb0ac8a32-a337-4646-ac0a-699c9d7bf892"	"aama:lexlabel"	"it"
"aama:IDb0ac8a32-a337-4646-ac0a-699c9d7bf892"	"aama:pdgmLexLabel"	"aama:it"
"aama:IDdd71d537-b78f-4d50-927f-81214df33626"	"a"	"aama:lexid"
"aama:IDdd71d537-b78f-4d50-927f-81214df33626"	"aama:gloss"	"get angry"
"aama:IDdd71d537-b78f-4d50-927f-81214df33626"	"aama:gloss"	"get angry "
"aama:IDdd71d537-b78f-4d50-927f-81214df33626"	"aama:lang"	"aama:sidaama"
"aama:IDdd71d537-b78f-4d50-927f-81214df33626"	"aama:lemma"	"hank'-"
"aama:IDdd71d537-b78f-4d50-927f-81214df33626"	"aama:lemma"	"hank'- "
"aama:IDdd71d537-b78f-4d50-927f-81214df33626"	"aama:lexlabel"	"hank'"
"aama:IDdd71d537-b78f-4d50-927f-81214df33626"	"aama:pdgmLexLabel"	"aama:hank"
"aama:IDe4f28f4c-feb1-42a5-96eb-d20def5bde6e"	"a"	"aama:lexid"
"aama:IDe4f28f4c-feb1-42a5-96eb-d20def5bde6e"	"aama:gloss"	"cry"
"aama:IDe4f28f4c-feb1-42a5-96eb-d20def5bde6e"	"aama:lang"	"aama:sidaama"
"aama:IDe4f28f4c-feb1-42a5-96eb-d20def5bde6e"	"aama:lemma"	"wi'l-"
"aama:IDe4f28f4c-feb1-42a5-96eb-d20def5bde6e"	"aama:lexlabel"	"wi'l"
