?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"accusative"	"sidaama-PDem"
"pronoun"	"case"	"accusative"	"sidaama-PDemAdnom"
"pronoun"	"case"	"accusative"	"sidaama-PDemSpec"
"pronoun"	"case"	"accusative"	"sidaama-PIndependent"
"pronoun"	"case"	"accusative"	"sidaama-PInterrog"
"pronoun"	"case"	"accusative"	"sidaama-PReflPoss"
"pronoun"	"case"	"genitive"	"sidaama-PDemAdnom"
"pronoun"	"case"	"genitive"	"sidaama-PIndependent"
"pronoun"	"case"	"genitive"	"sidaama-PInterrog"
"pronoun"	"case"	"nom-gen"	"sidaama-PDem"
"pronoun"	"case"	"nom-gen"	"sidaama-PDemSpec"
"pronoun"	"case"	"nom-gen"	"sidaama-PReflPoss"
"pronoun"	"case"	"nominative"	"sidaama-PDemAdnom"
"pronoun"	"case"	"nominative"	"sidaama-PIndependent"
"pronoun"	"case"	"nominative"	"sidaama-PInterrog"
"pronoun"	"deixis"	"here"	"sidaama-PDem"
"pronoun"	"deixis"	"here"	"sidaama-PDemAdnom"
"pronoun"	"deixis"	"here"	"sidaama-PDemAdv"
"pronoun"	"deixis"	"here"	"sidaama-PDemSpec"
"pronoun"	"deixis"	"here"	"sidaama-PDemSpecAdv"
"pronoun"	"deixis"	"overThere"	"sidaama-PDem"
"pronoun"	"deixis"	"overThere"	"sidaama-PDemAdnom"
"pronoun"	"deixis"	"overThere"	"sidaama-PDemAdv"
"pronoun"	"deixis"	"overThere"	"sidaama-PDemSpec"
"pronoun"	"deixis"	"overThere"	"sidaama-PDemSpecAdv"
"pronoun"	"deixis"	"thatArea"	"sidaama-PDemAreaAdnom"
"pronoun"	"deixis"	"there"	"sidaama-PDem"
"pronoun"	"deixis"	"there"	"sidaama-PDemAdnom"
"pronoun"	"deixis"	"there"	"sidaama-PDemAdv"
"pronoun"	"deixis"	"there"	"sidaama-PDemSpec"
"pronoun"	"deixis"	"there"	"sidaama-PDemSpecAdv"
"pronoun"	"deixis"	"thisArea"	"sidaama-PDemAreaAdnom"
"pronoun"	"direction"	"dirAT"	"sidaama-PDemAdv"
"pronoun"	"direction"	"dirAT"	"sidaama-PDemSpecAdv"
"pronoun"	"direction"	"dirFROM"	"sidaama-PDemAdv"
"pronoun"	"direction"	"dirFROM"	"sidaama-PDemSpecAdv"
