?pdgmlabel	?prop1	?val1
"syriac-PPossClitic"	"case"	"genitive"
"syriac-PPossClitic"	"gender"	"f"
"syriac-PPossClitic"	"gender"	"m"
"syriac-PPossClitic"	"gender"	"⊤"
"syriac-PPossClitic"	"ns#type"	"Term"
"syriac-PPossClitic"	"numHead"	"pl"
"syriac-PPossClitic"	"numHead"	"sg"
"syriac-PPossClitic"	"number"	"pl"
"syriac-PPossClitic"	"number"	"sg"
"syriac-PPossClitic"	"person"	"p1"
"syriac-PPossClitic"	"person"	"p2"
"syriac-PPossClitic"	"person"	"p3"
"syriac-PPossClitic"	"pos"	"pronoun"
"syriac-PPossClitic"	"proClass"	"possClitic"
"syriac-PDem"	"deixis"	"far"
"syriac-PDem"	"deixis"	"near"
"syriac-PDem"	"gender"	"f"
"syriac-PDem"	"gender"	"m"
"syriac-PDem"	"ns#type"	"Term"
"syriac-PDem"	"number"	"pl"
"syriac-PDem"	"number"	"sg"
"syriac-PDem"	"pos"	"pronoun"
"syriac-PDem"	"proClass"	"demonstrative"
"syriac-PObjCliticImprtv"	"case"	"accusative"
"syriac-PObjCliticImprtv"	"gender"	"f"
"syriac-PObjCliticImprtv"	"gender"	"m"
"syriac-PObjCliticImprtv"	"gender"	"⊤"
"syriac-PObjCliticImprtv"	"ns#type"	"Term"
"syriac-PObjCliticImprtv"	"number"	"pl"
"syriac-PObjCliticImprtv"	"number"	"sg"
"syriac-PObjCliticImprtv"	"person"	"p1"
"syriac-PObjCliticImprtv"	"person"	"p3"
"syriac-PObjCliticImprtv"	"pos"	"pronoun"
"syriac-PObjCliticImprtv"	"proClass"	"objCliticImprtv"
"syriac-PInd"	"gender"	"f"
"syriac-PInd"	"gender"	"m"
"syriac-PInd"	"gender"	"⊤"
"syriac-PInd"	"ns#type"	"Term"
"syriac-PInd"	"number"	"pl"
"syriac-PInd"	"number"	"sg"
"syriac-PInd"	"person"	"p1"
"syriac-PInd"	"person"	"p2"
"syriac-PInd"	"person"	"p3"
"syriac-PInd"	"pos"	"pronoun"
"syriac-PInd"	"proClass"	"independent"
