?qlexid	?qp	?qo
"aama:ID01a1b55d-043e-411f-8a84-79144e9ec8a5"	"a"	"aama:lexid"
"aama:ID01a1b55d-043e-411f-8a84-79144e9ec8a5"	"aama:conjClass"	"aama:conjB"
"aama:ID01a1b55d-043e-411f-8a84-79144e9ec8a5"	"aama:gloss"	"dig"
"aama:ID01a1b55d-043e-411f-8a84-79144e9ec8a5"	"aama:lang"	"aama:tsamakko"
"aama:ID01a1b55d-043e-411f-8a84-79144e9ec8a5"	"aama:lemma"	"bood-"
"aama:ID01a1b55d-043e-411f-8a84-79144e9ec8a5"	"aama:lexlabel"	"bod"
"aama:ID01a1b55d-043e-411f-8a84-79144e9ec8a5"	"aama:pos"	"aama:verb"
"aama:ID20636b97-c9fd-4b74-9302-973f7f39a9c9"	"a"	"aama:lexid"
"aama:ID20636b97-c9fd-4b74-9302-973f7f39a9c9"	"aama:conjClass"	"aama:conjB"
"aama:ID20636b97-c9fd-4b74-9302-973f7f39a9c9"	"aama:gloss"	"eat"
"aama:ID20636b97-c9fd-4b74-9302-973f7f39a9c9"	"aama:lang"	"aama:tsamakko"
"aama:ID20636b97-c9fd-4b74-9302-973f7f39a9c9"	"aama:lemma"	"žíʔ"
"aama:ID20636b97-c9fd-4b74-9302-973f7f39a9c9"	"aama:lexlabel"	"zi"
"aama:ID20636b97-c9fd-4b74-9302-973f7f39a9c9"	"aama:pos"	"aama:verb"
"aama:ID544ea5c0-019f-4c7e-a864-2cf30e9f0a63"	"a"	"aama:lexid"
"aama:ID544ea5c0-019f-4c7e-a864-2cf30e9f0a63"	"aama:conjClass"	"aama:conjA"
"aama:ID544ea5c0-019f-4c7e-a864-2cf30e9f0a63"	"aama:gloss"	"make sb. stand up"
"aama:ID544ea5c0-019f-4c7e-a864-2cf30e9f0a63"	"aama:lang"	"aama:tsamakko"
"aama:ID544ea5c0-019f-4c7e-a864-2cf30e9f0a63"	"aama:lemma"	"kaʔ-is-"
"aama:ID544ea5c0-019f-4c7e-a864-2cf30e9f0a63"	"aama:lexlabel"	"kais"
"aama:ID544ea5c0-019f-4c7e-a864-2cf30e9f0a63"	"aama:pos"	"aama:verb"
"aama:ID82a2579d-e8d7-4160-8762-2ee3c387fcbb"	"a"	"aama:lexid"
"aama:ID82a2579d-e8d7-4160-8762-2ee3c387fcbb"	"aama:gloss"	"conj "
"aama:ID82a2579d-e8d7-4160-8762-2ee3c387fcbb"	"aama:gloss"	"conj:conjA"
"aama:ID82a2579d-e8d7-4160-8762-2ee3c387fcbb"	"aama:lang"	"aama:tsamakko"
"aama:ID82a2579d-e8d7-4160-8762-2ee3c387fcbb"	"aama:lemma"	"ʔooy-cry"
"aama:ID82a2579d-e8d7-4160-8762-2ee3c387fcbb"	"aama:lemma"	"ʔooy-cry "
"aama:ID82a2579d-e8d7-4160-8762-2ee3c387fcbb"	"aama:lexlabel"	"ooy"
"aama:ID82a2579d-e8d7-4160-8762-2ee3c387fcbb"	"aama:pdgmLexLabel"	"aama:ooy"
"aama:ID84f87e7d-0d82-405e-a8c4-7360d50c0acc"	"a"	"aama:lexid"
"aama:ID84f87e7d-0d82-405e-a8c4-7360d50c0acc"	"aama:conjClass"	"aama:conjA"
"aama:ID84f87e7d-0d82-405e-a8c4-7360d50c0acc"	"aama:gloss"	"hear"
"aama:ID84f87e7d-0d82-405e-a8c4-7360d50c0acc"	"aama:lang"	"aama:tsamakko"
"aama:ID84f87e7d-0d82-405e-a8c4-7360d50c0acc"	"aama:lemma"	"q’abaʔ -"
"aama:ID84f87e7d-0d82-405e-a8c4-7360d50c0acc"	"aama:lexlabel"	"qaba"
"aama:ID84f87e7d-0d82-405e-a8c4-7360d50c0acc"	"aama:pos"	"aama:verb"
"aama:IDd4056ab3-a5fe-44ea-8388-d13ffd61a7b7"	"a"	"aama:lexid"
"aama:IDd4056ab3-a5fe-44ea-8388-d13ffd61a7b7"	"aama:conjClass"	"aama:conjA"
"aama:IDd4056ab3-a5fe-44ea-8388-d13ffd61a7b7"	"aama:gloss"	"drink"
"aama:IDd4056ab3-a5fe-44ea-8388-d13ffd61a7b7"	"aama:lang"	"aama:tsamakko"
"aama:IDd4056ab3-a5fe-44ea-8388-d13ffd61a7b7"	"aama:lemma"	"ʕug"
"aama:IDd4056ab3-a5fe-44ea-8388-d13ffd61a7b7"	"aama:lexlabel"	"ug"
"aama:IDd4056ab3-a5fe-44ea-8388-d13ffd61a7b7"	"aama:pos"	"aama:verb"
"aama:IDda33e1b4-0d4e-4a3e-b2ba-d4ad7816f091"	"a"	"aama:lexid"
"aama:IDda33e1b4-0d4e-4a3e-b2ba-d4ad7816f091"	"aama:conjClass"	"aama:conjB"
"aama:IDda33e1b4-0d4e-4a3e-b2ba-d4ad7816f091"	"aama:gloss"	"be beaten"
"aama:IDda33e1b4-0d4e-4a3e-b2ba-d4ad7816f091"	"aama:lang"	"aama:tsamakko"
"aama:IDda33e1b4-0d4e-4a3e-b2ba-d4ad7816f091"	"aama:lemma"	"žoq’-am-"
"aama:IDda33e1b4-0d4e-4a3e-b2ba-d4ad7816f091"	"aama:lexlabel"	"zoq-am"
"aama:IDda33e1b4-0d4e-4a3e-b2ba-d4ad7816f091"	"aama:pos"	"aama:verb"
"aama:IDe88bacdd-306f-4655-8047-22958c3f14ac"	"a"	"aama:lexid"
"aama:IDe88bacdd-306f-4655-8047-22958c3f14ac"	"aama:conjClass"	"aama:conjB"
"aama:IDe88bacdd-306f-4655-8047-22958c3f14ac"	"aama:gloss"	"rock"
"aama:IDe88bacdd-306f-4655-8047-22958c3f14ac"	"aama:lang"	"aama:tsamakko"
"aama:IDe88bacdd-306f-4655-8047-22958c3f14ac"	"aama:lemma"	"ʔabun-"
"aama:IDe88bacdd-306f-4655-8047-22958c3f14ac"	"aama:lexlabel"	"abun"
"aama:IDe88bacdd-306f-4655-8047-22958c3f14ac"	"aama:pos"	"aama:verb"
