?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"comitative"	"tsamakko-PInd"
"pronoun"	"case"	"comitative"	"tsamakko-PLoc"
"pronoun"	"case"	"dative"	"tsamakko-PInd"
"pronoun"	"case"	"dative"	"tsamakko-PLoc"
"pronoun"	"case"	"directive"	"tsamakko-PInd"
"pronoun"	"case"	"directive"	"tsamakko-PLoc"
"pronoun"	"case"	"locative"	"tsamakko-PInd"
"pronoun"	"case"	"locative"	"tsamakko-PLoc"
"pronoun"	"case"	"obj-ka"	"tsamakko-PInd"
"pronoun"	"case"	"object"	"tsamakko-PInd"
"pronoun"	"case"	"subject"	"tsamakko-PInd"
"pronoun"	"categ"	"diff"	"tsamakko-PInterrDiff"
"pronoun"	"categ"	"interrGen"	"tsamakko-PInterrDiff"
"pronoun"	"categ"	"interrWh"	"tsamakko-PInterrDiff"
"pronoun"	"defMarker"	"aClass"	"tsamakko-PDefMarker"
"pronoun"	"defMarker"	"ssaClass"	"tsamakko-PDefMarker"
"pronoun"	"defMarker"	"sseClass"	"tsamakko-PDefMarker"
"pronoun"	"deixis"	"distal"	"tsamakko-PDem"
"pronoun"	"deixis"	"distal2"	"tsamakko-PDem"
"pronoun"	"deixis"	"proximal"	"tsamakko-PDem"
"pronoun"	"deixis"	"proximal2"	"tsamakko-PDem"
"pronoun"	"genderObj"	"f"	"tsamakko-PPossInd"
"pronoun"	"genderObj"	"m"	"tsamakko-PPossInd"
"pronoun"	"ns#type"	"Term"	"tsamakko-PDefMarker"
"pronoun"	"ns#type"	"Term"	"tsamakko-PDem"
"pronoun"	"ns#type"	"Term"	"tsamakko-PInd"
"pronoun"	"ns#type"	"Term"	"tsamakko-PInterrDiff"
"pronoun"	"ns#type"	"Term"	"tsamakko-PLoc"
"pronoun"	"ns#type"	"Term"	"tsamakko-PPossInd"
"pronoun"	"ns#type"	"Term"	"tsamakko-PPossSuff"
"pronoun"	"ns#type"	"Term"	"tsamakko-PProParticle"
"pronoun"	"numObj"	"pl"	"tsamakko-PPossInd"
"pronoun"	"numObj"	"sg"	"tsamakko-PPossInd"
"pronoun"	"proClass"	"defMarker"	"tsamakko-PDefMarker"
"pronoun"	"proClass"	"demonstrative"	"tsamakko-PDem"
"pronoun"	"proClass"	"independent"	"tsamakko-PInd"
"pronoun"	"proClass"	"interrogativeDiff"	"tsamakko-PInterrDiff"
"pronoun"	"proClass"	"locative"	"tsamakko-PLoc"
"pronoun"	"proClass"	"possInd"	"tsamakko-PPossInd"
"pronoun"	"proClass"	"possSuff"	"tsamakko-PPossSuff"
"pronoun"	"proClass"	"proParticle"	"tsamakko-PProParticle"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjAAoristConjA-conjBComparison"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCAffAorist-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCAffConsecutive-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCAffFuture-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCAffImperf-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCAffImprtv-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCAffJuss-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCNegFuture-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCNegJuss-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCNegNonPast-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCNegPast-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVC-VCSubFuture-kais"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCAffAorist-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCAffConsecutive-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCAffFuture-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCAffImperf-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCAffImprtv-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCAffJuss-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCNegFuture-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCNegJuss-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCNegNonPast-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCNegPast-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCSubFuture-ug"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCAffAorist-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCAffConsecutive-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCAffFuture-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCAffImperf-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCAffImprtv-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCAffJuss-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCNegFuture-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCNegJuss-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCNegNonPast-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCNegPast-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVCVCSubFuture-qaba"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCAffAorist-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCAffConsecutive-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCAffFuture-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCAffImperf-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCAffImprtv-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCAffJuss-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCNegFuture-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCNegJuss-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCNegNonPast-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCNegPast-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjACVVCSubFuture-ooy"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjAConsecutiveConjA-conjBComparison"
"verb"	"conjClass"	"conjA"	"tsamakko-VConjAImprtvConjA-conjBComparison"
"verb"	"conjClass"	"conjA"	"tsamakko-VSubjMarkers"
"verb"	"conjClass"	"conjA"	"tsamakko-VTenseSuffSets"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBAoristConjA-conjBComparison"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCAffAorist-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCAffConsecutive-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCAffFuture-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCAffImperf-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCAffImprtv-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCAffJuss-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCNegFuture-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCNegJuss-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCNegNonPast-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCNegPast-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVC-VCSubFuture-zoq-am"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVCAffAorist-zi"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVCAffConsecutive-zi"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVCAffFuture-zi"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVCAffImperf-zi"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVCAffImprtv-zi"
"verb"	"conjClass"	"conjB"	"tsamakko-VConjBCVCAffJuss-zi"
