?qlexid	?qp	?qo
"aama:ID07a5a0ab-8ee7-46c9-b4d8-f786f80345c5"	"a"	"aama:lexid"
"aama:ID07a5a0ab-8ee7-46c9-b4d8-f786f80345c5"	"aama:gloss"	"help"
"aama:ID07a5a0ab-8ee7-46c9-b4d8-f786f80345c5"	"aama:lang"	"aama:wolaytta"
"aama:ID07a5a0ab-8ee7-46c9-b4d8-f786f80345c5"	"aama:lemma"	"maad-"
"aama:ID07a5a0ab-8ee7-46c9-b4d8-f786f80345c5"	"aama:lexlabel"	"maad"
"aama:ID07a5a0ab-8ee7-46c9-b4d8-f786f80345c5"	"aama:pos"	"aama:verb"
"aama:ID212d5cf7-54a0-45d1-98a8-0be1e9fce20f"	"a"	"aama:lexid"
"aama:ID212d5cf7-54a0-45d1-98a8-0be1e9fce20f"	"aama:gloss"	"eat"
"aama:ID212d5cf7-54a0-45d1-98a8-0be1e9fce20f"	"aama:lang"	"aama:wolaytta"
"aama:ID212d5cf7-54a0-45d1-98a8-0be1e9fce20f"	"aama:lemma"	"m-"
"aama:ID212d5cf7-54a0-45d1-98a8-0be1e9fce20f"	"aama:lexlabel"	"m"
"aama:ID212d5cf7-54a0-45d1-98a8-0be1e9fce20f"	"aama:pos"	"aama:verb"
"aama:ID2d643937-0275-4efb-ae66-59f406aa3700"	"a"	"aama:lexid"
"aama:ID2d643937-0275-4efb-ae66-59f406aa3700"	"aama:gloss"	"sit down"
"aama:ID2d643937-0275-4efb-ae66-59f406aa3700"	"aama:lang"	"aama:wolaytta"
"aama:ID2d643937-0275-4efb-ae66-59f406aa3700"	"aama:lemma"	"utt-"
"aama:ID2d643937-0275-4efb-ae66-59f406aa3700"	"aama:lexlabel"	"utt"
"aama:ID43749af8-2075-453c-8132-fea150d6f9ea"	"a"	"aama:lexid"
"aama:ID43749af8-2075-453c-8132-fea150d6f9ea"	"aama:gloss"	"fail"
"aama:ID43749af8-2075-453c-8132-fea150d6f9ea"	"aama:lang"	"aama:wolaytta"
"aama:ID43749af8-2075-453c-8132-fea150d6f9ea"	"aama:lemma"	"ag-g-"
"aama:ID43749af8-2075-453c-8132-fea150d6f9ea"	"aama:lexlabel"	"oott"
"aama:ID43749af8-2075-453c-8132-fea150d6f9ea"	"aama:pos"	"aama:verb"
"aama:ID43749af8-2075-453c-8132-fea150d6f9ea"	"aama:vClass"	"aama:aux"
"aama:ID54af2fcb-4a41-4788-b652-026db4c74f24"	"a"	"aama:lexid"
"aama:ID54af2fcb-4a41-4788-b652-026db4c74f24"	"aama:gloss"	"be"
"aama:ID54af2fcb-4a41-4788-b652-026db4c74f24"	"aama:lang"	"aama:wolaytta"
"aama:ID54af2fcb-4a41-4788-b652-026db4c74f24"	"aama:lemma"	"deʔ-"
"aama:ID54af2fcb-4a41-4788-b652-026db4c74f24"	"aama:lexlabel"	"de'"
"aama:ID54af2fcb-4a41-4788-b652-026db4c74f24"	"aama:pos"	"aama:verb"
"aama:ID54af2fcb-4a41-4788-b652-026db4c74f24"	"aama:vClass"	"aama:aux"
"aama:ID6519dd46-da52-41ec-a4fb-d66d2398c87f"	"a"	"aama:lexid"
"aama:ID6519dd46-da52-41ec-a4fb-d66d2398c87f"	"aama:gloss"	"be"
"aama:ID6519dd46-da52-41ec-a4fb-d66d2398c87f"	"aama:lang"	"aama:wolaytta"
"aama:ID6519dd46-da52-41ec-a4fb-d66d2398c87f"	"aama:lemma"	"han-"
"aama:ID6519dd46-da52-41ec-a4fb-d66d2398c87f"	"aama:lexlabel"	"han"
"aama:ID6519dd46-da52-41ec-a4fb-d66d2398c87f"	"aama:pos"	"aama:verb"
"aama:ID6519dd46-da52-41ec-a4fb-d66d2398c87f"	"aama:vClass"	"aama:aux"
"aama:ID770731ec-12b2-4417-b6cc-794f63f90ba2"	"a"	"aama:lexid"
"aama:ID770731ec-12b2-4417-b6cc-794f63f90ba2"	"aama:gloss"	"want"
"aama:ID770731ec-12b2-4417-b6cc-794f63f90ba2"	"aama:lang"	"aama:wolaytta"
"aama:ID770731ec-12b2-4417-b6cc-794f63f90ba2"	"aama:lemma"	"kooyy-"
"aama:ID770731ec-12b2-4417-b6cc-794f63f90ba2"	"aama:lexlabel"	"kooyy"
"aama:ID770731ec-12b2-4417-b6cc-794f63f90ba2"	"aama:pos"	"aama:verb"
