?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"ablative"	"wolaytta-PIndepCase"
"pronoun"	"case"	"absolutive"	"wolaytta-PIndepCase"
"pronoun"	"case"	"comitative"	"wolaytta-PIndepCase"
"pronoun"	"case"	"dative"	"wolaytta-PIndepCase"
"pronoun"	"case"	"directive"	"wolaytta-PIndepCase"
"pronoun"	"case"	"genitive"	"wolaytta-PIndepCase"
"pronoun"	"case"	"locative"	"wolaytta-PIndepCase"
"pronoun"	"case"	"object"	"wolaytta-PIndepCase"
"pronoun"	"case"	"subject"	"wolaytta-PIndepCase"
"pronoun"	"genderRef"	"f"	"wolaytta-PPossNoun"
"pronoun"	"genderRef"	"m"	"wolaytta-PPossNoun"
"pronoun"	"ns#type"	"Term"	"wolaytta-PIndep"
"pronoun"	"ns#type"	"Term"	"wolaytta-PIndepCase"
"pronoun"	"ns#type"	"Term"	"wolaytta-PPossAdj"
"pronoun"	"ns#type"	"Term"	"wolaytta-PPossNoun"
"pronoun"	"proClass"	"indepCase"	"wolaytta-PIndepCase"
"pronoun"	"proClass"	"independent"	"wolaytta-PIndep"
"pronoun"	"proClass"	"possAdj"	"wolaytta-PPossAdj"
"pronoun"	"proClass"	"possNoun"	"wolaytta-PPossNoun"
"verb"	"complement"	"compound"	"wolaytta-VCompAffDesidAor-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompAffDesidPast-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompAffDesidPastMonoradical-b"
"verb"	"complement"	"compound"	"wolaytta-VCompAffDesidPastMonoradical-m"
"verb"	"complement"	"compound"	"wolaytta-VCompAffIndicAorIngr-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompAffIndicPastDubit-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompAffIndicPastIngr-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompAffIndicPastIngrMonoradical-b"
"verb"	"complement"	"compound"	"wolaytta-VCompAffIndicPastIngrMonoradical-m"
"verb"	"complement"	"compound"	"wolaytta-VCompAffIndicPastIngrMonoradical-y"
"verb"	"complement"	"compound"	"wolaytta-VCompAffIndicPresIngr-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompAffPotentialAor-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompAffPotentialPast-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompAffPotentialPastMonoradical-b"
"verb"	"complement"	"compound"	"wolaytta-VCompAffPotentialPastMonoradical-m"
"verb"	"complement"	"compound"	"wolaytta-VCompNegDesidAor-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompNegDesidPast-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompNegIndicPastIngr-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompNegIndicPresIngr-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompNegPotentialAor-oott"
"verb"	"complement"	"compound"	"wolaytta-VCompNegPotentialPast-oott"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffCommandJuss-oott"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffCommandJussMonoradical-b"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffCommandJussMonoradical-m"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffGerundImperf-oott"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffGerundImperfMonoradical-m"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffGerundPerf-oott"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffGerundPerfMonoradical-b"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffGerundPerfMonoradical-m"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffHypothAorProgr-oott"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffHypothAorProgrMonoradical-m"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffHypothPres-maadd"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffHypothPresMonoradical-g"
"verb"	"complement"	"simple"	"wolaytta-VSmplAffIndicAor-utt"
