?qlexid	?qp	?qo
"aama:ID11309a01-53bc-4781-b03c-5b8a36d42f4b"	"a"	"aama:lexid"
"aama:ID11309a01-53bc-4781-b03c-5b8a36d42f4b"	"aama:gloss"	"eat (obj. oblig)"
"aama:ID11309a01-53bc-4781-b03c-5b8a36d42f4b"	"aama:lang"	"aama:yaaku"
"aama:ID11309a01-53bc-4781-b03c-5b8a36d42f4b"	"aama:lemma"	"εk"
"aama:ID11309a01-53bc-4781-b03c-5b8a36d42f4b"	"aama:lexlabel"	"ek"
"aama:ID611e99a3-90fe-4a6d-9731-b9b1ea3f5bfb"	"a"	"aama:lexid"
"aama:ID611e99a3-90fe-4a6d-9731-b9b1ea3f5bfb"	"aama:conjClass"	"aama:invariable"
"aama:ID611e99a3-90fe-4a6d-9731-b9b1ea3f5bfb"	"aama:gloss"	"not have (invar)"
"aama:ID611e99a3-90fe-4a6d-9731-b9b1ea3f5bfb"	"aama:lang"	"aama:yaaku"
"aama:ID611e99a3-90fe-4a6d-9731-b9b1ea3f5bfb"	"aama:lemma"	"kέlói"
"aama:ID611e99a3-90fe-4a6d-9731-b9b1ea3f5bfb"	"aama:lexlabel"	"keloi"
"aama:ID611e99a3-90fe-4a6d-9731-b9b1ea3f5bfb"	"aama:pos"	"aama:verb"
"aama:ID661bb35c-a0c9-4bf0-bf7c-70afc7c0bb6d"	"a"	"aama:lexid"
"aama:ID661bb35c-a0c9-4bf0-bf7c-70afc7c0bb6d"	"aama:gloss"	"be somewhere"
"aama:ID661bb35c-a0c9-4bf0-bf7c-70afc7c0bb6d"	"aama:lang"	"aama:yaaku"
"aama:ID661bb35c-a0c9-4bf0-bf7c-70afc7c0bb6d"	"aama:lemma"	"gwɛ’ɛ"
"aama:ID661bb35c-a0c9-4bf0-bf7c-70afc7c0bb6d"	"aama:lexlabel"	"gwe'e"
"aama:ID72e9528e-657f-4c94-9189-b70c5ddaa11f"	"a"	"aama:lexid"
"aama:ID72e9528e-657f-4c94-9189-b70c5ddaa11f"	"aama:gloss"	"be"
"aama:ID72e9528e-657f-4c94-9189-b70c5ddaa11f"	"aama:gloss"	"be "
"aama:ID72e9528e-657f-4c94-9189-b70c5ddaa11f"	"aama:lang"	"aama:yaaku"
"aama:ID72e9528e-657f-4c94-9189-b70c5ddaa11f"	"aama:lemma"	"ke"
"aama:ID72e9528e-657f-4c94-9189-b70c5ddaa11f"	"aama:lemma"	"ke "
"aama:ID72e9528e-657f-4c94-9189-b70c5ddaa11f"	"aama:lexlabel"	"ke"
"aama:ID72e9528e-657f-4c94-9189-b70c5ddaa11f"	"aama:pdgmLexLabel"	"aama:ke"
"aama:ID85ffd459-3816-4460-a8a4-ab138e047faf"	"a"	"aama:lexid"
"aama:ID85ffd459-3816-4460-a8a4-ab138e047faf"	"aama:conjClass"	"aama:formSet4"
"aama:ID85ffd459-3816-4460-a8a4-ab138e047faf"	"aama:gloss"	"eat"
"aama:ID85ffd459-3816-4460-a8a4-ab138e047faf"	"aama:lang"	"aama:yaaku"
"aama:ID85ffd459-3816-4460-a8a4-ab138e047faf"	"aama:lemma"	"deet"
"aama:ID85ffd459-3816-4460-a8a4-ab138e047faf"	"aama:lexlabel"	"deet"
"aama:ID85ffd459-3816-4460-a8a4-ab138e047faf"	"aama:pos"	"aama:verb"
"aama:IDb4c4966c-1ee2-43af-b4a8-7017b9eb797e"	"a"	"aama:lexid"
"aama:IDb4c4966c-1ee2-43af-b4a8-7017b9eb797e"	"aama:gloss"	"tell lies"
"aama:IDb4c4966c-1ee2-43af-b4a8-7017b9eb797e"	"aama:lang"	"aama:yaaku"
"aama:IDb4c4966c-1ee2-43af-b4a8-7017b9eb797e"	"aama:lemma"	"lapare kus"
"aama:IDb4c4966c-1ee2-43af-b4a8-7017b9eb797e"	"aama:lexlabel"	"kus"
"aama:IDc46d9b62-b142-4dde-a968-b8d621bd7018"	"a"	"aama:lexid"
"aama:IDc46d9b62-b142-4dde-a968-b8d621bd7018"	"aama:conjClass"	"aama:formSet3"
"aama:IDc46d9b62-b142-4dde-a968-b8d621bd7018"	"aama:gloss"	"drink"
"aama:IDc46d9b62-b142-4dde-a968-b8d621bd7018"	"aama:lang"	"aama:yaaku"
"aama:IDc46d9b62-b142-4dde-a968-b8d621bd7018"	"aama:lemma"	"eq"
"aama:IDc46d9b62-b142-4dde-a968-b8d621bd7018"	"aama:lexlabel"	"eq"
"aama:IDc46d9b62-b142-4dde-a968-b8d621bd7018"	"aama:pos"	"aama:verb"
"aama:IDdb9e4747-7a24-43c7-88a2-e2620bf8faff"	"a"	"aama:lexid"
"aama:IDdb9e4747-7a24-43c7-88a2-e2620bf8faff"	"aama:conjClass"	"aama:formSet5"
"aama:IDdb9e4747-7a24-43c7-88a2-e2620bf8faff"	"aama:gloss"	"see"
"aama:IDdb9e4747-7a24-43c7-88a2-e2620bf8faff"	"aama:lang"	"aama:yaaku"
"aama:IDdb9e4747-7a24-43c7-88a2-e2620bf8faff"	"aama:lemma"	"wax"
"aama:IDdb9e4747-7a24-43c7-88a2-e2620bf8faff"	"aama:lexlabel"	"wax"
"aama:IDdb9e4747-7a24-43c7-88a2-e2620bf8faff"	"aama:pos"	"aama:verb"
