?pos	?property	?value	?pdgmlabel
"noun"	"conjClass"	"adjInterr"	"yaaku-NAgreementMarker"
"noun"	"conjClass"	"adjective"	"yaaku-NAgreementMarker"
"noun"	"conjClass"	"demFar"	"yaaku-NAgreementMarker"
"noun"	"conjClass"	"demNear"	"yaaku-NAgreementMarker"
"noun"	"conjClass"	"demRef"	"yaaku-NAgreementMarker"
"noun"	"conjClass"	"possNom"	"yaaku-NAgreementMarker"
"noun"	"conjClass"	"possPro"	"yaaku-NAgreementMarker"
"noun"	"conjClass"	"relative"	"yaaku-NAgreementMarker"
"noun"	"conjClass"	"verb"	"yaaku-NAgreementMarker"
"noun"	"ns#type"	"Term"	"yaaku-NAgreementMarker"
"noun"	"proClass"	"agreementMarker"	"yaaku-NAgreementMarker"
"pronoun"	"conjClass"	"demFar"	"yaaku-PDem"
"pronoun"	"conjClass"	"demNear"	"yaaku-PDem"
"pronoun"	"conjClass"	"demRef"	"yaaku-PDem"
"pronoun"	"headNoun"	"deleted"	"yaaku-PDem"
"pronoun"	"headNoun"	"present"	"yaaku-PDem"
"pronoun"	"ns#type"	"Term"	"yaaku-PDem"
"pronoun"	"ns#type"	"Term"	"yaaku-PInd"
"pronoun"	"ns#type"	"Term"	"yaaku-PPoss"
"pronoun"	"ns#type"	"Term"	"yaaku-PPossExx"
"pronoun"	"proClass"	"demonstrative"	"yaaku-PDem"
"pronoun"	"proClass"	"independent"	"yaaku-PInd"
"pronoun"	"proClass"	"possExx"	"yaaku-PPossExx"
"pronoun"	"proClass"	"possessive"	"yaaku-PPoss"
"verb"	"aspect"	"U"	"yaaku-VNegPres-wax"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePast-eq"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePast-wax"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePastComp-kus"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePastHave"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePastProg-wax"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePastProgComp-kus"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePerf-wax"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePerfComp-kus"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePerfHave"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePres-eq"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePres-wax"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePresComp-kus"
"verb"	"aspect"	"definite"	"yaaku-VAffDefinitePresHave"
"verb"	"aspect"	"definite"	"yaaku-VCopAAffDefinitePastCopulaVerb-ke"
"verb"	"aspect"	"definite"	"yaaku-VCopAAffDefinitePerfCopulaVerb-ke"
"verb"	"aspect"	"definite"	"yaaku-VCopAAffDefinitePresCopulaVerb-ke"
"verb"	"aspect"	"definite"	"yaaku-VDefinitePast-deet"
"verb"	"aspect"	"definite"	"yaaku-VDefinitePastProg-deet"
"verb"	"aspect"	"definite"	"yaaku-VDefinitePerf-deet"
"verb"	"aspect"	"definite"	"yaaku-VDefinitePres-deet"
"verb"	"aspect"	"definite"	"yaaku-VNegDefinitePast-wax"
"verb"	"aspect"	"definite"	"yaaku-VNegDefinitePastComp-kus"
"verb"	"aspect"	"definite"	"yaaku-VNegDefinitePerf-wax"
"verb"	"aspect"	"definite"	"yaaku-VNegDefinitePerfComp-kus"
