?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"ablative"	"yemsa-PIndep"
"pronoun"	"case"	"absolutive"	"yemsa-PIndep"
"pronoun"	"case"	"comitative"	"yemsa-PIndep"
"pronoun"	"case"	"dative"	"yemsa-PIndep"
"pronoun"	"case"	"directive"	"yemsa-PIndep"
"pronoun"	"case"	"exit"	"yemsa-PIndep"
"pronoun"	"case"	"genitive"	"yemsa-PIndep"
"pronoun"	"case"	"iness"	"yemsa-PIndep"
"pronoun"	"case"	"locative"	"yemsa-PIndep"
"pronoun"	"case"	"object"	"yemsa-PIndep"
"pronoun"	"case"	"subject"	"yemsa-PIndep"
"pronoun"	"ns#type"	"Term"	"yemsa-PIndep"
"pronoun"	"ns#type"	"Term"	"yemsa-PPoss"
"pronoun"	"ns#type"	"Term"	"yemsa-PPossAdj"
"pronoun"	"ns#type"	"Term"	"yemsa-PPossSuff"
"pronoun"	"proClass"	"independent"	"yemsa-PIndep"
"pronoun"	"proClass"	"possAdj"	"yemsa-PPossAdj"
"pronoun"	"proClass"	"possSuff"	"yemsa-PPossSuff"
"pronoun"	"proClass"	"possessive"	"yemsa-PPoss"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffCond1-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffCond2-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffDesiderative-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffFutIngr-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffFutPerf-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffFutProgr-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffFutPunct-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffFutPunctMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffGerPres-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffGerPresMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffGerPret-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffGerPretMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffImperf-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffImperfMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffImprtv-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffImprtvMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffInfinitive-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffInfinitiveMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffIrreal-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffJuss-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffJussMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPerf-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPerfMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPotential-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPresIngr-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPresIngrMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPresProgr-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPresPunct-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPresPunctMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPretDubit-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPretDubitMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPretEgr-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPretEgrMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPretIngr-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPretIngrMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPretProgr-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffPretProgrMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffVNoun-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1AffVNounMonosyll-bi"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegCond1-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegCond2-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegDesiderative-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegFutIngr-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegFutPerf-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegFutProgr-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegFutPunct-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegFutPunctSub-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegGerund-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegInfinitive-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegIrreal-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegJuss-am"
"verb"	"conjClass"	"conj1"	"yemsa-VConj1NegPerf-am"
