?lang	?langVar	?property	?value
"afar"		"case"	"absolutive"
"afar"		"case"	"emphatic"
"afar"		"case"	"emphatic-m"
"afar"		"case"	"nominative"
"afar"		"case"	"possessive-m"
"afar"		"case"	"reflexive"
"afar"		"conjClass"	"compoundIntransitive"
"afar"		"conjClass"	"compoundStative"
"afar"		"conjClass"	"compoundTransitive"
"afar"		"conjClass"	"prefix"
"afar"		"conjClass"	"stative"
"afar"		"conjClass"	"stativeIrregular"
"afar"		"conjClass"	"suffix"
"afar"		"gender"	"f"
"afar"		"gender"	"m"
"afar"		"gender"	"⊤"
"afar"		"lang"	"afar"
"afar"		"mainStem"	"eForm--invar"
"afar"		"mainStem"	"imperative"
"afar"		"mainStem"	"imperfect"
"afar"		"mainStem"	"imperfect-m"
"afar"		"mainStem"	"imperfectParticiple"
"afar"		"mainStem"	"jussive"
"afar"		"mainStem"	"ma-requestive"
"afar"		"mainStem"	"mà-imperfect"
"afar"		"mainStem"	"mà-stem"
"afar"		"mainStem"	"mà-stem-in--imperative"
"afar"		"mainStem"	"participle-k--invar"
"afar"		"mainStem"	"perfect"
"afar"		"mainStem"	"perfect-m"
"afar"		"mainStem"	"perfectParticiple"
"afar"		"mainStem"	"requestive"
"afar"		"mainStem"	"stem"
"afar"		"mainStem"	"u-Form"
"afar"		"nonFiniteForm"	"nonFinite"
"afar"		"ns#type"	"Term"
"afar"		"ns#type"	"lexid"
"afar"		"number"	"pl"
"afar"		"number"	"sg"
"afar"		"pdgmSubType"	"subjMarker"
"afar"		"pdgmType"	"compound"
"afar"		"pdgmType"	"stemForm"
"afar"		"person"	"p1"
"afar"		"person"	"p2"
"afar"		"person"	"p3"
"afar"		"person"	"pNon-1"
"afar"		"person"	"⊤"
"afar"		"polarity"	"affirmative"
"afar"		"polarity"	"negative"
"afar"		"pos"	"pronoun"
"afar"		"pos"	"verb"
"afar"		"proClass"	"independent"
"afar"		"proClass"	"nonReflexive"
"afar"		"proClass"	"possessiveDefinite"
"afar"		"proClass"	"reflexive"
"afar"		"tam"	"VH-Participle"
"afar"		"tam"	"anticipatory"
"afar"		"tam"	"conditional1"
"afar"		"tam"	"conditional2"
"afar"		"tam"	"contrafactual"
"afar"		"tam"	"contrafactualStative"
"afar"		"tam"	"hypothetical"
"afar"		"tam"	"i-Form"
"afar"		"tam"	"imperative"
"afar"		"tam"	"imperative--p2Only"
"afar"		"tam"	"imperfect"
"afar"		"tam"	"imperfectAnticipatory"
"afar"		"tam"	"imperfectPast1"
"afar"		"tam"	"imperfectPast2"
"afar"		"tam"	"imperfectPresent"
"afar"		"tam"	"imperfectProbable1"
"afar"		"tam"	"imperfectProbable2"
"afar"		"tam"	"infinitive"
"afar"		"tam"	"intentive"
"afar"		"tam"	"jussive"
"afar"		"tam"	"pastState1"
"afar"		"tam"	"pastState2"
"afar"		"tam"	"perfect"
"afar"		"tam"	"perfectAnticipatory"
"afar"		"tam"	"perfectConditional"
"afar"		"tam"	"perfectPast1"
"afar"		"tam"	"perfectPast2"
"afar"		"tam"	"perfectPresent"
"afar"		"tam"	"perfectProbable"
"afar"		"tam"	"presentState1"
"afar"		"tam"	"presentState2"
"afar"		"tam"	"probable"
"afar"		"tam"	"purposive1"
"afar"		"tam"	"purposive2"
"afar"		"tam"	"relativeIndeterminate"
"afar"		"tam"	"requestive"
"afar"		"tam"	"requestive--p1Only"
"afar"		"tamToken"	"VHPart"
"afar"		"tokenType"	"affix"
"akkadian"	"OB"	"ablautClass"	""
"akkadian"	"OB"	"ablautClass"	"a-iClass"
"akkadian"	"OB"	"ablautClass"	"a-uClass"
"akkadian"	"OB"	"ablautClass"	"aClass"
"akkadian"	"OB"	"ablautClass"	"e-uClass"
"akkadian"	"OB"	"ablautClass"	"eClass"
"akkadian"	"OB"	"ablautClass"	"iClass"
"akkadian"	"OB"	"ablautClass"	"uClass"
"akkadian"	"OB"	"ablautClass"	"⊤"
"akkadian"	"OB"	"case"	"accusative"
"akkadian"	"OB"	"case"	"dative"
"akkadian"	"OB"	"case"	"genAcc"
"akkadian"	"OB"	"case"	"genitive"
"akkadian"	"OB"	"case"	"nominative"
"akkadian"	"OB"	"case"	"oblique"
"akkadian"	"OB"	"case"	"possessive"
"akkadian"	"OB"	"deixis"	"far"
"akkadian"	"OB"	"deixis"	"near"
"akkadian"	"OB"	"dervStem"	"B"
"akkadian"	"OB"	"dervStem"	"Bt"
"akkadian"	"OB"	"dervStem"	"Btn"
"akkadian"	"OB"	"dervStem"	"D"
