?lang-?langVar	?property	?value, ?value, ?value, ?value
beja-arteiga	case	nom_obj, nominative, object, possessive
beja-arteiga	conjClass	prefix, suffix
beja-arteiga	conjType	irregular
beja-arteiga	defClass	defClass1, defClass2, defClass3
beja-arteiga	deixis	far, near
beja-arteiga	dervStem	B, M, R, S, S2, SM, T
beja-arteiga	dervStemAug	intensive, simple
beja-arteiga	gender	f, m, ⊤
beja-arteiga	lang	beja
beja-arteiga	langVar	amarʔar, arteiga, bishari, hadendowa
beja-arteiga	nonFiniteForm	participle
beja-arteiga	ns#type	Term, lexid
beja-arteiga	number	pl, sg, ⊤
beja-arteiga	participle	conjunctive, future, negative, past, present, ⊤
beja-arteiga	pdgmSubType	copula
beja-arteiga	pdgmType	structure
beja-arteiga	pluralClass	A, B, C
beja-arteiga	polarity	affirmative, negative
beja-arteiga	pos	noun, postposition, pronoun, verb
beja-arteiga	postposition	ablative, equative, locative
beja-arteiga	postpositionClass	A, B
beja-arteiga	proClass	defMarker, demonstrative, independent, possObj
beja-arteiga	rootClass	CCC, CCY, CVC, invariable
beja-arteiga	tam	aorist, future, imperative, jussive, optative, past, present, ⊤
beja-arteiga	tamStemClass	aorClass, modClass, negClass, partClass, pastClass, presClass, presSgClass
beja-arteiga	tokenType	affix, compound, stem
beja-atmaan	case	object, subject
beja-atmaan	caseHead	object, subject
beja-atmaan	clauseType	relative
beja-atmaan	conjClass	irregular, prefix, suffix
beja-atmaan	conjSubType	auxPut, auxTake, become, negCop
beja-atmaan	dervStem	intensive
beja-atmaan	dervStemAug	intensive, repetitive, simple
beja-atmaan	gender	f, m
beja-atmaan	genderHead	f, m
beja-atmaan	genderObj	f, m
beja-atmaan	genderPoss	f, m
beja-atmaan	headPosition	headFollow, headPrecede
beja-atmaan	lang	beja
beja-atmaan	langVar	atmaan
beja-atmaan	morphClass	tenseAspOverview
beja-atmaan	nonFiniteForm	nominalAction, participle
beja-atmaan	ns#type	Term, lexid
beja-atmaan	numHead	pl, sg
beja-atmaan	numObj	pl, sg
beja-atmaan	number	pl, sg
beja-atmaan	pdgmType	Q, mood, pdgmOverview, repetitive
beja-atmaan	polarity	U, affirmative, negative, ⊤
beja-atmaan	pos	pronoun, verb
beja-atmaan	proClass	independent, independentPersonal, objSuff, objSuffPdgm, persSuff, possSuff, possessive
beja-atmaan	rootClass	CHiy, CaC, Cay, CiC, CiCH, CiCaC, CiCiC, CiCiy, Ciy, HaCiC
beja-atmaan	stemClass	HamzInitVFin, hFin, hamzFin, hamzInitVFin, vFin1, vFin2
beja-atmaan	stemPattern	CiC-, CiCiC-, CiCiy-, HaCiC-
beja-atmaan	strength	weak
beja-atmaan	tam	aor, aorist, future, imperative, imperativeJussive1, imperativeJussive2, imperativeJussive3, jussive, past, pastPerfect, present, presentShort
beja-atmaan	token-frequency	frequent, rare
