?qlexid	?qp	?qo
"aama:ID0854cdc4-1fb1-45cf-84bc-5abb6f5cb140"	"a"	"aama:lexid"
"aama:ID0854cdc4-1fb1-45cf-84bc-5abb6f5cb140"	"aama:dervStem"	"aama:St"
"aama:ID0854cdc4-1fb1-45cf-84bc-5abb6f5cb140"	"aama:gloss"	"corrupt"
"aama:ID0854cdc4-1fb1-45cf-84bc-5abb6f5cb140"	"aama:lang"	"aama:geez"
"aama:ID0854cdc4-1fb1-45cf-84bc-5abb6f5cb140"	"aama:lemma"	"astämasän-ä"
"aama:ID0854cdc4-1fb1-45cf-84bc-5abb6f5cb140"	"aama:lexlabel"	"msnST"
"aama:ID0854cdc4-1fb1-45cf-84bc-5abb6f5cb140"	"aama:pos"	"aama:verb"
"aama:ID0854cdc4-1fb1-45cf-84bc-5abb6f5cb140"	"aama:rootClass"	"aama:CCC"
"aama:ID0854cdc4-1fb1-45cf-84bc-5abb6f5cb140"	"aama:stemClass"	"aama:L"
"aama:ID0ade0e80-bbed-4ac5-be32-748edde7eb48"	"a"	"aama:lexid"
"aama:ID0ade0e80-bbed-4ac5-be32-748edde7eb48"	"aama:dervStem"	"aama:S"
"aama:ID0ade0e80-bbed-4ac5-be32-748edde7eb48"	"aama:gloss"	"go"
"aama:ID0ade0e80-bbed-4ac5-be32-748edde7eb48"	"aama:lang"	"aama:geez"
"aama:ID0ade0e80-bbed-4ac5-be32-748edde7eb48"	"aama:lemma"	"aked-ä"
"aama:ID0ade0e80-bbed-4ac5-be32-748edde7eb48"	"aama:lexlabel"	"kydS"
"aama:ID0ade0e80-bbed-4ac5-be32-748edde7eb48"	"aama:pos"	"aama:verb"
"aama:ID0ade0e80-bbed-4ac5-be32-748edde7eb48"	"aama:rootClass"	"aama:CYC"
"aama:ID0ade0e80-bbed-4ac5-be32-748edde7eb48"	"aama:stemClass"	"aama:A"
"aama:ID34a3b474-aefc-4d0c-9419-fb2348c04814"	"a"	"aama:lexid"
"aama:ID34a3b474-aefc-4d0c-9419-fb2348c04814"	"aama:dervStem"	"aama:B"
"aama:ID34a3b474-aefc-4d0c-9419-fb2348c04814"	"aama:gloss"	"choose"
"aama:ID34a3b474-aefc-4d0c-9419-fb2348c04814"	"aama:lang"	"aama:geez"
"aama:ID34a3b474-aefc-4d0c-9419-fb2348c04814"	"aama:lemma"	"äry-ä"
"aama:ID34a3b474-aefc-4d0c-9419-fb2348c04814"	"aama:lexlabel"	"xryB"
"aama:ID34a3b474-aefc-4d0c-9419-fb2348c04814"	"aama:pos"	"aama:verb"
"aama:ID34a3b474-aefc-4d0c-9419-fb2348c04814"	"aama:rootClass"	"aama:CCY"
"aama:ID34a3b474-aefc-4d0c-9419-fb2348c04814"	"aama:stemClass"	"aama:A2"
"aama:ID354f79e9-b4ea-4817-b801-f8f7c6a9d6ec"	"a"	"aama:lexid"
"aama:ID354f79e9-b4ea-4817-b801-f8f7c6a9d6ec"	"aama:dervStem"	"aama:B"
"aama:ID354f79e9-b4ea-4817-b801-f8f7c6a9d6ec"	"aama:gloss"	"love"
"aama:ID354f79e9-b4ea-4817-b801-f8f7c6a9d6ec"	"aama:lang"	"aama:geez"
"aama:ID354f79e9-b4ea-4817-b801-f8f7c6a9d6ec"	"aama:lemma"	"fätäw-ä-fäto-ä"
"aama:ID354f79e9-b4ea-4817-b801-f8f7c6a9d6ec"	"aama:lexlabel"	"ftwB"
"aama:ID354f79e9-b4ea-4817-b801-f8f7c6a9d6ec"	"aama:pos"	"aama:verb"
"aama:ID354f79e9-b4ea-4817-b801-f8f7c6a9d6ec"	"aama:rootClass"	"aama:CCW"
"aama:ID354f79e9-b4ea-4817-b801-f8f7c6a9d6ec"	"aama:stemClass"	"aama:A1"
"aama:ID377743ed-9c5c-4b66-af60-80cb23505adf"	"a"	"aama:lexid"
"aama:ID377743ed-9c5c-4b66-af60-80cb23505adf"	"aama:dervStem"	"aama:S"
"aama:ID377743ed-9c5c-4b66-af60-80cb23505adf"	"aama:gloss"	"pardon"
"aama:ID377743ed-9c5c-4b66-af60-80cb23505adf"	"aama:lang"	"aama:geez"
"aama:ID377743ed-9c5c-4b66-af60-80cb23505adf"	"aama:lemma"	"asräy-ä"
"aama:ID377743ed-9c5c-4b66-af60-80cb23505adf"	"aama:lexlabel"	"sryS"
"aama:ID377743ed-9c5c-4b66-af60-80cb23505adf"	"aama:pos"	"aama:verb"
"aama:ID377743ed-9c5c-4b66-af60-80cb23505adf"	"aama:rootClass"	"aama:CCY"
"aama:ID377743ed-9c5c-4b66-af60-80cb23505adf"	"aama:stemClass"	"aama:A1"
"aama:ID403d87b5-f8cb-4154-aa47-179d6281f5cf"	"a"	"aama:lexid"
"aama:ID403d87b5-f8cb-4154-aa47-179d6281f5cf"	"aama:dervStem"	"aama:T"
"aama:ID403d87b5-f8cb-4154-aa47-179d6281f5cf"	"aama:gloss"	"choose"
"aama:ID403d87b5-f8cb-4154-aa47-179d6281f5cf"	"aama:lang"	"aama:geez"
"aama:ID403d87b5-f8cb-4154-aa47-179d6281f5cf"	"aama:lemma"	"tääry-ä"
"aama:ID403d87b5-f8cb-4154-aa47-179d6281f5cf"	"aama:lexlabel"	"xryT"
"aama:ID403d87b5-f8cb-4154-aa47-179d6281f5cf"	"aama:pos"	"aama:verb"
"aama:ID403d87b5-f8cb-4154-aa47-179d6281f5cf"	"aama:rootClass"	"aama:CCY"
"aama:ID403d87b5-f8cb-4154-aa47-179d6281f5cf"	"aama:stemClass"	"aama:A2"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"a"	"aama:lexid"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:dervStem"	"aama:T"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:gloss"	"descend"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:lang"	"aama:geez"
