?pdgmlabel	?prop1	?val1
"hadiyya-VAffPastProg-mass"	"gender"	"f"
"hadiyya-VAffPastProg-mass"	"gender"	"m"
"hadiyya-VAffPastProg-mass"	"gender"	"polite"
"hadiyya-VAffPastProg-mass"	"gender"	"⊤"
"hadiyya-VAffPastProg-mass"	"ns#type"	"Term"
"hadiyya-VAffPastProg-mass"	"number"	"pl"
"hadiyya-VAffPastProg-mass"	"number"	"sg"
"hadiyya-VAffPastProg-mass"	"person"	"p1"
"hadiyya-VAffPastProg-mass"	"person"	"p2"
"hadiyya-VAffPastProg-mass"	"person"	"p3"
"hadiyya-VAffPastProg-mass"	"polarity"	"affirmative"
"hadiyya-VAffPastProg-mass"	"pos"	"verb"
"hadiyya-VAffPastProg-mass"	"tam"	"pastProgressive"
"hadiyya-VNegJussive-mass"	"gender"	"f"
"hadiyya-VNegJussive-mass"	"gender"	"m"
"hadiyya-VNegJussive-mass"	"gender"	"polite"
"hadiyya-VNegJussive-mass"	"gender"	"⊤"
"hadiyya-VNegJussive-mass"	"ns#type"	"Term"
"hadiyya-VNegJussive-mass"	"number"	"pl"
"hadiyya-VNegJussive-mass"	"number"	"sg"
"hadiyya-VNegJussive-mass"	"person"	"p1"
"hadiyya-VNegJussive-mass"	"person"	"p3"
"hadiyya-VNegJussive-mass"	"polarity"	"negative"
"hadiyya-VNegJussive-mass"	"pos"	"verb"
"hadiyya-VNegJussive-mass"	"tam"	"jussive"
"hadiyya-PInd"	"case"	"accusative"
"hadiyya-PInd"	"case"	"nominative"
"hadiyya-PInd"	"case"	"possessive"
"hadiyya-PInd"	"gender"	"f"
"hadiyya-PInd"	"gender"	"m"
"hadiyya-PInd"	"gender"	"polite"
"hadiyya-PInd"	"gender"	"⊤"
"hadiyya-PInd"	"ns#type"	"Term"
"hadiyya-PInd"	"number"	"pl"
"hadiyya-PInd"	"number"	"sg"
"hadiyya-PInd"	"person"	"p1"
"hadiyya-PInd"	"person"	"p2"
"hadiyya-PInd"	"person"	"p3"
"hadiyya-PInd"	"pos"	"pronoun"
"hadiyya-PInd"	"proClass"	"independent"
"hadiyya-VNegImprtv-mass"	"gender"	"⊤"
"hadiyya-VNegImprtv-mass"	"ns#type"	"Term"
"hadiyya-VNegImprtv-mass"	"number"	"pl"
"hadiyya-VNegImprtv-mass"	"number"	"sg"
"hadiyya-VNegImprtv-mass"	"person"	"p2"
"hadiyya-VNegImprtv-mass"	"polarity"	"negative"
"hadiyya-VNegImprtv-mass"	"pos"	"verb"
"hadiyya-VNegImprtv-mass"	"tam"	"imperative"
"gedeo-VSubjMarkerTemplates"	"gender"	"f"
"gedeo-VSubjMarkerTemplates"	"gender"	"m"
"gedeo-VSubjMarkerTemplates"	"gender"	"⊤"
"gedeo-VSubjMarkerTemplates"	"ns#type"	"Term"
"gedeo-VSubjMarkerTemplates"	"number"	"pl"
"gedeo-VSubjMarkerTemplates"	"number"	"sg"
"gedeo-VSubjMarkerTemplates"	"person"	"p1"
"gedeo-VSubjMarkerTemplates"	"person"	"p2"
"gedeo-VSubjMarkerTemplates"	"person"	"p3"
"gedeo-VSubjMarkerTemplates"	"pos"	"verb"
"gedeo-VSubjMarkerTemplates"	"verbMorphClass"	"subjMarkerTemplates"
"hadiyya-VAffSimplePerf-mass"	"gender"	"f"
"hadiyya-VAffSimplePerf-mass"	"gender"	"m"
"hadiyya-VAffSimplePerf-mass"	"gender"	"polite"
"hadiyya-VAffSimplePerf-mass"	"gender"	"⊤"
"hadiyya-VAffSimplePerf-mass"	"ns#type"	"Term"
"hadiyya-VAffSimplePerf-mass"	"number"	"pl"
"hadiyya-VAffSimplePerf-mass"	"number"	"sg"
"hadiyya-VAffSimplePerf-mass"	"person"	"p1"
"hadiyya-VAffSimplePerf-mass"	"person"	"p2"
"hadiyya-VAffSimplePerf-mass"	"person"	"p3"
"hadiyya-VAffSimplePerf-mass"	"polarity"	"affirmative"
"hadiyya-VAffSimplePerf-mass"	"pos"	"verb"
"hadiyya-VAffSimplePerf-mass"	"tam"	"simplePerfect"
"hadiyya-PPersonal"	"case"	"accusative"
"hadiyya-PPersonal"	"case"	"nominative"
"hadiyya-PPersonal"	"case"	"possessive"
"hadiyya-PPersonal"	"gender"	"f"
"hadiyya-PPersonal"	"gender"	"m"
"hadiyya-PPersonal"	"gender"	"polite"
"hadiyya-PPersonal"	"gender"	"⊤"
"hadiyya-PPersonal"	"ns#type"	"Term"
"hadiyya-PPersonal"	"number"	"pl"
"hadiyya-PPersonal"	"number"	"sg"
"hadiyya-PPersonal"	"person"	"p1"
"hadiyya-PPersonal"	"person"	"p2"
"hadiyya-PPersonal"	"person"	"p3"
"hadiyya-PPersonal"	"pos"	"pronoun"
"hadiyya-PPersonal"	"proClass"	"personal"
"hadiyya-VAffPastPerf-mass"	"gender"	"f"
"hadiyya-VAffPastPerf-mass"	"gender"	"m"
"hadiyya-VAffPastPerf-mass"	"gender"	"polite"
"hadiyya-VAffPastPerf-mass"	"gender"	"⊤"
"hadiyya-VAffPastPerf-mass"	"ns#type"	"Term"
"hadiyya-VAffPastPerf-mass"	"number"	"pl"
"hadiyya-VAffPastPerf-mass"	"number"	"sg"
"hadiyya-VAffPastPerf-mass"	"person"	"p1"
"hadiyya-VAffPastPerf-mass"	"person"	"p2"
"hadiyya-VAffPastPerf-mass"	"person"	"p3"
"hadiyya-VAffPastPerf-mass"	"polarity"	"affirmative"
"hadiyya-VAffPastPerf-mass"	"pos"	"verb"
"hadiyya-VAffPastPerf-mass"	"tam"	"pastPerfect"
"hadiyya-VAffImprtv-mass"	"gender"	"⊤"
"hadiyya-VAffImprtv-mass"	"ns#type"	"Term"
"hadiyya-VAffImprtv-mass"	"number"	"pl"
"hadiyya-VAffImprtv-mass"	"number"	"sg"
"hadiyya-VAffImprtv-mass"	"person"	"p2"
"hadiyya-VAffImprtv-mass"	"polarity"	"affirmative"
"hadiyya-VAffImprtv-mass"	"pos"	"verb"
"hadiyya-VAffImprtv-mass"	"tam"	"imperative"
"hadiyya-PDemonstrative"	"case"	"nominative"
"hadiyya-PDemonstrative"	"deixis"	"far"
"hadiyya-PDemonstrative"	"deixis"	"near"
"hadiyya-PDemonstrative"	"ns#type"	"Term"
"hadiyya-PDemonstrative"	"numgen"	"pl"
"hadiyya-PDemonstrative"	"numgen"	"sg"
"hadiyya-PDemonstrative"	"pos"	"pronoun"
"hadiyya-PDemonstrative"	"proClass"	"demonstrative"
"hadiyya-VInterrPresPerf-mass"	"gender"	"f"
