?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"accusative"	"hadiyya-PInd"
"pronoun"	"case"	"accusative"	"hadiyya-PPersonal"
"pronoun"	"case"	"nominative"	"hadiyya-PDemonstrative"
"pronoun"	"case"	"nominative"	"hadiyya-PInd"
"pronoun"	"case"	"nominative"	"hadiyya-PPersonal"
"pronoun"	"case"	"possessive"	"hadiyya-PInd"
"pronoun"	"case"	"possessive"	"hadiyya-PPersonal"
"pronoun"	"deixis"	"far"	"hadiyya-PDemonstrative"
"pronoun"	"deixis"	"near"	"hadiyya-PDemonstrative"
"pronoun"	"interrClass"	"how"	"hadiyya-P"
"pronoun"	"interrClass"	"how"	"hadiyya-PInterr"
"pronoun"	"interrClass"	"how_many"	"hadiyya-P"
"pronoun"	"interrClass"	"how_many"	"hadiyya-PInterr"
"pronoun"	"interrClass"	"what"	"hadiyya-P"
"pronoun"	"interrClass"	"what"	"hadiyya-PInterr"
"pronoun"	"interrClass"	"where"	"hadiyya-P"
"pronoun"	"interrClass"	"where"	"hadiyya-PInterr"
"pronoun"	"interrClass"	"who"	"hadiyya-P"
"pronoun"	"interrClass"	"who"	"hadiyya-PInterr"
"pronoun"	"ns#type"	"Term"	"hadiyya-P"
"pronoun"	"ns#type"	"Term"	"hadiyya-PDemonstrative"
"pronoun"	"ns#type"	"Term"	"hadiyya-PInd"
"pronoun"	"ns#type"	"Term"	"hadiyya-PInterr"
"pronoun"	"ns#type"	"Term"	"hadiyya-PPersonal"
"pronoun"	"numgen"	"pl"	"hadiyya-PDemonstrative"
"pronoun"	"numgen"	"sg"	"hadiyya-PDemonstrative"
"pronoun"	"proClass"	"demonstrative"	"hadiyya-PDemonstrative"
"pronoun"	"proClass"	"independent"	"hadiyya-PInd"
"pronoun"	"proClass"	"interrogative"	"hadiyya-P"
"pronoun"	"proClass"	"interrogative"	"hadiyya-PInterr"
"pronoun"	"proClass"	"personal"	"hadiyya-PPersonal"
"verb"	"dervStem"	"benefactive"	"hadiyya-VDervStem"
"verb"	"dervStem"	"benefactiveCausative"	"hadiyya-VDervStem"
"verb"	"dervStem"	"benefactivePassive"	"hadiyya-VDervStem"
"verb"	"dervStem"	"causative1"	"hadiyya-VDervStem"
"verb"	"dervStem"	"causative2"	"hadiyya-VDervStem"
