?qlexid	?qp	?qo
"aama:ID05b70f09-d451-4d69-b8a7-8410a9b3c612"	"a"	"aama:lexid"
"aama:ID05b70f09-d451-4d69-b8a7-8410a9b3c612"	"aama:conjClass"	"aama:conj4"
"aama:ID05b70f09-d451-4d69-b8a7-8410a9b3c612"	"aama:gloss"	"prevent"
"aama:ID05b70f09-d451-4d69-b8a7-8410a9b3c612"	"aama:lang"	"aama:shinassha"
"aama:ID05b70f09-d451-4d69-b8a7-8410a9b3c612"	"aama:lemma"	"bàz-íy-"
"aama:ID05b70f09-d451-4d69-b8a7-8410a9b3c612"	"aama:lexlabel"	"baziy"
"aama:ID05b70f09-d451-4d69-b8a7-8410a9b3c612"	"aama:pos"	"aama:verb"
"aama:ID0d0d7fa5-f669-47bf-a7b5-b01aea059ed5"	"a"	"aama:lexid"
"aama:ID0d0d7fa5-f669-47bf-a7b5-b01aea059ed5"	"aama:gloss"	"believe()"
"aama:ID0d0d7fa5-f669-47bf-a7b5-b01aea059ed5"	"aama:lang"	"aama:shinassha"
"aama:ID0d0d7fa5-f669-47bf-a7b5-b01aea059ed5"	"aama:lemma"	"arr-"
"aama:ID0d0d7fa5-f669-47bf-a7b5-b01aea059ed5"	"aama:lexlabel"	"arr"
"aama:ID0d0d7fa5-f669-47bf-a7b5-b01aea059ed5"	"aama:pos"	"aama:verb"
"aama:ID0d0d7fa5-f669-47bf-a7b5-b01aea059ed5"	"aama:vClass"	"aama:aux"
"aama:ID1699515e-9b61-4a33-8658-02d293fafaf1"	"a"	"aama:lexid"
"aama:ID1699515e-9b61-4a33-8658-02d293fafaf1"	"aama:conjClass"	"aama:conj5"
"aama:ID1699515e-9b61-4a33-8658-02d293fafaf1"	"aama:gloss"	"be looked at"
"aama:ID1699515e-9b61-4a33-8658-02d293fafaf1"	"aama:lang"	"aama:shinassha"
"aama:ID1699515e-9b61-4a33-8658-02d293fafaf1"	"aama:lemma"	"ts'ííléý-"
"aama:ID1699515e-9b61-4a33-8658-02d293fafaf1"	"aama:lexlabel"	"ts'iiley"
"aama:ID1699515e-9b61-4a33-8658-02d293fafaf1"	"aama:pos"	"aama:verb"
"aama:ID170f5a31-4618-4a3f-bf8f-7e8075b293d2"	"a"	"aama:lexid"
"aama:ID170f5a31-4618-4a3f-bf8f-7e8075b293d2"	"aama:conjClass"	"aama:conj1"
"aama:ID170f5a31-4618-4a3f-bf8f-7e8075b293d2"	"aama:gloss"	"take"
"aama:ID170f5a31-4618-4a3f-bf8f-7e8075b293d2"	"aama:lang"	"aama:shinassha"
"aama:ID170f5a31-4618-4a3f-bf8f-7e8075b293d2"	"aama:lemma"	"dék'--dé'-"
"aama:ID170f5a31-4618-4a3f-bf8f-7e8075b293d2"	"aama:lexlabel"	""
"aama:ID170f5a31-4618-4a3f-bf8f-7e8075b293d2"	"aama:pos"	"aama:verb"
"aama:ID1b73fcd4-2293-4d19-a98e-272bf3d2070e"	"a"	"aama:lexid"
"aama:ID1b73fcd4-2293-4d19-a98e-272bf3d2070e"	"aama:gloss"	"come"
"aama:ID1b73fcd4-2293-4d19-a98e-272bf3d2070e"	"aama:lang"	"aama:shinassha"
"aama:ID1b73fcd4-2293-4d19-a98e-272bf3d2070e"	"aama:lemma"	"wàà-"
"aama:ID1b73fcd4-2293-4d19-a98e-272bf3d2070e"	"aama:lexlabel"	"waa"
"aama:ID1f8156e6-ca39-4044-aee2-1985497d0f5d"	"a"	"aama:lexid"
"aama:ID1f8156e6-ca39-4044-aee2-1985497d0f5d"	"aama:conjClass"	"aama:conj3"
"aama:ID1f8156e6-ca39-4044-aee2-1985497d0f5d"	"aama:gloss"	"stay"
"aama:ID1f8156e6-ca39-4044-aee2-1985497d0f5d"	"aama:lang"	"aama:shinassha"
"aama:ID1f8156e6-ca39-4044-aee2-1985497d0f5d"	"aama:lemma"	"jà'-"
"aama:ID1f8156e6-ca39-4044-aee2-1985497d0f5d"	"aama:lexlabel"	"ja'2"
"aama:ID1f8156e6-ca39-4044-aee2-1985497d0f5d"	"aama:pos"	"aama:verb"
"aama:ID2a38aa47-69ab-4b27-ae37-1b645a4732ac"	"a"	"aama:lexid"
"aama:ID2a38aa47-69ab-4b27-ae37-1b645a4732ac"	"aama:conjClass"	"aama:conj2"
"aama:ID2a38aa47-69ab-4b27-ae37-1b645a4732ac"	"aama:gloss"	"begin"
"aama:ID2a38aa47-69ab-4b27-ae37-1b645a4732ac"	"aama:lang"	"aama:shinassha"
"aama:ID2a38aa47-69ab-4b27-ae37-1b645a4732ac"	"aama:lemma"	"tùw-"
"aama:ID2a38aa47-69ab-4b27-ae37-1b645a4732ac"	"aama:lexlabel"	"tuw"
"aama:ID2a38aa47-69ab-4b27-ae37-1b645a4732ac"	"aama:pos"	"aama:verb"
"aama:ID2a38aa47-69ab-4b27-ae37-1b645a4732ac"	"aama:vClass"	"aama:aux"
"aama:ID336b91c8-cba3-4a1e-802b-2f9366acb301"	"a"	"aama:lexid"
"aama:ID336b91c8-cba3-4a1e-802b-2f9366acb301"	"aama:conjClass"	"aama:conj3"
"aama:ID336b91c8-cba3-4a1e-802b-2f9366acb301"	"aama:gloss"	"wash self"
"aama:ID336b91c8-cba3-4a1e-802b-2f9366acb301"	"aama:lang"	"aama:shinassha"
"aama:ID336b91c8-cba3-4a1e-802b-2f9366acb301"	"aama:lemma"	"mássh--mássh-"
"aama:ID336b91c8-cba3-4a1e-802b-2f9366acb301"	"aama:lexlabel"	"massh"
"aama:ID336b91c8-cba3-4a1e-802b-2f9366acb301"	"aama:pos"	"aama:verb"
"aama:ID3b8e5cc3-19fb-4705-9013-ab59c678bc09"	"a"	"aama:lexid"
"aama:ID3b8e5cc3-19fb-4705-9013-ab59c678bc09"	"aama:gloss"	"sit"
"aama:ID3b8e5cc3-19fb-4705-9013-ab59c678bc09"	"aama:lang"	"aama:shinassha"
"aama:ID3b8e5cc3-19fb-4705-9013-ab59c678bc09"	"aama:lemma"	"bèy-"
"aama:ID3b8e5cc3-19fb-4705-9013-ab59c678bc09"	"aama:lexlabel"	"bey"
"aama:ID3b976202-c8a5-4d07-abbd-efa033d8b3bf"	"a"	"aama:lexid"
"aama:ID3b976202-c8a5-4d07-abbd-efa033d8b3bf"	"aama:conjClass"	"aama:conj1"
"aama:ID3b976202-c8a5-4d07-abbd-efa033d8b3bf"	"aama:gloss"	"give"
"aama:ID3b976202-c8a5-4d07-abbd-efa033d8b3bf"	"aama:lang"	"aama:shinassha"
"aama:ID3b976202-c8a5-4d07-abbd-efa033d8b3bf"	"aama:lemma"	"ím-"
"aama:ID3b976202-c8a5-4d07-abbd-efa033d8b3bf"	"aama:lexlabel"	"im"
"aama:ID3b976202-c8a5-4d07-abbd-efa033d8b3bf"	"aama:pos"	"aama:verb"
"aama:ID3e40b12d-92fa-4deb-9f4b-22fcb54fc1cc"	"a"	"aama:lexid"
"aama:ID3e40b12d-92fa-4deb-9f4b-22fcb54fc1cc"	"aama:conjClass"	"aama:conj1"
"aama:ID3e40b12d-92fa-4deb-9f4b-22fcb54fc1cc"	"aama:gloss"	"bind"
"aama:ID3e40b12d-92fa-4deb-9f4b-22fcb54fc1cc"	"aama:lang"	"aama:shinassha"
"aama:ID3e40b12d-92fa-4deb-9f4b-22fcb54fc1cc"	"aama:lemma"	"típp-"
"aama:ID3e40b12d-92fa-4deb-9f4b-22fcb54fc1cc"	"aama:lexlabel"	"tipp"
"aama:ID3e40b12d-92fa-4deb-9f4b-22fcb54fc1cc"	"aama:pos"	"aama:verb"
"aama:ID48a74ac5-3863-4205-a904-9562d10c4dae"	"a"	"aama:lexid"
"aama:ID48a74ac5-3863-4205-a904-9562d10c4dae"	"aama:conjClass"	"aama:conj3"
"aama:ID48a74ac5-3863-4205-a904-9562d10c4dae"	"aama:gloss"	"stand"
"aama:ID48a74ac5-3863-4205-a904-9562d10c4dae"	"aama:lang"	"aama:shinassha"
"aama:ID48a74ac5-3863-4205-a904-9562d10c4dae"	"aama:lemma"	"nèèd--nèd'-"
"aama:ID48a74ac5-3863-4205-a904-9562d10c4dae"	"aama:lexlabel"	"need"
"aama:ID48a74ac5-3863-4205-a904-9562d10c4dae"	"aama:pos"	"aama:verb"
