?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"accusative"	"syriac-PObjCliticImprtv"
"pronoun"	"case"	"genitive"	"syriac-PPossClitic"
"pronoun"	"deixis"	"far"	"syriac-PDem"
"pronoun"	"deixis"	"near"	"syriac-PDem"
"pronoun"	"ns#type"	"Term"	"syriac-PDem"
"pronoun"	"ns#type"	"Term"	"syriac-PInd"
"pronoun"	"ns#type"	"Term"	"syriac-PObjCliticImprtv"
"pronoun"	"ns#type"	"Term"	"syriac-PPossClitic"
"pronoun"	"numHead"	"pl"	"syriac-PPossClitic"
"pronoun"	"numHead"	"sg"	"syriac-PPossClitic"
"pronoun"	"proClass"	"demonstrative"	"syriac-PDem"
"pronoun"	"proClass"	"independent"	"syriac-PInd"
"pronoun"	"proClass"	"objCliticImprtv"	"syriac-PObjCliticImprtv"
"pronoun"	"proClass"	"possClitic"	"syriac-PPossClitic"
