?pdgmlabel	?prop1	?val1
"wolaytta-VSmplAffRelImperfMonoradical-m"	"complement"	"simple"
"wolaytta-VSmplAffRelImperfMonoradical-m"	"gender"	"⊤"
"wolaytta-VSmplAffRelImperfMonoradical-m"	"mood"	"relative"
"wolaytta-VSmplAffRelImperfMonoradical-m"	"ns#type"	"Term"
"wolaytta-VSmplAffRelImperfMonoradical-m"	"number"	"sg"
"wolaytta-VSmplAffRelImperfMonoradical-m"	"person"	"p2"
"wolaytta-VSmplAffRelImperfMonoradical-m"	"polarity"	"affirmative"
"wolaytta-VSmplAffRelImperfMonoradical-m"	"pos"	"verb"
"wolaytta-VSmplAffRelImperfMonoradical-m"	"tam"	"imperfect"
"wolaytta-VSmplAffRelImperfMonoradical-m"	"verbMorphClass"	"monoradical"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"complement"	"simple"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"gender"	"⊤"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"mood"	"subjunctivepdgmLex"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"ns#type"	"Term"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"number"	"sg"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"person"	"p1"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"polarity"	"affirmative"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"pos"	"verb"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"tam"	"aorist"
"wolaytta-VSmplAffSubjAorMonoradical-m"	"verbMorphClass"	"monoradical"
"wolaytta-VSmplAffSubjPast-oott"	"complement"	"simple"
"wolaytta-VSmplAffSubjPast-oott"	"gender"	"f"
"wolaytta-VSmplAffSubjPast-oott"	"gender"	"m"
"wolaytta-VSmplAffSubjPast-oott"	"gender"	"⊤"
"wolaytta-VSmplAffSubjPast-oott"	"mood"	"subjunctivepdgmLex"
"wolaytta-VSmplAffSubjPast-oott"	"ns#type"	"Term"
"wolaytta-VSmplAffSubjPast-oott"	"number"	"pl"
"wolaytta-VSmplAffSubjPast-oott"	"number"	"sg"
"wolaytta-VSmplAffSubjPast-oott"	"person"	"p1"
"wolaytta-VSmplAffSubjPast-oott"	"person"	"p2"
"wolaytta-VSmplAffSubjPast-oott"	"person"	"p3"
"wolaytta-VSmplAffSubjPast-oott"	"polarity"	"affirmative"
"wolaytta-VSmplAffSubjPast-oott"	"pos"	"verb"
"wolaytta-VSmplAffSubjPast-oott"	"tam"	"past"
"wolaytta-VSmplAffSubjPresMonoradical-m"	"complement"	"simple"
"wolaytta-VSmplAffSubjPresMonoradical-m"	"gender"	"⊤"
"wolaytta-VSmplAffSubjPresMonoradical-m"	"mood"	"subjunctivepdgmLex"
"wolaytta-VSmplAffSubjPresMonoradical-m"	"ns#type"	"Term"
"wolaytta-VSmplAffSubjPresMonoradical-m"	"number"	"sg"
"wolaytta-VSmplAffSubjPresMonoradical-m"	"person"	"p1"
