?qlexid	?qp	?qo
"aama:ID32b23d94-c39c-4170-9e56-7f7ac9dae71b"	"a"	"aama:lexid"
"aama:ID32b23d94-c39c-4170-9e56-7f7ac9dae71b"	"aama:conjClass"	"aama:conj1"
"aama:ID32b23d94-c39c-4170-9e56-7f7ac9dae71b"	"aama:gloss"	"see (non-honorific forms)"
"aama:ID32b23d94-c39c-4170-9e56-7f7ac9dae71b"	"aama:lang"	"aama:yemsa"
"aama:ID32b23d94-c39c-4170-9e56-7f7ac9dae71b"	"aama:lemma"	"bi-"
"aama:ID32b23d94-c39c-4170-9e56-7f7ac9dae71b"	"aama:lexlabel"	"bi"
"aama:ID32b23d94-c39c-4170-9e56-7f7ac9dae71b"	"aama:pos"	"aama:verb"
"aama:ID32b23d94-c39c-4170-9e56-7f7ac9dae71b"	"aama:templ"	"aama:monosyllabic"
"aama:ID45739998-d836-40c4-a9ea-75becb5c4661"	"a"	"aama:lexid"
"aama:ID45739998-d836-40c4-a9ea-75becb5c4661"	"aama:conjClass"	"aama:conj2"
"aama:ID45739998-d836-40c4-a9ea-75becb5c4661"	"aama:gloss"	"be"
"aama:ID45739998-d836-40c4-a9ea-75becb5c4661"	"aama:lang"	"aama:yemsa"
"aama:ID45739998-d836-40c4-a9ea-75becb5c4661"	"aama:lemma"	"fa-"
"aama:ID45739998-d836-40c4-a9ea-75becb5c4661"	"aama:lexlabel"	"fa"
"aama:ID45739998-d836-40c4-a9ea-75becb5c4661"	"aama:pos"	"aama:verb"
"aama:ID54c3d02c-f97a-4f60-bf43-f8a30583329a"	"a"	"aama:lexid"
"aama:ID54c3d02c-f97a-4f60-bf43-f8a30583329a"	"aama:conjClass"	"aama:conj3"
"aama:ID54c3d02c-f97a-4f60-bf43-f8a30583329a"	"aama:gloss"	"say"
"aama:ID54c3d02c-f97a-4f60-bf43-f8a30583329a"	"aama:lang"	"aama:yemsa"
"aama:ID54c3d02c-f97a-4f60-bf43-f8a30583329a"	"aama:lemma"	"i-"
