langLabel	clauseType	num	pers	gen	token
Beja-arteiga		Singular	Person1	Common	?a-danbíil
Beja-arteiga		Singular	Person2	Masc	danbiil- `a
Beja-arteiga		Singular	Person2	Fem	danbiil - `i
Beja-arteiga		Singular	Person3	Masc	danbíil
Beja-arteiga		Singular	Person3	Fem	danbíil
Beja-arteiga		Plural	Person1	Common	n-eedbíl
Beja-arteiga		Plural	Person2	Common	t-eedbil- `na
Beja-arteiga		Plural	Person3	Common	?-eedbil- `na
Oromo	Main	Singular	Person1	Common	beek-a
Oromo	Main	Singular	Person2	Common	beek-ta
Oromo	Main	Singular	Person3	Masc	beek-a
Oromo	Main	Singular	Person3	Fem	beek-ti
Oromo	Main	Plural	Person1	Common	beek-na
Oromo	Main	Plural	Person2	Common	beek-tu
Oromo	Main	Plural	Person3	Common	beek-u
Oromo	Subordinate	Singular	Person1	Common	beek-u
Oromo	Subordinate	Singular	Person2	Common	beek-tu
Oromo	Subordinate	Singular	Person3	Masc	beek-u
Oromo	Subordinate	Singular	Person3	Fem	beek-tu
Oromo	Subordinate	Plural	Person1	Common	beek-nu
Oromo	Subordinate	Plural	Person2	Common	beek-tani/u
Oromo	Subordinate	Plural	Person3	Common	beek-ani/u

