derivedStem	num	pers	gen	token
				beek-na
				beek-tu
				beek-a
				beek-ta
				beek-am-na
				beek-am-tu
				beek-am-a
				beek-am-ta
				beek-sif-na
				beek-sif-tu
				beek-sis-a
				beek-sif-ta
				beek-an-na
				beek-at-tu
				beek-ad-a
				beek-at-ta
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>	<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/SM>	beek-ti
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>	<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/SM>	beek-am-ti
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>	<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/SM>	beek-sif-ti
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>	<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/SM>	beek-at-ti
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>		beek-u
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>		beek-a
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>		beek-am-u
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>		beek-am-a
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>		beek-sis-u
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>		beek-sis-a
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>		beek-at-u
		<http://id.oi.uchicago.edu/aama/2013/Beja-arteiga/Masc>		beek-at-a

