?property	?value
"conjClass"	"Prefix"
"conjClass"	"Suffix"
"conjType"	"Irregular"
"derivedStem"	"B"
"derivedStem"	"M"
"derivedStem"	"R"
"derivedStem"	"S"
"derivedStem"	"S2"
"derivedStem"	"SM"
"derivedStem"	"T"
"derivedStemAug"	"Intensive"
"derivedStemAug"	"Simple"
"formType"	"Stem"
"nonFiniteForm"	"Participle"
"nonFiniteForm"	"participle exponents"
"participle"	"Common"
"participle"	"Conjunctive"
"participle"	"Future"
"participle"	"Negative"
"participle"	"Past"
"participle"	"Present"
"pdgmType"	"Structure"
"polarity"	"Affirmative"
"polarity"	"Negative"
"rootClass"	"CCC"
"rootClass"	"CCY"
"rootClass"	"CVC"
"rootClass"	"Invar"
"tam"	"Aorist"
"tam"	"Common"
"tam"	"Imperative"
"tam"	"Jussive"
"tam"	"Optative"
"tam"	"Past"
"tam"	"Present"
"tamStemClass"	"AoristClass"
"tamStemClass"	"ModClass"
"tamStemClass"	"NegClass"
"tamStemClass"	"PartClass"
"tamStemClass"	"PastClass"
"tamStemClass"	"PresClass"
"tamStemClass"	"PresSgClass"
