conjClass	derivedStem	derivedStemAug	pdgmType	rootClass	token	tokengloss
Prefix	B	Simple	Structure	CCC	dibìl-	collect
Prefix	B	Simple	Structure	CCC	dilìb-	buy
Prefix	B	Simple	Structure	CCC	finìk-	bite
Prefix	B	Simple	Structure	CCC	kitìb-	write
Prefix	B	Simple	Structure	CCC	kitìm-	arrive
Prefix	B	Simple	Structure	CCC	kwibìs-	hide
Prefix	B	Simple	Structure	CCY	digiì-	bring back
Prefix	B	Simple	Structure	CCY	firiì-	give birth
Prefix	B	Simple	Structure	CCY	miriì-	find
Prefix	B	Simple	Structure	CCY	šifiì-	drink milk
Prefix	B	Simple	Structure	CVC	bis-	bury
Prefix	B	Simple	Structure	CVC	dir-	kill
Prefix	B	Simple	Structure	CVC	díf-	go away
Prefix	B	Simple	Structure	CVC	liw-	burn (trans.)
Prefix	B	Simple	Structure	CVC	min-	shave
Prefix	B	Simple	Structure	CVC	rib-	refuse
Prefix	M	Intensive	Structure	CCC	-mee-bdaan-	be forgotten
Prefix	M	Intensive	Structure	CCY	-mee-šwaay-	help to mix
Prefix	M	Intensive	Structure	CVC	-mee-niiy-	be milked
Prefix	R	Simple	Structure	CCC	-gnaf-	kneel down
Prefix	R	Simple	Structure	CCC	-mkar-	take advice
Prefix	R	Simple	Structure	CCC	-skat-	choke oneself
Prefix	R	Simple	Structure	CCC	-šbab-	look at oneself
Prefix	R	Simple	Structure	CCY	-dge-	return (intr.)
Prefix	R	Simple	Structure	CCY	-hme-	cover oneself 
Prefix	R	Simple	Structure	CVC	-faf-	boil over
Prefix	R	Simple	Structure	CVC	-law-	burn oneself
Prefix	R	Simple	Structure	CVC	-man-	shave oneself
Prefix	R	Simple	Structure	CVC	-sa?-	sit (down) 
Prefix	R	Simple	Structure	CVC	-sar-	stay awake
Prefix	S	Intensive	Structure	CCC	-s-maasiw-	let ... hear
Prefix	S	Intensive	Structure	CCY	-s-daag-	make ... bring back many
Prefix	S	Intensive	Structure	CVC	-s-daar-	make ... kill many
Prefix	S	Simple	Structure	CCC	-s-dabil-	cause to collect
Prefix	S	Simple	Structure	CCC	-s-katim-	cause to arrive
Prefix	S	Simple	Structure	CCC	-š-rašid-	cause to tend cattle 
Prefix	S	Simple	Structure	CCC	-š-šabib-	let ... look at
Prefix	S	Simple	Structure	CCY	-s-dag-	_NULL
Prefix	S	Simple	Structure	CCY	-s-rakw-	make ... fear
Prefix	S	Simple	Structure	CCY	-š-dam-	make ... stink 
Prefix	S	Simple	Structure	CCY	-š-šagw-	make ... do wrong
Prefix	S	Simple	Structure	CVC	-soo-bis-	cause to bury
Prefix	S	Simple	Structure	CVC	-soo-dir-	make ... kill
Prefix	S	Simple	Structure	CVC	-soo-liw-	make ... burn
Prefix	S	Simple	Structure	CVC	-šoo-dif-	cause to dye tan
Prefix	S2	Simple	Structure	CCC	-sis-dabil-	see that s.o. has s.th. collected, see that s.o. makes s.o. collect s.th. 
Prefix	S2	Simple	Structure	CCY	-sis-dag-	see that s.o makes s.o. bring s.th. back 
Prefix	S2	Simple	Structure	CVC	-sisoo-bis-	see that s.o. has s.th. buried
Prefix	S2	Simple	Structure	CVC	-šišoo-dif-	see that s.o. has s.th. dyed 
Prefix	SM	Intensive	Structure	CCC	-m-dalaab-	buy ... together
Prefix	SM	Intensive	Structure	CCC	-m-ragaag-	help to drive away 
Prefix	SM	Intensive	Structure	CCY	-m-dagaay-	help to bring back
Prefix	SM	Intensive	Structure	CVC	-moo-baas-	help to bury, bury ... together
Prefix	SM	Intensive	Structure	CVC	-moo-daar-	kill one another
Prefix	SM	Intensive	Structure	CVC	-moo-gaad-	throw at one another
Prefix	SM	Intensive	Structure	CVC	-moo-maan-	shave one another
Prefix	SM	Intensive	Structure	CVC	-moo-taab-	help to fill
Prefix	T	Intensive	Structure	CCC	-t-dabaal-	be collected-2
Prefix	T	Intensive	Structure	CCC	-t-faraak-	be dug
Prefix	T	Intensive	Structure	CCC	-t-kahaan-	be loved 
Prefix	T	Intensive	Structure	CCC	-t-kataab-	be written 
Prefix	T	Intensive	Structure	CCC	-š-t-agwaad-	be washed-3
Prefix	T	Intensive	Structure	CCY	-t-dagaay-	be brought back
Prefix	T	Intensive	Structure	CCY	-t-faraay-	be born
Prefix	T	Intensive	Structure	CCY	-t-habaay-	be forbidden, prevented
Prefix	T	Intensive	Structure	CVC	-too-baas-	be buried
Prefix	T	Intensive	Structure	CVC	-too-daaf-	be dyed, tanned (see fn. 29) 
Prefix	T	Intensive	Structure	CVC	-too-daar-	be killed
Prefix	T	Intensive	Structure	CVC	-too-maan-	be shaved
Prefix	T	Intensive	Structure	CVC	-too-šaak-	be hunted
Suffix	B	Simple	Structure	Invariable	?ad-	tremble
Suffix	B	Simple	Structure	Invariable	doob-	marry
Suffix	B	Simple	Structure	Invariable	gwa?-	drink
Suffix	B	Simple	Structure	Invariable	kileew-	guard, take prisoner
Suffix	B	Simple	Structure	Invariable	nuun-	hand over
Suffix	B	Simple	Structure	Invariable	raat-	ask
Suffix	B	Simple	Structure	Invariable	rih-	see
Suffix	B	Simple	Structure	Invariable	tam-	eat
Suffix	B	Simple	Structure	Invariable	šuum-	enter
Suffix	M	Simple	Structure	Invariable	?eegrim-am-	turn grey
Suffix	M	Simple	Structure	Invariable	fid-am-	blow one's nose
Suffix	M	Simple	Structure	Invariable	hug-am-	be ground
Suffix	M	Simple	Structure	Invariable	raat-am-	be asked, ask oneself
Suffix	M	Simple	Structure	Invariable	reeh-am-	rest oneself, be made at ease
Suffix	M	Simple	Structure	Invariable	tam-am-	be eaten
Suffix	S	Simple	Structure	Invariable	?as-is-	make ... shut
Suffix	S	Simple	Structure	Invariable	?ibaab-s-	send on a journey
Suffix	S	Simple	Structure	Invariable	?ooš-iš-	make ... urinate
Suffix	S	Simple	Structure	Invariable	hamašee-š-	blind
Suffix	S	Simple	Structure	Invariable	kadaw-š-	jingle, rattle (tr.)
Suffix	S	Simple	Structure	Invariable	rih-is-	make ... see show
Suffix	S	Simple	Structure	Invariable	tam-s-	feed
Suffix	S2	Simple	Structure	Invariable	hamašee-šiiš-	cause to blind
Suffix	S2	Simple	Structure	Invariable	tam-siis-	cause to feed
Suffix	SM	Intensive	Structure	Invariable	?adum-sam-	speak with one another
Suffix	SM	Intensive	Structure	Invariable	daab-sam-	run together
Suffix	SM	Intensive	Structure	Invariable	tam-sam-	eat one another, eat together
Suffix	SM	Intensive	Structure	Invariable	yak-sam-	rise up against one another

