?conjClass	?derivedStem	?derivedStemAug	?formType	?rootClass	?tamStemClass	?token
"Prefix"	"B"	"Intensive"	"Stem"	"CCC"	"AoristClass"	"-ii-dbal-"
"Prefix"	"B"	"Intensive"	"Stem"	"CCC"	"ModClass"	"-ii-dbal-"
"Prefix"	"B"	"Intensive"	"Stem"	"CCC"	"NegClass"	"-daabiil-"
"Prefix"	"B"	"Intensive"	"Stem"	"CCC"	"PartClass"	"daabl-"
"Prefix"	"B"	"Intensive"	"Stem"	"CCC"	"PastClass"	"-daabil-"
"Prefix"	"B"	"Intensive"	"Stem"	"CCC"	"PresClass"	"-ee-dbil-"
"Prefix"	"B"	"Intensive"	"Stem"	"CCY"	"AoristClass"	"-ii-dgi"
"Prefix"	"B"	"Intensive"	"Stem"	"CCY"	"ModClass"	"-ii-dga"
"Prefix"	"B"	"Intensive"	"Stem"	"CCY"	"NegClass"	"-daagi-"
"Prefix"	"B"	"Intensive"	"Stem"	"CCY"	"PartClass"	"daag-"
"Prefix"	"B"	"Intensive"	"Stem"	"CCY"	"PastClass"	"-daag-"
"Prefix"	"B"	"Intensive"	"Stem"	"CCY"	"PresClass"	"-ee-dgi-"
"Prefix"	"B"	"Intensive"	"Stem"	"CVC"	"AoristClass"	"-ii-liw-"
"Prefix"	"B"	"Intensive"	"Stem"	"CVC"	"ModClass"	"-ii-líw-"
"Prefix"	"B"	"Intensive"	"Stem"	"CVC"	"NegClass"	"-laaw-"
"Prefix"	"B"	"Intensive"	"Stem"	"CVC"	"PartClass"	"laaw-"
"Prefix"	"B"	"Intensive"	"Stem"	"CVC"	"PastClass"	"-laaw-"
"Prefix"	"B"	"Intensive"	"Stem"	"CVC"	"PresClass"	"-ee-liw- "
"Prefix"	"B"	"Simple"	"Stem"	"CCC"	"AoristClass"	"-ii-dbíl-"
"Prefix"	"B"	"Simple"	"Stem"	"CCC"	"ModClass"	"-ii-dbíl-"
"Prefix"	"B"	"Simple"	"Stem"	"CCC"	"NegClass"	"-dabíil-"
"Prefix"	"B"	"Simple"	"Stem"	"CCC"	"PartClass"	"dibl-"
"Prefix"	"B"	"Simple"	"Stem"	"CCC"	"PastClass"	"-dbíl-"
"Prefix"	"B"	"Simple"	"Stem"	"CCC"	"PresClass"	"-ee-dbíl-"
"Prefix"	"B"	"Simple"	"Stem"	"CCC"	"PresSgClass"	"-danbíil-"
"Prefix"	"B"	"Simple"	"Stem"	"CCY"	"AoristClass"	"-dìig-"
"Prefix"	"B"	"Simple"	"Stem"	"CCY"	"ModClass"	"-dàag-"
"Prefix"	"B"	"Simple"	"Stem"	"CCY"	"NegClass"	"-dagì-"
"Prefix"	"B"	"Simple"	"Stem"	"CCY"	"PartClass"	"digy-"
"Prefix"	"B"	"Simple"	"Stem"	"CCY"	"PastClass"	"-dgì-"
"Prefix"	"B"	"Simple"	"Stem"	"CCY"	"PresClass"	"-déeg-"
"Prefix"	"B"	"Simple"	"Stem"	"CCY"	"PresSgClass"	"-dangì-"
"Prefix"	"B"	"Simple"	"Stem"	"CVC"	"AoristClass"	"-ii-líw-"
