?conjClass	?derivedStem	?nonFiniteForm	?participle	?token
"Prefix"	"B"	"Participle"	"Conjunctive"	"dibil-tií"
"Prefix"	"B"	"Participle"	"Future"	"dibl-át"
"Prefix"	"B"	"Participle"	"Negative"	"baa-dabiíl"
"Prefix"	"B"	"Participle"	"Past"	"dibl-aà"
"Prefix"	"B"	"Participle"	"Present"	"dibl-ée"
"Prefix"	"B"	"participle exponents"	"Conjunctive"	"dibil-tií"
"Prefix"	"B"	"participle exponents"	"Future"	"dibl-át"
"Prefix"	"B"	"participle exponents"	"Negative"	"baa-dabiíl"
"Prefix"	"B"	"participle exponents"	"Past"	"dibl-aà"
"Prefix"	"B"	"participle exponents"	"Present"	"dibl-ée"
"Suffix"	"B"	"Participle"	"Conjunctive"	"tam-eetì"
"Suffix"	"B"	"Participle"	"Future"	"tam-át"
"Suffix"	"B"	"Participle"	"Negative"	"baa-tam-ày"
"Suffix"	"B"	"Participle"	"Past"	"tam-aà"
"Suffix"	"B"	"Participle"	"Present"	"tam-ée"
"Suffix"	"B"	"participle exponents"	"Conjunctive"	"tam-eetì"
"Suffix"	"B"	"participle exponents"	"Future"	"tam-át"
"Suffix"	"B"	"participle exponents"	"Negative"	"baa-tam-ày"
"Suffix"	"B"	"participle exponents"	"Past"	"tam-aà"
"Suffix"	"B"	"participle exponents"	"Present"	"tam-ée"
