?morphClass	?pdgmType	?pluralClass	?token
"PLMARK"	"PluralFormation"	"A"	"huus => huusà"
"PLMARK"	"PluralFormation"	"A"	"dírim => dirmà"
"PLMARK"	"PluralFormation"	"A"	"ragàd => ragadà "
"PLMARK"	"PluralFormation"	"A"	"?àb => ?abà"
"PLMARK"	"PluralFormation"	"A"	"bít => bità"
"PLMARK"	"PluralFormation"	"A"	"gàw => gawà"
"PLMARK"	"PluralFormation"	"A"	"sàn => sanà"
"PLMARK"	"PluralFormation"	"A"	"heèlay => heelayà"
"PLMARK"	"PluralFormation"	"B"	"miitaàt => miitàt"
"PLMARK"	"PluralFormation"	"B"	"kitaàb => kitàb"
"PLMARK"	"PluralFormation"	"B"	"yàas => yàs"
"PLMARK"	"PluralFormation"	"B"	"ginuúf => ginúf"
"PLMARK"	"PluralFormation"	"B"	"kaàm => kàm"
"PLMARK"	"PluralFormation"	"B"	"bikkàar => bikkàr"
"PLMARK"	"PluralFormation"	"C"	"baabà => baabà"
"PLMARK"	"PluralFormation"	"C"	"kwà => kwà"
"PLMARK"	"PluralFormation"	"C"	"[n]dé => [n]dè"
