?case	?gender	?morphClass	?number	?person	?token
"Nominative"	"Common"		"Plural"	"Person1"	"hinìn"
"Nominative"	"Common"		"Singular"	"Person1"	"?anè"
"Nominative"	"Fem"		"Plural"	"Person2"	"ba[r]-t-aá-k"
"Nominative"	"Fem"		"Plural"	"Person3"	"ba[r]-t-aá"
"Nominative"	"Fem"		"Singular"	"Person2"	"ba[r]-t-uú-k"
"Nominative"	"Fem"		"Singular"	"Person3"	"ba[r]-t-uú"
"Nominative"	"Masc"		"Plural"	"Person2"	"bar-aá-k"
"Nominative"	"Masc"		"Plural"	"Person3"	"bar-aá"
"Nominative"	"Masc"		"Singular"	"Person2"	"bar-uú-k"
"Nominative"	"Masc"		"Singular"	"Person3"	"bar-uú"
"Object"	"Common"		"Plural"	"Person1"	"hinìn"
"Object"	"Common"		"Singular"	"Person1"	"?aneè-b"
"Object"	"Fem"		"Plural"	"Person2"	"ba[r]-t-eé-k"
"Object"	"Fem"		"Plural"	"Person3"	"ba[r]-t-eé"
"Object"	"Fem"		"Singular"	"Person2"	"ba[r]-t-oó-k"
"Object"	"Fem"		"Singular"	"Person3"	"ba[r]-t-oó"
"Object"	"Masc"		"Plural"	"Person2"	"bar-eé-k"
"Object"	"Masc"		"Plural"	"Person3"	"bar-eé"
"Object"	"Masc"		"Singular"	"Person2"	"bar-oó-k"
"Object"	"Masc"		"Singular"	"Person3"	"bar-oó"
