?langLabel	?conjClass	?formType	?pdgmSubType	?pdgmType	?polarity	?tam	?lexeme
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Anticipatory"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Conditional1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Conditional2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Contrafactual"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Hypothetical"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Imperative"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Imperfect"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"ImperfectAnticipatory"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"ImperfectPast1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"ImperfectPast2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"ImperfectPresent"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"ImperfectProbable1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"ImperfectProbable2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Intentive"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Jussive"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Perfect"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"PerfectAnticipatory"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"PerfectConditional"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"PerfectPast1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"PerfectPast2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"PerfectPresent"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"PerfectProbable"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Purposive1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Purposive2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Affirmative"	"Requestive"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Anticipatory"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Conditional1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Conditional2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Contrafactual"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Hypothetical"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Imperative"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Imperfect"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"ImperfectAnticipatory"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"ImperfectPast1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"ImperfectPast2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"ImperfectPresent"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"ImperfectProbable1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"ImperfectProbable2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Intentive"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Jussive"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Perfect"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"PerfectAnticipatory"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"PerfectConditional"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"PerfectPast1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"PerfectPast2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"PerfectPresent"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"PerfectProbable"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Purposive1"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Purposive2"	
"Afar"	"CompoundIntransitive"			"Compound"	"Negative"	"Requestive"	
"Afar"	"CompoundIntransitive"	"Affix"	"SubjMarker"				
"Afar"	"CompoundStative"				"Affirmative"	"PresentState1"	
"Afar"	"CompoundStative"			"Compound"	"Affirmative"	"ContrafactualStative"	
"Afar"	"CompoundStative"			"Compound"	"Affirmative"	"ImperfectPast1"	
"Afar"	"CompoundStative"			"Compound"	"Affirmative"	"PastState2"	
"Afar"	"CompoundStative"			"Compound"	"Affirmative"	"PresentState2"	
"Afar"	"CompoundStative"			"Compound"	"Affirmative"	"Probable"	
"Afar"	"CompoundStative"			"Compound"	"Negative"	"ContrafactualStative"	
"Afar"	"CompoundStative"			"Compound"	"Negative"	"PastState1"	
"Afar"	"CompoundStative"			"Compound"	"Negative"	"PastState2"	
"Afar"	"CompoundStative"			"Compound"	"Negative"	"PresentState1"	
"Afar"	"CompoundStative"			"Compound"	"Negative"	"PresentState2"	
"Afar"	"CompoundStative"			"Compound"	"Negative"	"Probable"	
"Afar"	"CompoundTransitive"			"Compound"	"Affirmative"	"Anticipatory"	
"Afar"	"CompoundTransitive"			"Compound"	"Affirmative"	"Conditional1"	
"Afar"	"CompoundTransitive"			"Compound"	"Affirmative"	"Conditional2"	
"Afar"	"CompoundTransitive"			"Compound"	"Affirmative"	"Contrafactual"	
"Afar"	"CompoundTransitive"			"Compound"	"Affirmative"	"Hypothetical"	
"Afar"	"CompoundTransitive"			"Compound"	"Affirmative"	"Imperative"	
