?langLabel	?conjClass	?derivedStem	?derivedStemAug	?formType	?pdgmType	?polarity	?rootClass	?tam	?lexeme
"Beja-arteiga"							"CVC"		
"Beja-arteiga"						"Affirmative"		"Future"	
"Beja-arteiga"				"Affix"					
"Beja-arteiga"				"Auxiliary"		"Negative"		"Past"	
"Beja-arteiga"				"Copula"					
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Affirmative"		"Aorist"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Affirmative"		"Common"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Affirmative"		"Imperative"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Affirmative"		"Jussive"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Affirmative"		"Optative"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Affirmative"		"Past"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Affirmative"		"Present"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Negative"		"Common"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Negative"		"Imperative"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Negative"		"Optative"	
"Beja-arteiga"		"B"		"Stem"	"Structure"	"Negative"		"Present"	
"Beja-arteiga"	"Prefix"						"CCC"		
"Beja-arteiga"	"Prefix"						"CCY"		
"Beja-arteiga"	"Prefix"						"CVC"		
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Aorist"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Imperative"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Optative"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Past"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Present"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Aorist"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Imperative"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Optative"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Past"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Present"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Aorist"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Imperative"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Optative"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Past"	
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Imperative"	
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Imperative"	
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Imperative"	
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	
"Beja-arteiga"	"Prefix"	"B"							
"Beja-arteiga"	"Prefix"	"B"	"Intensive"	"Stem"			"CCC"		
"Beja-arteiga"	"Prefix"	"B"	"Intensive"	"Stem"			"CCY"		
"Beja-arteiga"	"Prefix"	"B"	"Intensive"	"Stem"			"CVC"		
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"		
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	
