?proClassLabel	?property
"DefMarker"	"case"
"Demonstrative"	"case"
"Independent"	"case"
"PossObj"	"case"
"ProComp"	"case"
"DefMarker"	"defClass"
"Demonstrative"	"deixis"
"DefMarker"	"gender"
"Demonstrative"	"gender"
"Independent"	"gender"
"ProComp"	"langVar"
"DefMarker"	"morphClass"
"Demonstrative"	"morphClass"
"Independent"	"morphClass"
"PossObj"	"morphClass"
"ProComp"	"morphClass"
"DefMarker"	"number"
"Demonstrative"	"number"
"Independent"	"number"
"PossObj"	"number"
"ProComp"	"number"
"ProComp"	"pdgmType"
"Independent"	"person"
"PossObj"	"person"
